"","rep_col","generation","pop_size","resist_genotypes","crop_genotypes","percentage_resistant","percentage_crop_eaters"
"1",1,1,1600,9,9,56.4375,54.875
"2",1,2,1600,9,9,54.75,56.625
"3",1,3,1600,9,9,55.6875,55.8125
"4",1,4,1600,9,9,54.3125,53.8125
"5",1,5,1600,9,9,51.6875,54.3125
"6",1,6,1600,9,9,54.5,57.5
"7",1,7,1600,9,9,54.5625,55.6875
"8",1,8,1600,9,9,54.9375,54.625
"9",1,9,1600,9,9,57.9375,58.25
"10",1,10,1600,9,9,42.1875,43.5625
"11",1,11,1600,9,9,52.0625,53.0625
"12",1,12,1600,9,9,51.5,51.375
"13",1,13,1600,9,9,50.1875,53.3125
"14",1,14,1600,9,9,51.125,51.875
"15",1,15,1600,9,9,49.6875,50.625
"16",1,16,1600,9,9,48.5625,51.1875
"17",1,17,1600,9,9,48.875,50.3125
"18",1,18,1600,9,9,51.4375,50
"19",1,19,1600,9,9,51.875,51.75
"20",1,20,1600,9,9,40.1875,40.25
"21",1,21,1600,9,9,49.5625,49.625
"22",1,22,1600,9,9,52,51.4375
"23",1,23,1600,9,9,51.875,51.375
"24",1,24,1600,9,9,48.125,49.1875
"25",1,25,1600,9,9,51.8125,49.75
"26",1,26,1600,9,9,50.125,50.875
"27",1,27,1600,9,9,51.3125,50.6875
"28",1,28,1600,9,9,50.6875,49.0625
"29",1,29,1600,9,9,52.25,50.875
"30",1,30,1600,9,9,36.5,36.8125
"31",1,31,1600,9,9,49.8125,49.8125
"32",1,32,1600,9,9,50.125,51.375
"33",1,33,1600,9,9,50.375,50.1875
"34",1,34,1600,9,9,49.0625,49.4375
"35",1,35,1600,9,9,49.5625,49.25
"36",1,36,1600,9,9,52.9375,52
"37",1,37,1600,9,9,49.375,50.1875
"38",1,38,1600,9,9,49,49.5
"39",1,39,1600,9,9,49.6875,48.375
"40",1,40,1600,9,9,39.1875,38.875
