"generation","pop_size","resist_genotypes","crop_genotypes","percentage_resistant","percentage_crop_eaters", "percentage_survive"
1,40000,9,9,60.575,60.9625,50.945
2,40000,9,9,58.8,58.6975,52.8775
3,40000,9,9,58.58,58.6025,54.35
4,40000,9,9,58.9975,58.99,55.4175
5,40000,9,9,59.635,59.66,56.5875
6,40000,9,9,60.2825,60.3975,57.625
7,40000,9,9,60.4725,60.395,57.82
8,40000,9,9,60.575,60.6075,58.2725
9,40000,9,9,60.67,60.795,58.3975
10,40000,9,9,67.575,65.545,61.31
11,40000,9,9,62.0275,61.275,58.1475
12,40000,9,9,60.77,60.36,57.9725
13,40000,9,9,60.9675,60.8525,58.895
14,40000,9,9,60.9075,60.765,59.11
15,40000,9,9,61.52,61.4675,60.045
16,40000,9,9,61.8025,61.675,60.4875
17,40000,9,9,61.92,61.9175,60.75
18,40000,9,9,62.48,62.36,61.3325
19,40000,9,9,61.93,61.8525,60.8825
20,40000,9,9,69.97,69.8025,68.54
21,40000,9,9,63.595,63.55,62.4125
22,40000,9,9,61.79,61.85,60.795
23,40000,9,9,62.155,62.0725,61.215
24,40000,9,9,62.1375,62.0975,61.1575
25,40000,9,9,62.2,62.1475,61.3275
26,40000,9,9,62.205,62.185,61.335
27,40000,9,9,62.385,62.3475,61.5875
28,40000,9,9,62.05,62.13,61.37
29,40000,9,9,62.5025,62.435,61.79
30,40000,9,9,70.375,70.355,69.29
31,40000,9,9,64.0475,63.88,63.03
32,40000,9,9,62.5475,62.52,61.66
33,40000,9,9,62.1375,62.2775,61.39
34,40000,9,9,62.1525,62.1475,61.3325
35,40000,9,9,61.79,61.815,61.0225
36,40000,9,9,62.265,62.3575,61.58
37,40000,9,9,62.1,62.065,61.375
38,40000,9,9,62.11,62.04,61.4075
39,40000,9,9,62.4075,62.4175,61.73
40,40000,9,9,70.57,70.55,69.635
