time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 1.000000, 0.000000, 0.372823, 0.000000, 0.000000,0.261049,0.111774,0.000000,0.000000,-0.005288,-0.008709,0.024730,-0.039223,0.000000
1, 1000, 2.000000, 0.000000, 0.745646, 0.000000, 0.717000,0.522098,0.223548,0.000000,0.000000,-0.005288,-0.008709,0.024730,-0.039223,0.000000
2, 283, 3.000000, 0.000000, 3.364927, 0.000000, 0.000000,2.363826,1.001101,0.000000,0.000000,0.611129,-0.111348,0.331560,0.162423,0.000000
3, 283, 4.000000, 0.000000, 3.364927, 0.000000, 0.000000,2.363826,1.001101,0.000000,0.000000,0.611129,-0.111348,0.331560,0.162423,0.000000
4, 1088, 2.040441, 0.000000, 1.674565, 0.000000, 0.000000,1.191973,0.482591,0.000000,0.000000,0.706846,-0.157412,0.396055,0.145845,0.000000
5, 1893, 2.172742, 0.000000, 1.602821, 0.000000, 0.066033,1.159603,0.443218,0.000000,0.000000,0.722262,-0.165419,0.406707,0.142306,0.000000
6, 2573, 2.501360, 0.000000, 1.669479, 0.000000, 0.179557,1.211290,0.458188,0.000000,0.000000,0.721789,-0.168517,0.408668,0.136677,0.000000
7, 2916, 2.405007, 0.000000, 1.547050, 0.000000, 0.086763,1.133030,0.414020,0.000000,0.000000,0.745237,-0.189800,0.419017,0.127892,0.000000
8, 3779, 2.721884, 0.000000, 1.581743, 0.000000, 0.075681,1.149009,0.432734,0.000000,0.000000,0.717889,-0.179231,0.416868,0.113510,0.000000
9, 5636, 2.723563, 0.000000, 1.520169, 0.000000, 0.053584,1.101053,0.419116,0.000000,0.000000,0.712325,-0.177850,0.420067,0.106118,0.000000
10, 8370, 2.761768, 0.000000, 1.456627, 0.000000, 0.178853,1.050985,0.405642,0.000000,0.000000,0.700953,-0.172303,0.420074,0.100406,0.000000
11, 10747, 2.555969, 0.000000, 1.405298, 0.000000, 0.185912,1.015104,0.390194,0.000000,0.000000,0.693935,-0.171296,0.421142,0.093332,0.000000
12, 13233, 2.537293, 0.000000, 1.377799, 0.000000, 0.173128,0.885472,0.492327,0.000000,0.000000,0.685613,-0.156837,0.427213,0.093665,0.000000
13, 17062, 2.537569, 0.000000, 1.211694, 0.000000, 0.207068,0.722672,0.489022,0.000000,0.000000,0.680494,-0.143031,0.430888,0.098959,0.000000
14, 22155, 2.518167, 0.000000, 1.050293, 0.000000, 0.243512,0.592156,0.458137,0.000000,0.000000,0.658077,-0.104946,0.442520,0.103748,0.000000
15, 28438, 2.439271, 0.000000, 0.876967, 0.000000, 0.292461,0.468355,0.408612,0.000000,0.000000,0.630140,-0.034959,0.462994,0.126732,0.000000
16, 32705, 2.409693, 0.000000, 0.772624, 0.000000, 0.350283,0.383622,0.389003,0.000000,0.000000,0.579153,0.058849,0.480617,0.153918,0.000000
17, 33657, 2.413584, 0.000000, 0.720466, 0.000000, 0.383338,0.328135,0.392331,0.000000,0.000000,0.524217,0.167753,0.493236,0.197668,0.000000
18, 32278, 2.386548, 0.000000, 0.684286, 0.000000, 0.380321,0.289806,0.394480,0.000000,0.000000,0.463848,0.277109,0.493859,0.248572,0.000000
19, 30437, 2.482768, 0.000000, 0.699041, 0.000000, 0.382856,0.295297,0.403744,0.000000,0.000000,0.430171,0.351117,0.493680,0.290818,0.000000
20, 29282, 2.521993, 0.000000, 0.710052, 0.000000, 0.366368,0.300092,0.409960,0.000000,0.000000,0.437581,0.382522,0.504347,0.319603,0.000000
21, 28985, 2.525548, 0.000000, 0.700806, 0.000000, 0.378782,0.288254,0.412551,0.000000,0.000000,0.468837,0.399270,0.529424,0.342676,0.000000
22, 28102, 2.487972, 0.000000, 0.689308, 0.000000, 0.389189,0.270766,0.418541,0.000000,0.000000,0.488040,0.423909,0.559563,0.356645,0.000000
23, 26648, 2.461948, 0.000000, 0.687785, 0.000000, 0.391324,0.259511,0.428274,0.000000,0.000000,0.504273,0.450450,0.584706,0.374640,0.000000
24, 25268, 2.454013, 0.000000, 1.180097, 0.000000, 0.264801,0.540075,0.640022,0.000000,0.000000,0.512956,0.471046,0.605150,0.383742,0.000000
25, 27329, 2.521497, 0.000000, 1.255864, 0.000000, 0.188591,0.615486,0.640377,0.000000,0.000000,0.534860,0.508552,0.661591,0.386985,0.000000
26, 31379, 2.653717, 0.000000, 1.177879, 0.000000, 0.225342,0.602766,0.575114,0.000000,0.000000,0.553274,0.554999,0.718423,0.395494,0.000000
27, 38484, 2.613762, 0.000000, 1.015445, 0.000000, 0.218013,0.540457,0.474989,0.000000,0.000000,0.578611,0.592406,0.777103,0.399808,0.000000
