time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 1.000000, 0.000000, 0.384333, 0.000000, 0.000000,0.184264,0.200069,0.000000,0.000000,-0.013317,-0.020335,-0.012311,-0.021699,0.000000
1, 1000, 2.000000, 0.000000, 0.768667, 0.000000, 0.710000,0.368529,0.400138,0.000000,0.000000,-0.013317,-0.020335,-0.012311,-0.021699,0.000000
2, 290, 3.000000, 0.000000, 3.398264, 0.000000, 0.000000,1.638412,1.759852,0.000000,0.000000,0.249110,0.281550,0.284001,0.250410,0.000000
3, 290, 4.000000, 0.000000, 3.398264, 0.000000, 0.000000,1.638412,1.759852,0.000000,0.000000,0.249110,0.281550,0.284001,0.250410,0.000000
4, 1127, 2.029281, 0.000000, 1.674971, 0.000000, 0.000000,0.767772,0.907199,0.000000,0.000000,0.251353,0.371342,0.342372,0.285554,0.000000
5, 1964, 2.164460, 0.000000, 1.586495, 0.000000, 0.075356,0.720450,0.866045,0.000000,0.000000,0.251501,0.385637,0.350817,0.291797,0.000000
6, 2653, 2.490765, 0.000000, 1.653789, 0.000000, 0.185074,0.761832,0.891957,0.000000,0.000000,0.231378,0.399533,0.343578,0.293204,0.000000
7, 2999, 2.392464, 0.000000, 1.539505, 0.000000, 0.092698,0.699689,0.839816,0.000000,0.000000,0.224118,0.403395,0.345351,0.288097,0.000000
8, 3858, 2.715656, 0.000000, 1.572436, 0.000000, 0.073613,0.725417,0.847019,0.000000,0.000000,0.212221,0.396394,0.339449,0.274988,0.000000
9, 5743, 2.725405, 0.000000, 1.507806, 0.000000, 0.056591,0.699918,0.807888,0.000000,0.000000,0.195969,0.399103,0.338852,0.262096,0.000000
10, 8471, 2.770983, 0.000000, 1.476831, 0.000000, 0.177429,0.681916,0.794915,0.000000,0.000000,0.209727,0.379079,0.338347,0.255877,0.000000
11, 10926, 2.557935, 0.000000, 1.417563, 0.000000, 0.179755,0.653862,0.763700,0.000000,0.000000,0.217070,0.370943,0.336823,0.256439,0.000000
12, 13511, 2.542447, 0.000000, 1.870255, 0.000000, 0.099623,0.857211,1.013044,0.000000,0.000000,0.225248,0.375754,0.346192,0.260076,0.000000
