time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 1.000000, 2.473000, 0.386175, 0.000000, 0.000000,0.188244,0.197932,0.000000,0.000000,0.024927,0.000663,0.019963,0.005442,0.000000
1, 1000, 2.000000, 2.473000, 0.772350, 0.000000, 0.684000,0.376487,0.395863,0.000000,0.000000,0.024927,0.000663,0.019963,0.005442,0.000000
2, 316, 3.000000, 2.493671, 3.253555, 0.000000, 0.000000,1.557928,1.695628,0.000000,0.000000,0.284750,0.301502,0.370621,0.218907,0.000000
3, 316, 4.000000, 2.493671, 3.253555, 0.000000, 0.000000,1.557928,1.695628,0.000000,0.000000,0.284750,0.301502,0.370621,0.218907,0.000000
4, 425, 3.974118, 2.501176, 2.690729, 0.000000, 0.000000,1.308288,1.382441,0.000000,0.000000,0.323067,0.246504,0.353311,0.218457,0.000000
5, 544, 4.104779, 2.494485, 2.446722, 0.000000, 0.056985,1.203242,1.243480,0.000000,0.000000,0.321989,0.260683,0.365992,0.219071,0.000000
6, 661, 4.284418, 2.491679, 2.326765, 0.000000, 0.537065,1.181554,1.145210,0.000000,0.000000,0.348882,0.280637,0.409009,0.222916,0.000000
7, 439, 2.234624, 2.496583, 1.573022, 0.000000, 0.159453,0.889980,0.683042,0.000000,0.000000,0.435853,0.264246,0.457970,0.243676,0.000000
8, 424, 2.983491, 2.500000, 1.945710, 0.000000, 0.160377,1.070266,0.875445,0.000000,0.000000,0.478396,0.271154,0.454910,0.296430,0.000000
9, 480, 3.352083, 2.506250, 2.081689, 0.000000, 0.031250,1.119835,0.961853,0.000000,0.000000,0.481513,0.288150,0.461052,0.310740,0.000000
10, 672, 3.349702, 2.519345, 1.950237, 0.000000, 0.184524,1.035644,0.914593,0.000000,0.000000,0.487458,0.238134,0.476091,0.250271,0.000000
11, 804, 3.006219, 2.512438, 1.961441, 0.000000, 0.187811,1.081994,0.879447,0.000000,0.000000,0.574986,0.176889,0.517915,0.232882,0.000000
12, 863, 2.987254, 2.509849, 2.154288, 0.000000, 0.180765,1.203403,0.950885,0.000000,0.000000,0.573181,0.204765,0.548645,0.228536,0.000000
13, 910, 3.061538, 2.504396, 2.204588, 0.000000, 0.176923,1.202264,1.002323,0.000000,0.000000,0.570459,0.207633,0.520072,0.257645,0.000000
14, 1091, 2.960587, 2.504125, 1.990343, 0.000000, 0.139322,1.050687,0.939655,0.000000,0.000000,0.533728,0.297164,0.524328,0.308241,0.000000
15, 1501, 2.816123, 2.526316, 1.704411, 0.000000, 0.190540,0.920387,0.784024,0.000000,0.000000,0.590167,0.310588,0.507446,0.395560,0.000000
16, 1843, 2.771568, 2.525231, 1.536795, 0.000000, 0.268041,0.846866,0.689930,0.000000,0.000000,0.649243,0.289740,0.525461,0.415132,0.000000
17, 1978, 2.739130, 2.514156, 1.483957, 0.000000, 0.295248,0.828358,0.655599,0.000000,0.000000,0.703163,0.265669,0.543759,0.425955,0.000000
18, 1972, 2.703854, 2.505578, 1.420949, 0.000000, 0.265213,0.768703,0.652246,0.000000,0.000000,0.668469,0.314478,0.529885,0.455232,0.000000
19, 1972, 2.884381, 2.517241, 1.525263, 0.000000, 0.243408,0.813835,0.711429,0.000000,0.000000,0.666812,0.334472,0.516844,0.487237,0.000000
20, 2100, 3.034762, 2.515714, 1.577884, 0.000000, 0.210952,0.845947,0.731937,0.000000,0.000000,0.692390,0.326360,0.521343,0.499985,0.000000
21, 2377, 3.026504, 2.493058, 1.520315, 0.000000, 0.250316,0.832671,0.687643,0.000000,0.000000,0.670186,0.347181,0.525729,0.494640,0.000000
22, 2605, 2.913244, 2.496737, 1.479490, 0.000000, 0.272937,0.800709,0.678780,0.000000,0.000000,0.695792,0.331156,0.551414,0.477886,0.000000
23, 2754, 2.836238, 2.516703, 1.498231, 0.000000, 0.273057,0.789991,0.708240,0.000000,0.000000,0.694588,0.321849,0.521523,0.497383,0.000000
24, 2880, 2.807986, 2.513889, 1.882972, 0.000000, 0.178819,0.942912,0.940060,0.000000,0.000000,0.671899,0.325337,0.503649,0.496320,0.000000
25, 3311, 2.845968, 2.508608, 1.822168, 0.000000, 0.199336,0.874857,0.947312,0.000000,0.000000,0.688366,0.342853,0.526810,0.507315,0.000000
26, 3749, 2.875967, 2.503334, 1.685836, 0.000000, 0.221659,0.789514,0.896322,0.000000,0.000000,0.663411,0.389829,0.545954,0.511071,0.000000
27, 4345, 2.849252, 2.506329, 1.531690, 0.000000, 0.231300,0.704322,0.827367,0.000000,0.000000,0.665380,0.427335,0.578949,0.518072,0.000000
28, 5052, 2.824030, 2.505344, 1.383827, 0.000000, 0.265835,0.614184,0.769643,0.000000,0.000000,0.678870,0.443086,0.628665,0.497418,0.000000
29, 5517, 2.835418, 2.499728, 1.272597, 0.000000, 0.334240,0.539231,0.733366,0.000000,0.000000,0.669952,0.476953,0.683552,0.467652,0.000000
30, 5361, 2.731953, 2.497855, 1.195282, 0.000000, 0.338556,0.490191,0.705091,0.000000,0.000000,0.675853,0.513638,0.717205,0.477085,0.000000
31, 5076, 2.744681, 2.508668, 1.207239, 0.000000, 0.328014,0.478509,0.728730,0.000000,0.000000,0.675028,0.568714,0.766550,0.482743,0.000000
32, 4868, 2.836894, 2.507395, 1.241141, 0.000000, 0.311422,0.499079,0.742062,0.000000,0.000000,0.687247,0.640288,0.821250,0.512933,0.000000
33, 4824, 2.898425, 2.509328, 1.266211, 0.000000, 0.317371,0.502236,0.763975,0.000000,0.000000,0.713004,0.685582,0.858495,0.547424,0.000000
34, 4913, 2.841034, 2.505801, 1.251183, 0.000000, 0.313861,0.490939,0.760244,0.000000,0.000000,0.731878,0.731864,0.889800,0.582043,0.000000
35, 4962, 2.786376, 2.500605, 1.226018, 0.000000, 0.345828,0.484908,0.741109,0.000000,0.000000,0.726603,0.799340,0.925740,0.609500,0.000000
36, 4743, 2.743411, 2.500105, 1.451778, 0.000000, 0.273456,0.646480,0.805298,0.000000,0.000000,0.764050,0.822691,0.970901,0.625220,0.000000
37, 4863, 2.777298, 2.510590, 1.487428, 0.000000, 0.270204,0.703918,0.783509,0.000000,0.000000,0.837352,0.854886,1.047214,0.654378,0.000000
38, 4968, 2.849436, 2.511071, 1.487801, 0.000000, 0.265499,0.749580,0.738221,0.000000,0.000000,0.968498,0.888329,1.147750,0.718221,0.000000
39, 5435, 2.842318, 2.509292, 1.407399, 0.000000, 0.253358,0.730317,0.677082,0.000000,0.000000,1.090353,0.946222,1.236888,0.809325,0.000000
40, 6039, 2.827124, 2.504719, 1.314149, 0.000000, 0.277364,0.704852,0.609297,0.000000,0.000000,1.213618,1.012815,1.330403,0.906321,0.000000
41, 6395, 2.888663, 2.499609, 1.279276, 0.000000, 0.326974,0.702227,0.577050,0.000000,0.000000,1.315256,1.100493,1.434529,0.992524,0.000000
42, 6314, 2.749446, 2.500317, 1.216796, 0.000000, 0.323408,0.679256,0.537541,0.000000,0.000000,1.384236,1.191776,1.531081,1.057387,0.000000
43, 6024, 2.771414, 2.499004, 1.250813, 0.000000, 0.311421,0.695662,0.555151,0.000000,0.000000,1.402489,1.250099,1.570688,1.095316,0.000000
44, 5895, 2.857167, 2.495335, 1.279405, 0.000000, 0.279220,0.714085,0.565321,0.000000,0.000000,1.399389,1.267924,1.555780,1.125543,0.000000
45, 6060, 2.927558, 2.502805, 1.262486, 0.000000, 0.292739,0.703628,0.558859,0.000000,0.000000,1.388722,1.240448,1.505407,1.137681,0.000000
46, 6234, 2.923805, 2.499840, 1.235143, 0.000000, 0.308791,0.694868,0.540274,0.000000,0.000000,1.385021,1.220259,1.480462,1.138535,0.000000
47, 6240, 2.872115, 2.504968, 1.222021, 0.000000, 0.323397,0.689614,0.532407,0.000000,0.000000,1.384146,1.207761,1.483352,1.121939,0.000000
48, 6101, 2.858056, 2.503196, 1.912116, 0.000000, 0.177512,1.206883,0.705233,0.000000,0.000000,1.404308,1.186484,1.491504,1.112093,0.000000
49, 6824, 2.847304, 2.502491, 2.052270, 0.000000, 0.137749,1.365776,0.686495,0.000000,0.000000,1.408236,1.211600,1.533151,1.099618,0.000000
50, 7976, 2.899448, 2.498245, 1.935769, 0.000000, 0.149699,1.321894,0.613875,0.000000,0.000000,1.425182,1.214993,1.552214,1.100775,0.000000
51, 10060, 2.856163, 2.503877, 1.697523, 0.000000, 0.158549,1.180225,0.517298,0.000000,0.000000,1.445808,1.218015,1.573795,1.102690,0.000000
52, 12816, 2.827247, 2.501717, 1.465329, 0.000000, 0.199984,1.036980,0.428348,0.000000,0.000000,1.461800,1.220796,1.598793,1.096261,0.000000
53, 15275, 2.892504, 2.503699, 1.295759, 0.000000, 0.296105,0.920630,0.375129,0.000000,0.000000,1.471237,1.217866,1.613581,1.087752,0.000000
54, 15921, 2.773255, 2.499906, 1.130335, 0.000000, 0.336034,0.808227,0.322109,0.000000,0.000000,1.484149,1.203793,1.631335,1.068312,0.000000
55, 15134, 2.741641, 2.496630, 1.056798, 0.000000, 0.352121,0.749489,0.307309,0.000000,0.000000,1.490086,1.190481,1.646570,1.045216,0.000000
56, 14029, 2.832561, 2.496115, 1.069242, 0.000000, 0.339867,0.751660,0.317581,0.000000,0.000000,1.495225,1.173712,1.651754,1.027947,0.000000
57, 13390, 2.911277, 2.500448, 1.079860, 0.000000, 0.354294,0.745253,0.334606,0.000000,0.000000,1.498555,1.169060,1.657888,1.020313,0.000000
58, 12645, 2.875761, 2.500672, 1.065162, 0.000000, 0.368367,0.720746,0.344416,0.000000,0.000000,1.493923,1.156843,1.643823,1.017393,0.000000
59, 11680, 2.798202, 2.498801, 1.050207, 0.000000, 0.380479,0.695743,0.354464,0.000000,0.000000,1.487068,1.141467,1.630786,1.007973,0.000000
60, 10438, 2.757042, 2.496647, 1.807509, 0.000000, 0.198410,1.078320,0.729188,0.000000,0.000000,1.476086,1.128748,1.626712,0.988076,0.000000
61, 11267, 2.802698, 2.498181, 1.983225, 0.000000, 0.147155,1.116969,0.866256,0.000000,0.000000,1.497560,1.159438,1.647262,1.020211,0.000000
62, 12632, 2.953531, 2.497942, 1.913090, 0.000000, 0.165374,1.052986,0.860104,0.000000,0.000000,1.529562,1.172237,1.677267,1.035005,0.000000
63, 15785, 2.897751, 2.497878, 1.682039, 0.000000, 0.160976,0.909098,0.772940,0.000000,0.000000,1.576490,1.193017,1.719483,1.060561,0.000000
64, 20399, 2.826511, 2.499436, 1.428518, 0.000000, 0.207020,0.755936,0.672582,0.000000,0.000000,1.605729,1.240031,1.774717,1.082104,0.000000
65, 24262, 2.895227, 2.498393, 1.266149, 0.000000, 0.320542,0.654112,0.612038,0.000000,0.000000,1.613629,1.276939,1.809477,1.092644,0.000000
66, 24699, 2.710798, 2.499777, 1.086953, 0.000000, 0.354630,0.560086,0.526867,0.000000,0.000000,1.622695,1.287388,1.820062,1.101713,0.000000
67, 22859, 2.668096, 2.498622, 1.009880, 0.000000, 0.369307,0.530920,0.478960,0.000000,0.000000,1.634503,1.295525,1.837983,1.103739,0.000000
68, 20522, 2.796901, 2.500731, 1.038420, 0.000000, 0.348894,0.551742,0.486678,0.000000,0.000000,1.637800,1.294169,1.849460,1.094043,0.000000
69, 19389, 2.922121, 2.497138, 1.057839, 0.000000, 0.358915,0.558638,0.499201,0.000000,0.000000,1.636281,1.292691,1.864369,1.075929,0.000000
70, 18539, 2.856303, 2.493824, 0.990075, 0.000000, 0.384918,0.526698,0.463377,0.000000,0.000000,1.631762,1.293260,1.872989,1.063269,0.000000
71, 16729, 2.754797, 2.496563, 0.937940, 0.000000, 0.420169,0.509983,0.427957,0.000000,0.000000,1.640873,1.287888,1.886681,1.053041,0.000000
72, 14002, 2.720254, 2.501928, 1.850772, 0.000000, 0.187259,1.114606,0.736166,0.000000,0.000000,1.665324,1.273697,1.887564,1.062095,0.000000
73, 14947, 2.789991, 2.496354, 2.093589, 0.000000, 0.122366,1.292292,0.801297,0.000000,0.000000,1.681915,1.282012,1.908211,1.066334,0.000000
74, 16727, 2.999103, 2.495666, 2.009595, 0.000000, 0.140611,1.260083,0.749512,0.000000,0.000000,1.700012,1.277953,1.922728,1.065610,0.000000
75, 21665, 2.911239, 2.493099, 1.719332, 0.000000, 0.132518,1.084757,0.634575,0.000000,0.000000,1.717580,1.279804,1.936680,1.070981,0.000000
76, 28943, 2.850188, 2.497771, 1.434451, 0.000000, 0.188439,0.900163,0.534288,0.000000,0.000000,1.719603,1.293986,1.937775,1.086419,0.000000
77, 34970, 2.951530, 2.500572, 1.259606, 0.000000, 0.324735,0.784681,0.474925,0.000000,0.000000,1.716416,1.301095,1.941573,1.086667,0.000000
78, 35323, 2.723891, 2.501118, 1.047073, 0.000000, 0.362455,0.650140,0.396933,0.000000,0.000000,1.715902,1.299505,1.942625,1.083461,0.000000
79, 32149, 2.668481, 2.499518, 0.954502, 0.000000, 0.380385,0.592100,0.362402,0.000000,0.000000,1.718535,1.297335,1.956074,1.070273,0.000000
80, 28275, 2.810822, 2.501432, 0.979486, 0.000000, 0.355897,0.598335,0.381151,0.000000,0.000000,1.721436,1.298727,1.973807,1.056665,0.000000
81, 26334, 2.970077, 2.501063, 0.987094, 0.000000, 0.380952,0.594424,0.392669,0.000000,0.000000,1.721960,1.308073,1.985318,1.055116,0.000000
82, 24392, 2.870695, 2.504100, 0.889247, 0.000000, 0.415341,0.537142,0.352106,0.000000,0.000000,1.727489,1.319019,1.996043,1.061012,0.000000
83, 20943, 2.727785, 2.505849, 0.808226, 0.000000, 0.456764,0.492576,0.315650,0.000000,0.000000,1.743904,1.309801,1.993758,1.070317,0.000000
84, 16502, 2.674706, 2.506060, 1.740987, 0.000000, 0.213307,0.930657,0.810330,0.000000,0.000000,1.760614,1.296118,1.983395,1.083516,0.000000
85, 16878, 2.751866, 2.503555, 2.057893, 0.000000, 0.130821,1.040330,1.017563,0.000000,0.000000,1.761164,1.317164,2.001957,1.086841,0.000000
86, 18151, 3.023580, 2.504490, 2.039728, 0.000000, 0.142967,0.996038,1.043691,0.000000,0.000000,1.764622,1.321759,2.017711,1.079073,0.000000
87, 23381, 2.948420, 2.502759, 1.773761, 0.000000, 0.117317,0.845250,0.928512,0.000000,0.000000,1.760127,1.348927,2.044929,1.074862,0.000000
88, 32181, 2.861999, 2.501942, 1.459913, 0.000000, 0.170535,0.675055,0.784858,0.000000,0.000000,1.757492,1.366494,2.050967,1.084103,0.000000
89, 39786, 2.964158, 2.501986, 1.272549, 0.000000, 0.328508,0.575271,0.697278,0.000000,0.000000,1.756816,1.376296,2.051976,1.092442,0.000000
90, 40077, 2.708012, 2.501809, 1.054964, 0.000000, 0.365546,0.456324,0.598640,0.000000,0.000000,1.763341,1.374849,2.057200,1.092209,0.000000
91, 36214, 2.638703, 2.505661, 0.958389, 0.000000, 0.377561,0.402478,0.555910,0.000000,0.000000,1.766575,1.371944,2.063441,1.086159,0.000000
92, 31569, 2.823688, 2.505338, 1.000298, 0.000000, 0.346796,0.413551,0.586747,0.000000,0.000000,1.761760,1.381596,2.073025,1.081528,0.000000
93, 29563, 3.030410, 2.501268, 1.025771, 0.000000, 0.374691,0.415497,0.610275,0.000000,0.000000,1.761096,1.397146,2.073068,1.096741,0.000000
94, 27801, 2.898097, 2.500737, 0.910030, 0.000000, 0.404626,0.355504,0.554525,0.000000,0.000000,1.769715,1.399130,2.070717,1.109779,0.000000
95, 24374, 2.738205, 2.500780, 0.811056, 0.000000, 0.450193,0.306474,0.504582,0.000000,0.000000,1.777385,1.401228,2.074666,1.115609,0.000000
96, 19368, 2.688094, 2.502891, 1.747186, 0.000000, 0.206526,0.861978,0.885208,0.000000,0.000000,1.780517,1.412033,2.096118,1.108112,0.000000
97, 19976, 2.751252, 2.505256, 2.051676, 0.000000, 0.126552,1.062346,0.989330,0.000000,0.000000,1.794454,1.432481,2.131450,1.107264,0.000000
98, 21623, 3.011192, 2.504139, 2.012994, 0.000000, 0.134949,1.058875,0.954119,0.000000,0.000000,1.797549,1.443209,2.146759,1.105863,0.000000
99, 27878, 2.967681, 2.505058, 1.734285, 0.000000, 0.120956,0.924592,0.809692,0.000000,0.000000,1.811517,1.448615,2.158133,1.113877,0.000000
100, 37689, 2.905569, 2.501499, 1.438583, 0.000000, 0.180106,0.778436,0.660147,0.000000,0.000000,1.824546,1.447080,2.164631,1.118776,0.000000
101, 46033, 3.001217, 2.500402, 1.249331, 0.000000, 0.336367,0.676535,0.572795,0.000000,0.000000,1.824863,1.450608,2.165647,1.121677,0.000000
102, 45989, 2.717737, 2.502294, 1.018621, 0.000000, 0.376981,0.533561,0.485060,0.000000,0.000000,1.827463,1.452590,2.167742,1.124191,0.000000
103, 40713, 2.638346, 2.502935, 0.915712, 0.000000, 0.398055,0.459939,0.455773,0.000000,0.000000,1.831338,1.450033,2.158565,1.134734,0.000000
104, 34723, 2.789390, 2.501022, 0.939252, 0.000000, 0.363102,0.463237,0.476015,0.000000,0.000000,1.831118,1.455766,2.146526,1.152561,0.000000
105, 31830, 2.993560, 2.499969, 0.961116, 0.000000, 0.393937,0.470922,0.490194,0.000000,0.000000,1.834201,1.465388,2.142027,1.170050,0.000000
106, 29133, 2.869770, 2.498884, 0.848032, 0.000000, 0.421996,0.403519,0.444514,0.000000,0.000000,1.838073,1.464234,2.136637,1.178197,0.000000
107, 24846, 2.703775, 2.501127, 0.740744, 0.000000, 0.470861,0.329629,0.411115,0.000000,0.000000,1.832782,1.467694,2.133836,1.179276,0.000000
108, 18873, 2.652890, 2.498649, 1.800170, 0.266460, 0.530069,0.846102,0.954068,0.151392,0.115068,1.822354,1.476309,2.138026,1.173419,0.000000
109, 12980, 2.815177, 2.505701, 2.054972, 0.113265, 0.293220,1.259712,0.795260,0.063604,0.049661,1.838439,1.488062,2.055693,1.284830,0.000000
110, 12140, 3.108731, 2.504942, 2.106846, 0.075058, 0.250659,1.395416,0.711430,0.041925,0.033132,1.857767,1.492477,2.026793,1.337929,0.000000
111, 14763, 2.953532, 2.501592, 1.825812, 0.044658, 0.185938,1.280201,0.545611,0.024737,0.019920,1.892610,1.492741,2.009172,1.390902,0.000000
112, 19563, 2.802126, 2.503195, 1.464473, 0.026060, 0.214231,1.063800,0.400673,0.013961,0.012099,1.911085,1.497338,2.018372,1.404798,0.000000
113, 23452, 2.942564, 2.510490, 1.294773, 0.016448, 0.381460,0.957753,0.337020,0.008363,0.008085,1.910819,1.498977,2.027596,1.396880,0.000000
114, 22686, 2.605484, 2.512651, 1.050890, 0.018649, 0.405625,0.780093,0.270797,0.009765,0.008885,1.909420,1.494329,2.029471,1.388823,0.000000
115, 19520, 2.539395, 2.507684, 0.950765, 0.015834, 0.421414,0.707480,0.243285,0.008467,0.007367,1.909996,1.497413,2.032259,1.389739,0.000000
116, 16094, 2.749410, 2.501926, 1.023284, 0.012246, 0.370884,0.758072,0.265212,0.006478,0.005768,1.900064,1.508795,2.030846,1.392879,0.000000
117, 14836, 2.992181, 2.497102, 1.064665, 0.012119, 0.398692,0.785553,0.279111,0.006259,0.005860,1.902252,1.511443,2.035047,1.393532,0.000000
118, 13865, 2.803390, 2.498954, 0.915873, 0.014607, 0.420988,0.674961,0.240912,0.007837,0.006770,1.899605,1.522072,2.059201,1.377335,0.000000
119, 12002, 2.688219, 2.501750, 0.801516, 0.011243, 0.479087,0.591893,0.209624,0.006110,0.005133,1.896467,1.533710,2.082191,1.362857,0.000000
120, 9197, 2.628901, 2.496358, 1.807406, 0.294752, 0.539524,1.238337,0.569069,0.147104,0.147648,1.884672,1.535413,2.093236,1.341622,0.000000
121, 6398, 2.757893, 2.498750, 1.949051, 0.128486, 0.298687,1.093740,0.855312,0.063585,0.064901,1.897194,1.519622,2.240506,1.189032,0.000000
122, 5997, 3.057029, 2.494914, 1.948682, 0.075889, 0.249291,0.982512,0.966170,0.037790,0.038099,1.902907,1.521877,2.305447,1.131377,0.000000
123, 6932, 3.001010, 2.493076, 1.725741, 0.040874, 0.188257,0.802304,0.923437,0.019959,0.020915,1.913922,1.551224,2.377715,1.099356,0.000000
124, 8919, 2.882722, 2.497253, 1.445415, 0.019739, 0.196771,0.614921,0.830493,0.010196,0.009543,1.921348,1.562142,2.438523,1.056465,0.000000
125, 10735, 3.016581, 2.495855, 1.301997, 0.009383, 0.341966,0.515593,0.786404,0.005262,0.004120,1.916946,1.560545,2.461699,1.026981,0.000000
126, 10688, 2.719031, 2.496725, 1.105626, 0.011551, 0.380146,0.400950,0.704675,0.006326,0.005226,1.905003,1.568767,2.459464,1.025706,0.000000
127, 9541, 2.615659, 2.501520, 1.021665, 0.010538, 0.382140,0.339385,0.682280,0.005827,0.004711,1.907972,1.578785,2.458085,1.040331,0.000000
128, 8424, 2.763295, 2.500950, 1.057669, 0.010713, 0.342236,0.334939,0.722730,0.005651,0.005063,1.905298,1.594011,2.461770,1.049517,0.000000
129, 8135, 2.962754, 2.500430, 1.099716, 0.009154, 0.362016,0.324755,0.774961,0.005090,0.004063,1.903235,1.623855,2.488785,1.050686,0.000000
130, 7934, 2.876229, 2.505294, 1.010969, 0.013435, 0.401689,0.276035,0.734935,0.007260,0.006175,1.915970,1.629317,2.514537,1.042981,0.000000
131, 7138, 2.702298, 2.507985, 0.921579, 0.012545, 0.432334,0.223323,0.698256,0.006581,0.005965,1.906673,1.653313,2.527568,1.045064,0.000000
132, 5824, 2.694025, 2.508242, 1.944133, 0.218573, 0.446944,0.754097,1.190036,0.121199,0.097374,1.896142,1.681461,2.533383,1.057461,0.000000
133, 4657, 2.800086, 2.501610, 2.091704, 0.083127, 0.231479,0.893848,1.197856,0.045492,0.037635,1.909783,1.650913,2.535703,1.037493,0.000000
