time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 1.000000, 1.000000, 0.379120, 0.000000, 0.000000,0.249522,0.129597,0.000000,0.000000,-0.028726,-0.026639,-0.013415,-0.042465,0.000000
1, 1000, 2.000000, 1.000000, 0.758240, 0.000000, 0.699000,0.499045,0.259195,0.000000,0.000000,-0.028726,-0.026639,-0.013415,-0.042465,0.000000
2, 301, 3.000000, 1.000000, 3.261117, 0.000000, 0.000000,2.216783,1.044334,0.000000,0.000000,0.530231,0.008690,0.285337,0.251095,0.000000
3, 301, 4.000000, 1.000000, 3.261117, 0.000000, 0.000000,2.216783,1.044334,0.000000,0.000000,0.530231,0.008690,0.285337,0.251095,0.000000
4, 731, 2.647059, 1.000000, 1.971428, 0.000000, 0.000000,1.370596,0.600831,0.000000,0.000000,0.613206,-0.079670,0.257729,0.271612,0.000000
5, 1125, 2.720000, 1.000000, 1.848340, 0.000000, 0.115556,1.290768,0.557573,0.000000,0.000000,0.682914,-0.124356,0.246216,0.307286,0.000000
6, 1450, 2.931034, 1.000000, 1.874107, 0.000000, 0.302759,1.306153,0.567955,0.000000,0.000000,0.739187,-0.123777,0.265653,0.344553,0.000000
7, 1443, 2.293832, 1.000000, 1.627960, 0.000000, 0.146916,1.126800,0.501159,0.000000,0.000000,0.758688,-0.109282,0.278843,0.365575,0.000000
8, 1826, 2.580504, 1.000000, 1.729290, 0.000000, 0.112815,1.186970,0.542320,0.000000,0.000000,0.809641,-0.116910,0.288486,0.399018,0.000000
9, 2737, 2.571063, 1.000000, 1.633878, 0.000000, 0.087687,1.125704,0.508175,0.000000,0.000000,0.856195,-0.162504,0.315954,0.371158,0.000000
10, 4095, 2.601221, 1.000000, 1.516647, 0.000000, 0.202198,1.041257,0.475389,0.000000,0.000000,0.865136,-0.166941,0.329664,0.361698,0.000000
11, 5314, 2.410613, 1.000000, 1.381384, 0.000000, 0.211893,0.946199,0.435184,0.000000,0.000000,0.883983,-0.160194,0.339487,0.377538,0.000000
12, 6429, 2.443148, 1.000000, 1.463016, 0.000000, 0.198320,0.992443,0.470573,0.000000,0.000000,0.883159,-0.138075,0.336769,0.402110,0.000000
13, 8105, 2.473411, 1.000000, 1.307460, 0.000000, 0.211598,0.880559,0.426901,0.000000,0.000000,0.884527,-0.118260,0.341295,0.419190,0.000000
14, 10632, 2.456640, 1.000000, 1.118137, 0.000000, 0.248401,0.754517,0.363620,0.000000,0.000000,0.921820,-0.128877,0.373464,0.413118,0.000000
15, 13830, 2.378308, 1.000000, 0.938170, 0.000000, 0.296529,0.629521,0.308649,0.000000,0.000000,0.984873,-0.133262,0.438714,0.405751,0.000000
16, 16229, 2.339885, 1.000000, 0.839173, 0.000000, 0.346910,0.558928,0.280245,0.000000,0.000000,1.023506,-0.099833,0.522477,0.393934,0.000000
17, 17156, 2.344952, 1.000000, 0.792689, 0.000000, 0.382723,0.516616,0.276073,0.000000,0.000000,1.058729,-0.064086,0.598385,0.389022,0.000000
18, 16718, 2.317323, 1.000000, 0.783942, 0.000000, 0.384496,0.501263,0.282680,0.000000,0.000000,1.111371,-0.034477,0.672511,0.397064,0.000000
19, 16033, 2.379966, 1.000000, 0.827704, 0.000000, 0.372170,0.524823,0.302881,0.000000,0.000000,1.148122,0.005549,0.730050,0.416640,0.000000
20, 16117, 2.420798, 1.000000, 0.861625, 0.000000, 0.347273,0.538115,0.323510,0.000000,0.000000,1.182386,0.023585,0.763922,0.435148,0.000000
21, 16914, 2.429112, 1.000000, 0.873415, 0.000000, 0.354322,0.534968,0.338447,0.000000,0.000000,1.208915,0.035876,0.785183,0.452786,0.000000
22, 17621, 2.385563, 1.000000, 0.869157, 0.000000, 0.356733,0.523359,0.345798,0.000000,0.000000,1.219924,0.069961,0.811505,0.472084,0.000000
23, 18070, 2.367958, 1.000000, 0.871289, 0.000000, 0.360266,0.520537,0.350752,0.000000,0.000000,1.233599,0.105203,0.838152,0.494906,0.000000
24, 18546, 2.367626, 1.000000, 1.310610, 0.000000, 0.243125,0.782101,0.528509,0.000000,0.000000,1.237002,0.138115,0.870258,0.499537,0.000000
25, 21447, 2.434326, 1.000000, 1.302715, 0.000000, 0.230802,0.762554,0.540162,0.000000,0.000000,1.235046,0.184614,0.902346,0.512733,0.000000
