time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 1.000000, 1.000000, 0.392789, 0.000000, 0.000000,0.208989,0.183800,0.000000,0.000000,0.039724,-0.045989,-0.025181,0.018147,0.000000
1, 1000, 2.000000, 1.000000, 0.785578, 0.000000, 0.698000,0.417978,0.367599,0.000000,0.000000,0.039724,-0.045989,-0.025181,0.018147,0.000000
2, 302, 3.000000, 1.000000, 3.311331, 0.000000, 0.000000,1.761222,1.550109,0.000000,0.000000,0.385556,0.218508,0.274429,0.332131,0.000000
3, 302, 4.000000, 1.000000, 3.311331, 0.000000, 0.000000,1.761222,1.550109,0.000000,0.000000,0.385556,0.218508,0.274429,0.332131,0.000000
4, 727, 2.661623, 1.000000, 1.998814, 0.000000, 0.000000,1.059009,0.939805,0.000000,0.000000,0.418759,0.214800,0.266990,0.369097,0.000000
5, 1136, 2.703345, 1.000000, 1.810628, 0.000000, 0.110035,0.938251,0.872377,0.000000,0.000000,0.371541,0.258208,0.267413,0.365844,0.000000
6, 1442, 2.956311, 1.000000, 1.884738, 0.000000, 0.324549,0.972249,0.912489,0.000000,0.000000,0.354601,0.305127,0.284280,0.379868,0.000000
7, 1413, 2.285916, 1.000000, 1.609205, 0.000000, 0.133758,0.833185,0.776020,0.000000,0.000000,0.390252,0.332024,0.303281,0.423878,0.000000
8, 1837, 2.552531, 1.000000, 1.694820, 0.000000, 0.132825,0.882867,0.811953,0.000000,0.000000,0.419464,0.363444,0.339943,0.448211,0.000000
9, 2706, 2.552476, 1.000000, 1.604048, 0.000000, 0.089061,0.830793,0.773256,0.000000,0.000000,0.425476,0.395311,0.342979,0.483786,0.000000
