time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 1.000000, 1.000000, 0.398478, 0.000000, 0.000000,0.176416,0.222062,0.000000,0.000000,-0.063685,0.082601,0.004148,0.016627,0.000000
1, 1000, 2.000000, 1.000000, 0.796956, 0.000000, 0.696000,0.352832,0.444124,0.000000,0.000000,-0.063685,0.082601,0.004148,0.016627,0.000000
2, 304, 3.000000, 1.000000, 3.437094, 0.000000, 0.000000,1.486710,1.950385,0.000000,0.000000,0.190873,0.436274,0.324396,0.309673,0.000000
3, 304, 4.000000, 1.000000, 3.437094, 0.000000, 0.000000,1.486710,1.950385,0.000000,0.000000,0.190873,0.436274,0.324396,0.309673,0.000000
4, 690, 2.762319, 1.000000, 2.146683, 0.000000, 0.000000,0.927900,1.218783,0.000000,0.000000,0.200631,0.501569,0.389159,0.320796,0.000000
5, 1096, 2.739051, 1.000000, 1.924274, 0.000000, 0.096715,0.840840,1.083435,0.000000,0.000000,0.187786,0.506523,0.391379,0.310764,0.000000
6, 1432, 2.948324, 1.000000, 1.938731, 0.000000, 0.322626,0.853550,1.085181,0.000000,0.000000,0.217417,0.517170,0.426107,0.316203,0.000000
7, 1403, 2.267284, 1.000000, 1.654388, 0.000000, 0.119743,0.758179,0.896209,0.000000,0.000000,0.276972,0.526566,0.504085,0.306573,0.000000
8, 1821, 2.562328, 1.000000, 1.673327, 0.000000, 0.106535,0.764882,0.908445,0.000000,0.000000,0.348885,0.535310,0.525440,0.365917,0.000000
9, 2715, 2.575691, 1.000000, 1.556619, 0.000000, 0.109024,0.706514,0.850105,0.000000,0.000000,0.383152,0.535167,0.560222,0.364894,0.000000
10, 4020, 2.592289, 1.000000, 1.469606, 0.000000, 0.213433,0.665633,0.803973,0.000000,0.000000,0.360038,0.548456,0.568748,0.346738,0.000000
11, 5225, 2.398086, 1.000000, 1.397667, 0.000000, 0.217990,0.641529,0.756139,0.000000,0.000000,0.387941,0.528060,0.580719,0.341680,0.000000
12, 6193, 2.455191, 1.000000, 2.051525, 0.000000, 0.132569,0.944254,1.107271,0.000000,0.000000,0.407480,0.510844,0.574776,0.349622,0.000000
13, 8111, 2.503267, 1.000000, 1.991075, 0.000000, 0.107508,0.922981,1.068095,0.000000,0.000000,0.416629,0.521736,0.572790,0.371943,0.000000
14, 11872, 2.462685, 1.000000, 1.635809, 0.000000, 0.140667,0.759785,0.876025,0.000000,0.000000,0.384818,0.580342,0.581503,0.391291,0.000000
15, 18328, 2.333861, 1.000000, 1.255520, 0.000000, 0.195711,0.584904,0.670616,0.000000,0.000000,0.388575,0.615467,0.607176,0.405050,0.000000
16, 25244, 2.309262, 1.000000, 1.021773, 0.000000, 0.272382,0.474653,0.547120,0.000000,0.000000,0.412247,0.608113,0.615760,0.412536,0.000000
17, 30426, 2.347302, 1.000000, 0.875680, 0.000000, 0.334582,0.411978,0.463703,0.000000,0.000000,0.422126,0.605242,0.612369,0.422916,0.000000
18, 32588, 2.334203, 1.000000, 0.773122, 0.000000, 0.367037,0.367171,0.405950,0.000000,0.000000,0.437305,0.594890,0.611496,0.428395,0.000000
19, 32485, 2.378328, 1.000000, 0.755756, 0.000000, 0.377959,0.360833,0.394923,0.000000,0.000000,0.449915,0.591872,0.616661,0.432704,0.000000
20, 32255, 2.423314, 1.000000, 0.758308, 0.000000, 0.375694,0.369529,0.388779,0.000000,0.000000,0.458060,0.608730,0.637331,0.437211,0.000000
21, 32404, 2.424145, 1.000000, 0.753250, 0.000000, 0.392544,0.375212,0.378038,0.000000,0.000000,0.466786,0.630146,0.652135,0.452901,0.000000
22, 31955, 2.355406, 1.000000, 0.733884, 0.000000, 0.398780,0.372215,0.361669,0.000000,0.000000,0.489004,0.629092,0.664822,0.461232,0.000000
23, 30609, 2.325950, 1.000000, 0.727112, 0.000000, 0.407429,0.376360,0.350752,0.000000,0.000000,0.524300,0.611424,0.678905,0.464232,0.000000
24, 28937, 2.326952, 1.000000, 1.628987, 0.000000, 0.196185,0.814453,0.814534,0.000000,0.000000,0.563395,0.581087,0.685183,0.465955,0.000000
25, 33966, 2.438674, 1.000000, 1.614607, 0.000000, 0.156657,0.810561,0.804046,0.000000,0.000000,0.592634,0.570941,0.700330,0.469518,0.000000
26, 41041, 2.601082, 1.000000, 1.389945, 0.000000, 0.211496,0.702603,0.687343,0.000000,0.000000,0.616811,0.561038,0.706274,0.477570,0.000000
27, 56799, 2.460431, 1.000000, 1.048777, 0.000000, 0.205937,0.527183,0.521594,0.000000,0.000000,0.600954,0.599294,0.723363,0.483581,0.000000
28, 79398, 2.379644, 1.000000, 0.768369, 0.000000, 0.291758,0.387401,0.380968,0.000000,0.000000,0.584704,0.629440,0.732418,0.489023,0.000000
29, 93734, 2.448290, 1.000000, 0.629677, 0.000000, 0.419122,0.317195,0.312483,0.000000,0.000000,0.589972,0.631460,0.740097,0.488596,0.000000
30, 91117, 2.264320, 1.000000, 0.473101, 0.000000, 0.470395,0.246279,0.226822,0.000000,0.000000,0.608415,0.615976,0.750312,0.480874,0.000000
31, 74931, 2.157411, 1.000000, 0.385043, 0.000000, 0.521613,0.205264,0.179778,0.000000,0.000000,0.635480,0.598280,0.760891,0.479149,0.000000
32, 53588, 2.248731, 1.000000, 0.418597, 0.000000, 0.524296,0.225084,0.193514,0.000000,0.000000,0.686707,0.567547,0.780923,0.478702,0.000000
33, 39655, 2.361821, 1.000000, 0.477899, 0.000000, 0.502257,0.256350,0.221549,0.000000,0.000000,0.716419,0.558416,0.799863,0.479940,0.000000
34, 31946, 2.271020, 1.000000, 0.441127, 0.000000, 0.496056,0.239254,0.201873,0.000000,0.000000,0.728310,0.550232,0.806145,0.477110,0.000000
35, 24842, 2.211295, 1.000000, 0.415993, 0.000000, 0.531922,0.223483,0.192510,0.000000,0.000000,0.745919,0.526540,0.808510,0.468087,0.000000
36, 17663, 2.213554, 1.000000, 1.534409, 0.000000, 0.220348,0.827782,0.706627,0.000000,0.000000,0.789685,0.493076,0.805107,0.481079,0.000000
37, 18263, 2.468762, 1.000000, 1.813512, 0.000000, 0.148935,0.964901,0.848610,0.000000,0.000000,0.814593,0.490819,0.812616,0.496108,0.000000
38, 19685, 2.851257, 1.000000, 1.738855, 0.000000, 0.176632,0.921750,0.817105,0.000000,0.000000,0.817443,0.507719,0.820013,0.508783,0.000000
39, 31926, 2.466767, 1.000000, 1.313386, 0.000000, 0.122095,0.689332,0.624055,0.000000,0.000000,0.774376,0.562555,0.827161,0.514587,0.000000
40, 51203, 2.340019, 1.000000, 0.975465, 0.000000, 0.234830,0.509712,0.465752,0.000000,0.000000,0.767197,0.576416,0.831686,0.517015,0.000000
