time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 1.000000, 1.000000, 0.420641, 0.000000, 0.000000,0.200103,0.220538,0.000000,0.000000,0.027651,0.019991,0.057854,-0.010366,0.000000
1, 1000, 2.000000, 1.000000, 0.841281, 0.000000, 0.669000,0.400206,0.441076,0.000000,0.000000,0.027651,0.019991,0.057854,-0.010366,0.000000
2, 331, 3.000000, 1.000000, 3.318420, 0.000000, 0.000000,1.526575,1.791845,0.000000,0.000000,0.297607,0.362834,0.397315,0.267571,0.000000
3, 331, 4.000000, 1.000000, 3.318420, 0.000000, 0.000000,1.526575,1.791845,0.000000,0.000000,0.297607,0.362834,0.397315,0.267571,0.000000
4, 857, 2.544924, 1.000000, 1.979122, 0.000000, 0.000000,0.921909,1.057214,0.000000,0.000000,0.330157,0.461410,0.516433,0.280608,0.000000
5, 1446, 2.508299, 1.000000, 1.751813, 0.000000, 0.100968,0.829514,0.922299,0.000000,0.000000,0.345633,0.453075,0.519716,0.284244,0.000000
6, 1870, 2.783422, 1.000000, 1.808307, 0.000000, 0.303209,0.850613,0.957694,0.000000,0.000000,0.356383,0.461869,0.512517,0.311292,0.000000
7, 1820, 2.327473, 1.000000, 1.668832, 0.000000, 0.136264,0.789063,0.879769,0.000000,0.000000,0.387132,0.483192,0.553363,0.322593,0.000000
8, 2333, 2.603086, 1.000000, 1.701712, 0.000000, 0.091727,0.798897,0.902814,0.000000,0.000000,0.444794,0.508211,0.618401,0.340152,0.000000
9, 3602, 2.567185, 1.000000, 1.557715, 0.000000, 0.092726,0.725217,0.832498,0.000000,0.000000,0.454649,0.532935,0.650824,0.342539,0.000000
10, 5357, 2.601456, 1.000000, 1.455354, 0.000000, 0.210752,0.676582,0.778773,0.000000,0.000000,0.427010,0.547642,0.647814,0.332973,0.000000
