time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 1.000000, 0.000000, 0.353169, 0.000000, 0.000000,0.180730,0.172439,0.000000,0.000000,-0.049618,-0.034227,-0.051534,-0.019849,0.000000
1, 1000, 2.000000, 0.000000, 0.706339, 0.000000, 0.714000,0.361460,0.344878,0.000000,0.000000,-0.049618,-0.034227,-0.051534,-0.019849,0.000000
2, 286, 3.000000, 0.000000, 3.239548, 0.000000, 0.000000,1.677626,1.561922,0.000000,0.000000,0.550012,0.496344,0.011016,-0.097121,0.000000
3, 286, 4.000000, 0.000000, 3.239548, 0.000000, 0.000000,1.677626,1.561922,0.000000,0.000000,0.550012,0.496344,0.011016,-0.097121,0.000000
4, 1064, 2.075188, 0.000000, 1.665281, 0.000000, 0.000000,0.855423,0.809858,0.000000,0.000000,0.627118,0.556530,-0.007590,-0.102100,0.000000
5, 1842, 2.198697, 0.000000, 1.596381, 0.000000, 0.055917,0.818951,0.777431,0.000000,0.000000,0.640382,0.566899,-0.010758,-0.103117,0.000000
6, 2517, 2.527215, 0.000000, 1.685472, 0.000000, 0.177592,0.854511,0.830961,0.000000,0.000000,0.634151,0.570184,-0.011543,-0.102907,0.000000
7, 2848, 2.417486, 0.000000, 1.573561, 0.000000, 0.062851,0.782717,0.790843,0.000000,0.000000,0.640368,0.567827,-0.017650,-0.096219,0.000000
8, 3761, 2.735443, 0.000000, 1.556014, 0.000000, 0.070992,0.757261,0.798753,0.000000,0.000000,0.611733,0.573394,-0.010056,-0.103857,0.000000
9, 5580, 2.748029, 0.000000, 1.485806, 0.000000, 0.061649,0.716432,0.769374,0.000000,0.000000,0.585555,0.572205,-0.002506,-0.093292,0.000000
10, 8279, 2.769054, 0.000000, 1.439534, 0.000000, 0.173572,0.691992,0.747543,0.000000,0.000000,0.577307,0.576101,-0.002287,-0.097632,0.000000
11, 10688, 2.560254, 0.000000, 1.389811, 0.000000, 0.182260,0.667587,0.722224,0.000000,0.000000,0.571830,0.578568,0.002490,-0.094973,0.000000
12, 13116, 2.554056, 0.000000, 1.840275, 0.000000, 0.096295,0.892790,0.947485,0.000000,0.000000,0.575323,0.592154,0.001509,-0.102057,0.000000
13, 17939, 2.559619, 0.000000, 1.768549, 0.000000, 0.067562,0.859305,0.909244,0.000000,0.000000,0.598314,0.600477,-0.001667,-0.101172,0.000000
14, 26356, 2.553271, 0.000000, 1.447896, 0.000000, 0.124184,0.702595,0.745301,0.000000,0.000000,0.608220,0.606607,-0.004511,-0.105037,0.000000
15, 38797, 2.469392, 0.000000, 1.121946, 0.000000, 0.191046,0.543118,0.578828,0.000000,0.000000,0.612687,0.610417,-0.003072,-0.099901,0.000000
16, 51533, 2.442978, 0.000000, 0.896592, 0.000000, 0.265480,0.432549,0.464043,0.000000,0.000000,0.619024,0.610885,0.002897,-0.096042,0.000000
17, 60580, 2.485177, 0.000000, 0.755625, 0.000000, 0.333476,0.365399,0.390226,0.000000,0.000000,0.616815,0.610480,0.009913,-0.094831,0.000000
18, 63428, 2.485748, 0.000000, 0.655365, 0.000000, 0.376080,0.315972,0.339393,0.000000,0.000000,0.611574,0.609883,0.014464,-0.095448,0.000000
19, 60770, 2.507043, 0.000000, 0.616968, 0.000000, 0.402715,0.295122,0.321846,0.000000,0.000000,0.607243,0.607392,0.024505,-0.096395,0.000000
20, 55861, 2.532411, 0.000000, 0.610342, 0.000000, 0.409516,0.290971,0.319372,0.000000,0.000000,0.603189,0.600501,0.035955,-0.101912,0.000000
21, 50867, 2.533529, 0.000000, 0.606461, 0.000000, 0.423949,0.293203,0.313258,0.000000,0.000000,0.602152,0.592484,0.049869,-0.102247,0.000000
22, 45579, 2.470370, 0.000000, 0.586250, 0.000000, 0.428421,0.288221,0.298029,0.000000,0.000000,0.601893,0.583768,0.065970,-0.103291,0.000000
23, 40178, 2.441162, 0.000000, 0.568397, 0.000000, 0.437876,0.282653,0.285745,0.000000,0.000000,0.599712,0.574347,0.077970,-0.106903,0.000000
