time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 1.000000, 2.481000, 0.423097, 0.000000, 0.000000,0.189952,0.233146,0.000000,0.000000,0.034532,0.025981,0.043400,0.044214,0.000000
1, 1000, 2.000000, 2.481000, 0.846195, 0.000000, 0.682000,0.379904,0.466291,0.000000,0.000000,0.034532,0.025981,0.043400,0.044214,0.000000
2, 318, 3.000000, 2.487421, 3.465992, 0.000000, 0.000000,1.544794,1.921198,0.000000,0.000000,0.470497,0.600230,0.090983,0.067585,0.000000
3, 318, 4.000000, 2.487421, 3.465992, 0.000000, 0.000000,1.544794,1.921198,0.000000,0.000000,0.470497,0.600230,0.090983,0.067585,0.000000
4, 485, 3.622680, 2.478351, 2.683345, 0.000000, 0.000000,1.126691,1.556654,0.000000,0.000000,0.427513,0.702171,0.130097,0.023700,0.000000
5, 626, 3.806709, 2.511182, 2.442433, 0.000000, 0.076677,0.985873,1.456560,0.000000,0.000000,0.406280,0.698846,0.135468,0.061132,0.000000
6, 717, 4.189679, 2.492329, 2.462351, 0.000000, 0.516039,0.998474,1.463877,0.000000,0.000000,0.436456,0.716524,0.112044,0.089124,0.000000
7, 485, 2.389691, 2.482474, 1.772834, 0.000000, 0.115464,0.675547,1.097286,0.000000,0.000000,0.521572,0.769119,0.168057,0.119746,0.000000
8, 497, 3.106640, 2.484909, 2.056834, 0.000000, 0.112676,0.782446,1.274388,0.000000,0.000000,0.545429,0.881534,0.189363,0.034346,0.000000
9, 586, 3.443686, 2.467577, 2.184866, 0.000000, 0.035836,0.813220,1.371645,0.000000,0.000000,0.557608,0.950371,0.189380,-0.056238,0.000000
10, 795, 3.485535, 2.466667, 2.068006, 0.000000, 0.203774,0.749198,1.318808,0.000000,0.000000,0.578085,0.941667,0.192739,-0.067033,0.000000
11, 949, 2.951528, 2.494204, 1.897169, 0.000000, 0.184405,0.695828,1.201340,0.000000,0.000000,0.623621,0.934845,0.213541,-0.057379,0.000000
12, 1028, 2.951362, 2.481518, 2.272847, 0.000000, 0.151751,0.928279,1.344569,0.000000,0.000000,0.642214,0.931208,0.200005,-0.073888,0.000000
13, 1217, 2.895645, 2.494659, 2.196907, 0.000000, 0.146261,0.941550,1.255358,0.000000,0.000000,0.663718,0.937011,0.251407,-0.128998,0.000000
14, 1536, 2.795573, 2.485677, 2.003257, 0.000000, 0.145833,0.885691,1.117566,0.000000,0.000000,0.639554,0.957958,0.287927,-0.177366,0.000000
15, 2087, 2.730235, 2.487302, 1.748005, 0.000000, 0.174892,0.802524,0.945481,0.000000,0.000000,0.696079,0.959406,0.271472,-0.203177,0.000000
16, 2629, 2.695702, 2.496386, 1.572875, 0.000000, 0.229365,0.756014,0.816860,0.000000,0.000000,0.731475,0.952205,0.266013,-0.177178,0.000000
17, 2967, 2.739467, 2.502528, 1.470149, 0.000000, 0.268622,0.756307,0.713841,0.000000,0.000000,0.789947,0.910454,0.241510,-0.156270,0.000000
18, 3034, 2.753131, 2.494067, 1.430713, 0.000000, 0.257746,0.781971,0.648742,0.000000,0.000000,0.855468,0.868136,0.275849,-0.142952,0.000000
19, 3080, 2.947727, 2.487338, 1.494929, 0.000000, 0.236039,0.823721,0.671207,0.000000,0.000000,0.915571,0.836461,0.298447,-0.128290,0.000000
20, 3300, 3.056061, 2.491515, 1.505429, 0.000000, 0.239091,0.828334,0.677096,0.000000,0.000000,0.973168,0.787176,0.304672,-0.127206,0.000000
21, 3647, 3.011791, 2.483685, 1.492222, 0.000000, 0.259117,0.826786,0.665436,0.000000,0.000000,1.004555,0.771301,0.286876,-0.140553,0.000000
22, 3960, 2.897475, 2.492172, 1.466901, 0.000000, 0.275253,0.822735,0.644166,0.000000,0.000000,1.032474,0.761576,0.286282,-0.146263,0.000000
23, 4187, 2.798185, 2.504418, 1.438249, 0.000000, 0.281586,0.803152,0.635097,0.000000,0.000000,1.068991,0.742295,0.297394,-0.144174,0.000000
24, 4369, 2.779126, 2.506981, 1.966928, 0.000000, 0.176242,1.049549,0.917379,0.000000,0.000000,1.092518,0.773372,0.312533,-0.153585,0.000000
25, 5052, 2.796714, 2.503761, 1.956506, 0.000000, 0.158749,1.028915,0.927591,0.000000,0.000000,1.111913,0.804963,0.323252,-0.167689,0.000000
26, 6018, 2.854437, 2.497840, 1.818425, 0.000000, 0.182286,0.950236,0.868189,0.000000,0.000000,1.126323,0.862647,0.329348,-0.171831,0.000000
27, 7299, 2.835046, 2.499109, 1.623845, 0.000000, 0.200712,0.844323,0.779522,0.000000,0.000000,1.140035,0.904907,0.348263,-0.181432,0.000000
28, 8725, 2.807221, 2.511060, 1.454388, 0.000000, 0.233238,0.749482,0.704906,0.000000,0.000000,1.151900,0.937560,0.357006,-0.177513,0.000000
29, 9850, 2.872386, 2.511168, 1.315177, 0.000000, 0.298274,0.670775,0.644402,0.000000,0.000000,1.137637,0.991949,0.369973,-0.179535,0.000000
30, 10163, 2.786579, 2.508118, 1.199516, 0.000000, 0.320378,0.604890,0.594626,0.000000,0.000000,1.150289,1.043197,0.363591,-0.194808,0.000000
31, 9868, 2.788407, 2.502027, 1.167395, 0.000000, 0.330766,0.597514,0.569881,0.000000,0.000000,1.172208,1.067841,0.345984,-0.210505,0.000000
32, 9437, 2.866907, 2.500901, 1.207758, 0.000000, 0.326799,0.623616,0.584142,0.000000,0.000000,1.193204,1.097635,0.326899,-0.207910,0.000000
33, 9203, 2.888189, 2.506791, 1.219875, 0.000000, 0.323916,0.635104,0.584772,0.000000,0.000000,1.233213,1.104060,0.327259,-0.189040,0.000000
34, 9051, 2.869738, 2.502817, 1.216322, 0.000000, 0.343387,0.636107,0.580214,0.000000,0.000000,1.262500,1.106103,0.321505,-0.151338,0.000000
35, 8760, 2.796005, 2.496689, 1.215043, 0.000000, 0.339840,0.639722,0.575321,0.000000,0.000000,1.282537,1.116980,0.317447,-0.135559,0.000000
36, 8509, 2.746269, 2.498648, 1.847583, 0.000000, 0.204254,1.113406,0.734177,0.000000,0.000000,1.323937,1.115916,0.312702,-0.138251,0.000000
37, 9311, 2.781441, 2.496402, 1.983894, 0.000000, 0.169262,1.260107,0.723786,0.000000,0.000000,1.430141,1.082882,0.293390,-0.120094,0.000000
38, 10576, 2.876986, 2.500284, 1.896494, 0.000000, 0.174452,1.226898,0.669596,0.000000,0.000000,1.506021,1.083789,0.285992,-0.092675,0.000000
39, 13139, 2.810031, 2.493797, 1.678261, 0.000000, 0.174138,1.105777,0.572484,0.000000,0.000000,1.577497,1.078492,0.280912,-0.066459,0.000000
