time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 1.000000, 2.487000, 0.377213, 0.000000, 0.000000,0.188267,0.188945,0.000000,0.000000,-0.025345,-0.010962,0.033959,0.002706,0.000000
1, 1000, 2.000000, 2.487000, 0.754425, 0.000000, 0.705000,0.376534,0.377891,0.000000,0.000000,-0.025345,-0.010962,0.033959,0.002706,0.000000
2, 295, 3.000000, 2.484746, 3.371806, 0.000000, 0.000000,1.672803,1.699004,0.000000,0.000000,0.516731,0.480991,-0.008167,0.013440,0.000000
3, 295, 4.000000, 2.484746, 3.371806, 0.000000, 0.000000,1.672803,1.699004,0.000000,0.000000,0.516731,0.480991,-0.008167,0.013440,0.000000
4, 458, 3.576419, 2.495633, 2.515785, 0.000000, 0.000000,1.183069,1.332716,0.000000,0.000000,0.394141,0.582307,-0.061534,0.014628,0.000000
5, 611, 3.680851, 2.504092, 2.281132, 0.000000, 0.091653,1.034833,1.246299,0.000000,0.000000,0.397688,0.601110,-0.065543,0.006584,0.000000
6, 692, 4.088150, 2.489884, 2.337604, 0.000000, 0.502890,1.046807,1.290797,0.000000,0.000000,0.401499,0.616869,-0.048671,0.055008,0.000000
7, 502, 2.310757, 2.496016, 1.697526, 0.000000, 0.117530,0.657145,1.040381,0.000000,0.000000,0.332502,0.741387,-0.045324,0.119947,0.000000
8, 516, 3.019380, 2.484496, 1.976095, 0.000000, 0.135659,0.785917,1.190178,0.000000,0.000000,0.327609,0.805781,-0.078272,0.073532,0.000000
9, 604, 3.347682, 2.480132, 2.013530, 0.000000, 0.061258,0.789768,1.223761,0.000000,0.000000,0.334359,0.862485,-0.170358,0.041609,0.000000
10, 808, 3.410891, 2.496287, 1.903180, 0.000000, 0.226485,0.728271,1.174909,0.000000,0.000000,0.396678,0.816773,-0.179626,0.111392,0.000000
11, 938, 2.977612, 2.486141, 1.819722, 0.000000, 0.198294,0.697784,1.121938,0.000000,0.000000,0.451201,0.786382,-0.108352,0.123309,0.000000
12, 1008, 2.905754, 2.500992, 2.357985, 0.000000, 0.146825,0.917575,1.440410,0.000000,0.000000,0.491597,0.807828,-0.090345,0.095190,0.000000
13, 1133, 2.979700, 2.508385, 2.479785, 0.000000, 0.130627,0.967497,1.512287,0.000000,0.000000,0.529822,0.854197,-0.116450,0.090316,0.000000
14, 1419, 2.860465, 2.513742, 2.276290, 0.000000, 0.079634,0.842488,1.433803,0.000000,0.000000,0.475762,0.893725,-0.128780,0.093656,0.000000
15, 2028, 2.801282, 2.511834, 1.962730, 0.000000, 0.128205,0.725883,1.236848,0.000000,0.000000,0.483828,0.892646,-0.144202,0.102193,0.000000
16, 2625, 2.809905, 2.508952, 1.795028, 0.000000, 0.196571,0.666550,1.128477,0.000000,0.000000,0.502736,0.908905,-0.159802,0.118363,0.000000
17, 3062, 2.818746, 2.507838, 1.677250, 0.000000, 0.226323,0.622840,1.054410,0.000000,0.000000,0.502379,0.915732,-0.134281,0.112113,0.000000
18, 3379, 2.784552, 2.508139, 1.561156, 0.000000, 0.224031,0.578047,0.983108,0.000000,0.000000,0.516562,0.934611,-0.134162,0.117137,0.000000
19, 3614, 2.913392, 2.503874, 1.563403, 0.000000, 0.224958,0.568305,0.995098,0.000000,0.000000,0.473789,0.991146,-0.109678,0.099925,0.000000
20, 4015, 2.973350, 2.508842, 1.560157, 0.000000, 0.224658,0.572108,0.988049,0.000000,0.000000,0.457860,1.012729,-0.075774,0.099923,0.000000
21, 4514, 2.961453, 2.505981, 1.496934, 0.000000, 0.256535,0.557116,0.939818,0.000000,0.000000,0.455052,1.004543,-0.090057,0.104194,0.000000
22, 4893, 2.889843, 2.498263, 1.453774, 0.000000, 0.283875,0.548182,0.905592,0.000000,0.000000,0.482566,0.994568,-0.097686,0.103017,0.000000
23, 5036, 2.852065, 2.500000, 1.480623, 0.000000, 0.290111,0.567303,0.913321,0.000000,0.000000,0.487466,1.001564,-0.105530,0.077910,0.000000
24, 5237, 2.810388, 2.495895, 2.251696, 0.000000, 0.139202,0.877381,1.374314,0.000000,0.000000,0.485741,1.024833,-0.104069,0.065720,0.000000
25, 6253, 2.806333, 2.493203, 2.291938, 0.000000, 0.115145,0.887279,1.404658,0.000000,0.000000,0.477328,1.043379,-0.090201,0.066921,0.000000
26, 7720, 2.862435, 2.491062, 2.091525, 0.000000, 0.139508,0.806875,1.284650,0.000000,0.000000,0.460897,1.065215,-0.074806,0.089335,0.000000
27, 10068, 2.773838, 2.495332, 1.779063, 0.000000, 0.162197,0.687834,1.091229,0.000000,0.000000,0.440906,1.090976,-0.077028,0.088401,0.000000
28, 12760, 2.768495, 2.500000, 1.532582, 0.000000, 0.210266,0.597615,0.934967,0.000000,0.000000,0.451873,1.097337,-0.086132,0.074718,0.000000
29, 15160, 2.821900, 2.500858, 1.347682, 0.000000, 0.286939,0.532513,0.815168,0.000000,0.000000,0.439297,1.114110,-0.094025,0.073218,0.000000
30, 15969, 2.759659, 2.494020, 1.191411, 0.000000, 0.328198,0.474890,0.716521,0.000000,0.000000,0.436861,1.128642,-0.102884,0.079708,0.000000
31, 15489, 2.752663, 2.497902, 1.156452, 0.000000, 0.343921,0.475213,0.681239,0.000000,0.000000,0.453222,1.136392,-0.103981,0.075057,0.000000
