time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 1.000000, 2.519000, 0.404701, 0.000000, 0.000000,0.215490,0.189211,0.000000,0.000000,0.021788,-0.023576,-0.018912,-0.058726,0.000000
1, 1000, 2.000000, 2.519000, 0.809403, 0.000000, 0.696000,0.430981,0.378422,0.000000,0.000000,0.021788,-0.023576,-0.018912,-0.058726,0.000000
2, 304, 3.000000, 2.503289, 3.494604, 0.000000, 0.000000,1.894046,1.600559,0.000000,0.000000,0.626998,0.442267,0.008783,-0.013557,0.000000
3, 304, 4.000000, 2.503289, 3.494604, 0.000000, 0.000000,1.894046,1.600559,0.000000,0.000000,0.626998,0.442267,0.008783,-0.013557,0.000000
4, 465, 3.615054, 2.522581, 2.601902, 0.000000, 0.000000,1.404555,1.197346,0.000000,0.000000,0.656724,0.488323,0.005902,-0.015485,0.000000
5, 632, 3.659810, 2.515823, 2.295255, 0.000000, 0.091772,1.230156,1.065099,0.000000,0.000000,0.645830,0.492060,0.028568,-0.022923,0.000000
6, 751, 3.925433, 2.521971, 2.281409, 0.000000, 0.496671,1.231619,1.049790,0.000000,0.000000,0.690265,0.517768,0.044136,-0.005433,0.000000
7, 569, 2.198594, 2.528998, 1.573877, 0.000000, 0.115993,0.853005,0.720872,0.000000,0.000000,0.826415,0.593235,0.034924,0.014948,0.000000
8, 558, 3.005376, 2.530466, 1.904894, 0.000000, 0.154122,1.018375,0.886520,0.000000,0.000000,0.845813,0.567954,0.008772,0.007206,0.000000
9, 633, 3.377567, 2.519747, 2.006955, 0.000000, 0.022117,1.060370,0.946585,0.000000,0.000000,0.892726,0.564945,0.004932,0.035257,0.000000
10, 861, 3.450639, 2.507549, 1.840110, 0.000000, 0.207898,0.944717,0.895393,0.000000,0.000000,0.902892,0.588914,0.007341,0.064359,0.000000
