time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 1.000000, 1.000000, 0.362525, 0.000000, 0.000000,0.236390,0.126135,0.000000,0.000000,-0.004920,-0.034657,-0.020652,0.036860,0.000000
1, 1000, 2.000000, 1.000000, 0.725050, 0.000000, 0.722000,0.472780,0.252270,0.000000,0.000000,-0.004920,-0.034657,-0.020652,0.036860,0.000000
2, 278, 3.000000, 1.000000, 3.381827, 0.000000, 0.000000,2.234002,1.147825,0.000000,0.000000,0.754491,0.330716,-0.017555,0.069815,0.000000
3, 278, 4.000000, 1.000000, 3.381827, 0.000000, 0.000000,2.234002,1.147825,0.000000,0.000000,0.754491,0.330716,-0.017555,0.069815,0.000000
4, 721, 2.542302, 1.000000, 1.976407, 0.000000, 0.000000,1.318814,0.657593,0.000000,0.000000,0.766857,0.319256,0.003766,0.102885,0.000000
5, 1140, 2.607895, 1.000000, 1.859971, 0.000000, 0.126316,1.249656,0.610315,0.000000,0.000000,0.795426,0.337749,0.005845,0.086339,0.000000
6, 1413, 2.900212, 1.000000, 1.947526, 0.000000, 0.298655,1.314903,0.632623,0.000000,0.000000,0.857112,0.315959,0.015458,0.050701,0.000000
7, 1385, 2.345848, 1.000000, 1.687418, 0.000000, 0.142238,1.147115,0.540303,0.000000,0.000000,0.905997,0.312721,0.044537,0.045564,0.000000
8, 1794, 2.591416, 1.000000, 1.732119, 0.000000, 0.105351,1.176352,0.555768,0.000000,0.000000,0.978296,0.371559,0.035564,0.067748,0.000000
9, 2801, 2.524813, 1.000000, 1.585311, 0.000000, 0.095680,1.060215,0.525096,0.000000,0.000000,1.029846,0.396163,0.045368,0.062565,0.000000
10, 4165, 2.569268, 1.000000, 1.517804, 0.000000, 0.213205,1.033721,0.484083,0.000000,0.000000,1.056152,0.408666,0.035646,0.065207,0.000000
11, 5302, 2.401358, 1.000000, 1.442662, 0.000000, 0.213693,1.000449,0.442212,0.000000,0.000000,1.048247,0.431983,0.044029,0.052815,0.000000
12, 6311, 2.440501, 1.000000, 1.789098, 0.000000, 0.151957,1.260949,0.528149,0.000000,0.000000,1.058092,0.426039,0.032768,0.053911,0.000000
13, 8222, 2.506203, 1.000000, 1.690785, 0.000000, 0.153977,1.190425,0.500360,0.000000,0.000000,1.123237,0.430600,0.031151,0.042111,0.000000
14, 11629, 2.466076, 1.000000, 1.423464, 0.000000, 0.181357,1.005267,0.418197,0.000000,0.000000,1.240588,0.413167,0.029315,0.046537,0.000000
15, 16900, 2.347337, 1.000000, 1.143973, 0.000000, 0.232189,0.802221,0.341752,0.000000,0.000000,1.330359,0.432174,0.048219,0.059286,0.000000
16, 21795, 2.320808, 1.000000, 0.976769, 0.000000, 0.298509,0.677606,0.299163,0.000000,0.000000,1.394450,0.455946,0.058304,0.067737,0.000000
17, 24920, 2.352327, 1.000000, 0.873819, 0.000000, 0.341854,0.593317,0.280502,0.000000,0.000000,1.452277,0.487036,0.067502,0.075308,0.000000
18, 26202, 2.341577, 1.000000, 0.805618, 0.000000, 0.357339,0.537652,0.267966,0.000000,0.000000,1.505569,0.533891,0.065917,0.079531,0.000000
19, 26376, 2.411245, 1.000000, 0.808749, 0.000000, 0.363512,0.531889,0.276859,0.000000,0.000000,1.537985,0.576027,0.068495,0.088279,0.000000
20, 27006, 2.441457, 1.000000, 0.813797, 0.000000, 0.357550,0.528913,0.284883,0.000000,0.000000,1.553221,0.618507,0.077839,0.101008,0.000000
21, 27908, 2.427619, 1.000000, 0.801962, 0.000000, 0.375842,0.511120,0.290842,0.000000,0.000000,1.559106,0.667508,0.084210,0.106327,0.000000
22, 28021, 2.375112, 1.000000, 0.783096, 0.000000, 0.382142,0.489324,0.293772,0.000000,0.000000,1.562485,0.711410,0.091263,0.117121,0.000000
23, 27543, 2.350870, 1.000000, 0.789375, 0.000000, 0.385942,0.483645,0.305730,0.000000,0.000000,1.562198,0.750292,0.086874,0.140932,0.000000
24, 27032, 2.359315, 1.000000, 1.480771, 0.000000, 0.221330,0.916085,0.564686,0.000000,0.000000,1.572368,0.789231,0.077462,0.165945,0.000000
25, 31479, 2.437498, 1.000000, 1.494648, 0.000000, 0.185139,0.896781,0.597867,0.000000,0.000000,1.594651,0.852733,0.073744,0.167662,0.000000
26, 37476, 2.571379, 1.000000, 1.325148, 0.000000, 0.231108,0.772712,0.552436,0.000000,0.000000,1.615840,0.928512,0.090261,0.156664,0.000000
27, 49618, 2.454271, 1.000000, 1.051328, 0.000000, 0.222762,0.597584,0.453744,0.000000,0.000000,1.645634,1.007345,0.104434,0.133194,0.000000
28, 66891, 2.382697, 1.000000, 0.804761, 0.000000, 0.290024,0.449791,0.354970,0.000000,0.000000,1.678202,1.057684,0.113451,0.134037,0.000000
29, 78765, 2.447039, 1.000000, 0.672784, 0.000000, 0.400952,0.369112,0.303672,0.000000,0.000000,1.696505,1.094912,0.117435,0.134201,0.000000
30, 78388, 2.298464, 1.000000, 0.534079, 0.000000, 0.447900,0.273413,0.260667,0.000000,0.000000,1.708984,1.129502,0.120809,0.144139,0.000000
31, 67573, 2.218120, 1.000000, 0.464320, 0.000000, 0.488642,0.219098,0.245222,0.000000,0.000000,1.713793,1.168439,0.129730,0.149441,0.000000
32, 52506, 2.297318, 1.000000, 0.501424, 0.000000, 0.485183,0.228331,0.273093,0.000000,0.000000,1.714243,1.224712,0.139260,0.143837,0.000000
33, 42177, 2.390165, 1.000000, 0.563850, 0.000000, 0.467553,0.253548,0.310302,0.000000,0.000000,1.724328,1.272755,0.148355,0.141044,0.000000
34, 36220, 2.318332, 1.000000, 0.551758, 0.000000, 0.456129,0.240103,0.311654,0.000000,0.000000,1.736151,1.298305,0.159563,0.153836,0.000000
35, 30820, 2.278650, 1.000000, 0.542191, 0.000000, 0.475860,0.225585,0.316606,0.000000,0.000000,1.751397,1.317382,0.156911,0.164366,0.000000
36, 25128, 2.290831, 1.000000, 1.457410, 0.000000, 0.231455,0.455285,1.002125,0.000000,0.000000,1.768297,1.348089,0.157172,0.175174,0.000000
37, 27134, 2.447520, 1.000000, 1.619205, 0.000000, 0.156446,0.470547,1.148658,0.000000,0.000000,1.767395,1.452722,0.182081,0.181113,0.000000
38, 30659, 2.721550, 1.000000, 1.484852, 0.000000, 0.204410,0.407008,1.077844,0.000000,0.000000,1.769580,1.515912,0.190766,0.184378,0.000000
39, 43765, 2.510933, 1.000000, 1.162970, 0.000000, 0.168102,0.314497,0.848472,0.000000,0.000000,1.766052,1.597386,0.204521,0.186803,0.000000
40, 64968, 2.393486, 1.000000, 0.866471, 0.000000, 0.251077,0.231816,0.634655,0.000000,0.000000,1.761934,1.643740,0.214064,0.189278,0.000000
41, 79860, 2.489244, 1.000000, 0.736637, 0.000000, 0.399574,0.195991,0.540646,0.000000,0.000000,1.761063,1.660602,0.218655,0.193219,0.000000
42, 79107, 2.286751, 1.000000, 0.581136, 0.000000, 0.438899,0.149853,0.431283,0.000000,0.000000,1.761078,1.669488,0.223149,0.196723,0.000000
43, 68898, 2.199933, 1.000000, 0.507376, 0.000000, 0.465500,0.133234,0.374142,0.000000,0.000000,1.769666,1.682840,0.226944,0.199317,0.000000
44, 56062, 2.335521, 1.000000, 0.566248, 0.000000, 0.441493,0.154700,0.411548,0.000000,0.000000,1.778906,1.702779,0.231090,0.197377,0.000000
45, 50028, 2.493604, 1.000000, 0.622613, 0.000000, 0.440533,0.172206,0.450406,0.000000,0.000000,1.787062,1.721808,0.243747,0.194598,0.000000
