time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 1.000000, 1.000000, 0.400653, 0.000000, 0.000000,0.227587,0.173066,0.000000,0.000000,0.052588,-0.034158,0.000052,-0.029767,0.000000
1, 1000, 2.000000, 1.000000, 0.801306, 0.000000, 0.690000,0.455174,0.346132,0.000000,0.000000,0.052588,-0.034158,0.000052,-0.029767,0.000000
2, 310, 3.000000, 1.000000, 3.432389, 0.000000, 0.000000,1.988739,1.443649,0.000000,0.000000,0.664445,0.438991,-0.036086,-0.002376,0.000000
3, 310, 4.000000, 1.000000, 3.432389, 0.000000, 0.000000,1.988739,1.443649,0.000000,0.000000,0.664445,0.438991,-0.036086,-0.002376,0.000000
4, 820, 2.512195, 1.000000, 1.948488, 0.000000, 0.000000,1.175714,0.772774,0.000000,0.000000,0.821497,0.500738,-0.030852,-0.007988,0.000000
5, 1294, 2.591963, 1.000000, 1.763704, 0.000000, 0.149923,1.045765,0.717938,0.000000,0.000000,0.775016,0.507981,-0.053608,-0.007050,0.000000
6, 1575, 2.883175, 1.000000, 1.870529, 0.000000, 0.322540,1.094673,0.775856,0.000000,0.000000,0.797172,0.501178,-0.055177,0.024344,0.000000
7, 1516, 2.302770, 1.000000, 1.638746, 0.000000, 0.149077,0.959690,0.679056,0.000000,0.000000,0.882863,0.510339,-0.055233,0.061130,0.000000
8, 1935, 2.570543, 1.000000, 1.713221, 0.000000, 0.113695,1.030100,0.683121,0.000000,0.000000,0.942739,0.583982,-0.041044,0.024183,0.000000
9, 2955, 2.534349, 1.000000, 1.626529, 0.000000, 0.094755,1.001432,0.625097,0.000000,0.000000,0.966421,0.630082,-0.057569,0.001125,0.000000
10, 4399, 2.575131, 1.000000, 1.545138, 0.000000, 0.200727,0.943894,0.601243,0.000000,0.000000,0.957992,0.636495,-0.047613,0.027804,0.000000
11, 5724, 2.394479, 1.000000, 1.438283, 0.000000, 0.209469,0.871258,0.567025,0.000000,0.000000,0.955142,0.639498,-0.056130,0.059669,0.000000
12, 6865, 2.446176, 1.000000, 2.067135, 0.000000, 0.122797,1.265936,0.801199,0.000000,0.000000,0.962077,0.639912,-0.041033,0.085048,0.000000
13, 9257, 2.497461, 1.000000, 1.964621, 0.000000, 0.106622,1.202068,0.762553,0.000000,0.000000,1.027652,0.650963,-0.026657,0.073610,0.000000
14, 13691, 2.460814, 1.000000, 1.601070, 0.000000, 0.142795,0.962811,0.638260,0.000000,0.000000,1.068914,0.671828,-0.010729,0.070243,0.000000
15, 20879, 2.338953, 1.000000, 1.222522, 0.000000, 0.204512,0.716281,0.506241,0.000000,0.000000,1.085024,0.695415,-0.001068,0.054379,0.000000
16, 28066, 2.315827, 1.000000, 0.999155, 0.000000, 0.281943,0.565965,0.433190,0.000000,0.000000,1.077154,0.722024,-0.007555,0.056780,0.000000
17, 33274, 2.357366, 1.000000, 0.865887, 0.000000, 0.335517,0.479470,0.386417,0.000000,0.000000,1.083608,0.737041,-0.008425,0.055927,0.000000
18, 35784, 2.342527, 1.000000, 0.763761, 0.000000, 0.364772,0.411407,0.352353,0.000000,0.000000,1.081649,0.767438,-0.003792,0.054994,0.000000
19, 35786, 2.391857, 1.000000, 0.748920, 0.000000, 0.385626,0.392528,0.356392,0.000000,0.000000,1.066057,0.810543,-0.006466,0.062962,0.000000
20, 35327, 2.408837, 1.000000, 0.746212, 0.000000, 0.381295,0.372356,0.373856,0.000000,0.000000,1.036775,0.862189,-0.002472,0.064485,0.000000
21, 35171, 2.394245, 1.000000, 0.736091, 0.000000, 0.397032,0.356101,0.379990,0.000000,0.000000,1.005903,0.919166,0.003230,0.059570,0.000000
22, 34126, 2.351609, 1.000000, 0.726086, 0.000000, 0.403007,0.341433,0.384653,0.000000,0.000000,0.984595,0.961358,0.002892,0.054149,0.000000
23, 32541, 2.327863, 1.000000, 0.720556, 0.000000, 0.404812,0.335675,0.384881,0.000000,0.000000,0.990335,0.983075,0.007565,0.054848,0.000000
24, 30980, 2.328438, 1.000000, 1.617519, 0.000000, 0.194739,0.780194,0.837325,0.000000,0.000000,0.997708,1.014678,0.013182,0.061396,0.000000
25, 36371, 2.442743, 1.000000, 1.595936, 0.000000, 0.156251,0.759166,0.836770,0.000000,0.000000,1.006230,1.045711,0.012057,0.063370,0.000000
26, 43618, 2.614792, 1.000000, 1.379481, 0.000000, 0.213490,0.647577,0.731904,0.000000,0.000000,1.000885,1.083518,0.012281,0.053376,0.000000
27, 59679, 2.481057, 1.000000, 1.057744, 0.000000, 0.204561,0.502328,0.555417,0.000000,0.000000,1.027579,1.089643,0.011222,0.044846,0.000000
28, 83282, 2.396592, 1.000000, 0.778684, 0.000000, 0.285824,0.376296,0.402387,0.000000,0.000000,1.058931,1.087620,0.009145,0.044387,0.000000
29, 98818, 2.467395, 1.000000, 0.639676, 0.000000, 0.416918,0.314617,0.325059,0.000000,0.000000,1.074394,1.096148,0.008978,0.043654,0.000000
30, 96344, 2.278284, 1.000000, 0.480555, 0.000000, 0.469173,0.235376,0.245179,0.000000,0.000000,1.086201,1.106010,0.010007,0.041122,0.000000
31, 79754, 2.158625, 1.000000, 0.388037, 0.000000, 0.518933,0.192935,0.195102,0.000000,0.000000,1.104035,1.120572,0.009384,0.038047,0.000000
