time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 1.000000, 1.000000, 0.387483, 0.000000, 0.000000,0.193946,0.193537,0.000000,0.000000,0.036960,-0.011737,0.004999,-0.000362,0.000000
1, 1000, 2.000000, 1.000000, 0.774966, 0.000000, 0.691000,0.387891,0.387075,0.000000,0.000000,0.036960,-0.011737,0.004999,-0.000362,0.000000
2, 309, 3.000000, 1.000000, 3.302616, 0.000000, 0.000000,1.663105,1.639511,0.000000,0.000000,0.525907,0.497445,0.037670,-0.014978,0.000000
3, 309, 4.000000, 1.000000, 3.302616, 0.000000, 0.000000,1.663105,1.639511,0.000000,0.000000,0.525907,0.497445,0.037670,-0.014978,0.000000
4, 768, 2.609375, 1.000000, 1.923579, 0.000000, 0.000000,0.974803,0.948776,0.000000,0.000000,0.532460,0.511671,-0.001605,-0.027092,0.000000
5, 1216, 2.648026, 1.000000, 1.734635, 0.000000, 0.143914,0.896285,0.838350,0.000000,0.000000,0.554995,0.516747,0.000613,-0.035259,0.000000
6, 1476, 2.944444, 1.000000, 1.860898, 0.000000, 0.342141,0.960546,0.900352,0.000000,0.000000,0.592187,0.562312,0.016467,-0.045114,0.000000
7, 1390, 2.288489, 1.000000, 1.662850, 0.000000, 0.144604,0.878633,0.784218,0.000000,0.000000,0.646413,0.620712,-0.001132,-0.057260,0.000000
8, 1738, 2.598964, 1.000000, 1.737207, 0.000000, 0.119678,0.883911,0.853297,0.000000,0.000000,0.654779,0.710772,0.047037,-0.032526,0.000000
9, 2631, 2.558723, 1.000000, 1.622845, 0.000000, 0.103763,0.836053,0.786791,0.000000,0.000000,0.721601,0.724895,0.036395,-0.012026,0.000000
10, 3950, 2.566076, 1.000000, 1.530738, 0.000000, 0.213418,0.803539,0.727199,0.000000,0.000000,0.774911,0.706089,0.037391,-0.027499,0.000000
11, 5167, 2.360557, 1.000000, 1.422076, 0.000000, 0.213664,0.738042,0.684034,0.000000,0.000000,0.822201,0.713882,0.030813,-0.025624,0.000000
12, 6142, 2.421198, 1.000000, 2.066381, 0.000000, 0.141648,1.091576,0.974804,0.000000,0.000000,0.822233,0.754166,0.049990,-0.018311,0.000000
13, 8092, 2.478127, 1.000000, 2.006209, 0.000000, 0.103312,1.045687,0.960522,0.000000,0.000000,0.846202,0.809449,0.046980,-0.011657,0.000000
14, 12045, 2.438439, 1.000000, 1.642774, 0.000000, 0.134496,0.854396,0.788377,0.000000,0.000000,0.899550,0.814481,0.046107,-0.011722,0.000000
15, 18532, 2.335582, 1.000000, 1.292462, 0.000000, 0.192964,0.671574,0.620888,0.000000,0.000000,0.942386,0.824688,0.041699,-0.009209,0.000000
16, 25332, 2.319319, 1.000000, 1.052166, 0.000000, 0.262672,0.544999,0.507167,0.000000,0.000000,0.946524,0.836363,0.042498,0.000133,0.000000
17, 30646, 2.362168, 1.000000, 0.901429, 0.000000, 0.326078,0.461089,0.440340,0.000000,0.000000,0.932237,0.856492,0.046023,0.006475,0.000000
18, 33283, 2.360605, 1.000000, 0.805081, 0.000000, 0.352522,0.408641,0.396439,0.000000,0.000000,0.926655,0.881368,0.046861,0.006562,0.000000
19, 34263, 2.396025, 1.000000, 0.778072, 0.000000, 0.365963,0.395891,0.382181,0.000000,0.000000,0.926367,0.903843,0.038191,-0.001682,0.000000
20, 34800, 2.426351, 1.000000, 0.766904, 0.000000, 0.375287,0.392045,0.374859,0.000000,0.000000,0.943938,0.913463,0.038143,-0.008038,0.000000
21, 34986, 2.416052, 1.000000, 0.750960, 0.000000, 0.395244,0.382012,0.368948,0.000000,0.000000,0.963239,0.914337,0.036677,-0.015086,0.000000
22, 34361, 2.336020, 1.000000, 0.720339, 0.000000, 0.396583,0.364731,0.355608,0.000000,0.000000,0.972476,0.912661,0.030510,-0.021320,0.000000
23, 32941, 2.335084, 1.000000, 0.720333, 0.000000, 0.412738,0.364041,0.356292,0.000000,0.000000,0.970486,0.916896,0.019363,-0.016462,0.000000
24, 31203, 2.323046, 1.000000, 1.620113, 0.000000, 0.199853,0.828611,0.791503,0.000000,0.000000,0.970821,0.930437,0.004102,-0.001936,0.000000
25, 36651, 2.423672, 1.000000, 1.594818, 0.000000, 0.158986,0.813883,0.780935,0.000000,0.000000,0.996146,0.949082,-0.005017,-0.000815,0.000000
26, 43596, 2.608771, 1.000000, 1.385373, 0.000000, 0.221121,0.703531,0.681842,0.000000,0.000000,1.007836,0.966638,-0.007302,0.000054,0.000000
27, 59170, 2.474514, 1.000000, 1.071026, 0.000000, 0.205155,0.544447,0.526578,0.000000,0.000000,1.037630,0.987860,-0.003030,-0.001515,0.000000
28, 83261, 2.381307, 1.000000, 0.781497, 0.000000, 0.282785,0.397232,0.384265,0.000000,0.000000,1.066975,0.992612,0.001910,-0.003766,0.000000
29, 99496, 2.454330, 1.000000, 0.638472, 0.000000, 0.417384,0.326703,0.311769,0.000000,0.000000,1.079710,0.993636,0.005938,-0.003740,0.000000
30, 97235, 2.269605, 1.000000, 0.481921, 0.000000, 0.470468,0.244368,0.237553,0.000000,0.000000,1.088536,0.996992,0.003085,0.004122,0.000000
31, 80666, 2.140480, 1.000000, 0.385886, 0.000000, 0.517926,0.193621,0.192265,0.000000,0.000000,1.103982,1.000617,-0.001793,0.011661,0.000000
32, 57986, 2.236178, 1.000000, 0.422769, 0.000000, 0.525782,0.211895,0.210874,0.000000,0.000000,1.121183,1.009749,-0.008133,0.025219,0.000000
33, 42833, 2.363341, 1.000000, 0.494699, 0.000000, 0.501342,0.246698,0.248001,0.000000,0.000000,1.150228,1.016940,-0.020414,0.040012,0.000000
34, 34847, 2.247051, 1.000000, 0.452767, 0.000000, 0.490401,0.219710,0.233057,0.000000,0.000000,1.172531,1.010319,-0.032719,0.047999,0.000000
35, 27465, 2.198798, 1.000000, 0.429158, 0.000000, 0.527253,0.203098,0.226061,0.000000,0.000000,1.185661,1.001033,-0.048179,0.057527,0.000000
36, 20041, 2.200689, 1.000000, 1.560319, 0.000000, 0.210019,0.769338,0.790981,0.000000,0.000000,1.212197,0.998266,-0.054574,0.069939,0.000000
37, 21144, 2.457671, 1.000000, 1.780240, 0.000000, 0.156404,0.867775,0.912465,0.000000,0.000000,1.233821,1.020623,-0.061548,0.065738,0.000000
38, 22822, 2.823285, 1.000000, 1.679456, 0.000000, 0.192271,0.815327,0.864129,0.000000,0.000000,1.249131,1.042059,-0.062384,0.064612,0.000000
39, 36337, 2.450505, 1.000000, 1.272273, 0.000000, 0.131079,0.627559,0.644714,0.000000,0.000000,1.270016,1.066133,-0.056297,0.048375,0.000000
40, 57619, 2.337892, 1.000000, 0.950343, 0.000000, 0.241899,0.472710,0.477633,0.000000,0.000000,1.273155,1.082593,-0.052075,0.043835,0.000000
41, 71787, 2.454734, 1.000000, 0.831211, 0.000000, 0.398025,0.416341,0.414870,0.000000,0.000000,1.265324,1.097858,-0.046692,0.047061,0.000000
42, 71139, 2.218980, 1.000000, 0.656751, 0.000000, 0.421892,0.328274,0.328476,0.000000,0.000000,1.267861,1.106323,-0.042749,0.039435,0.000000
43, 63396, 2.188403, 1.000000, 0.606814, 0.000000, 0.436179,0.307096,0.299718,0.000000,0.000000,1.282920,1.115144,-0.033791,0.034811,0.000000
44, 56074, 2.352891, 1.000000, 0.671847, 0.000000, 0.387220,0.345199,0.326648,0.000000,0.000000,1.306782,1.129270,-0.018153,0.028897,0.000000
45, 56637, 2.500256, 1.000000, 0.682500, 0.000000, 0.416389,0.352584,0.329916,0.000000,0.000000,1.327494,1.138012,-0.003904,0.015189,0.000000
46, 57463, 2.256739, 1.000000, 0.517198, 0.000000, 0.438700,0.265722,0.251476,0.000000,0.000000,1.334504,1.150730,0.005521,0.001264,0.000000
47, 50549, 2.177986, 1.000000, 0.422711, 0.000000, 0.519872,0.216610,0.206100,0.000000,0.000000,1.343215,1.163061,0.015726,-0.013175,0.000000
48, 37521, 2.188188, 1.000000, 1.487415, 0.000000, 0.243330,0.771523,0.715892,0.000000,0.000000,1.344099,1.188638,0.030503,-0.033457,0.000000
49, 38619, 2.421787, 1.000000, 1.598044, 0.000000, 0.175043,0.818803,0.779240,0.000000,0.000000,1.344179,1.213768,0.039845,-0.042624,0.000000
50, 40905, 2.801296, 1.000000, 1.492463, 0.000000, 0.227014,0.759765,0.732699,0.000000,0.000000,1.340911,1.230430,0.049307,-0.049406,0.000000
51, 60225, 2.495309, 1.000000, 1.087545, 0.000000, 0.154022,0.555733,0.531812,0.000000,0.000000,1.376352,1.236583,0.045272,-0.037572,0.000000
52, 92341, 2.371850, 1.000000, 0.749050, 0.000000, 0.280980,0.379347,0.369703,0.000000,0.000000,1.391492,1.242948,0.028189,-0.030371,0.000000
53, 110053, 2.485848, 1.000000, 0.635793, 0.000000, 0.453627,0.320552,0.315242,0.000000,0.000000,1.392688,1.252392,0.019238,-0.029587,0.000000
54, 103037, 2.154624, 1.000000, 0.431639, 0.000000, 0.485593,0.211579,0.220060,0.000000,0.000000,1.396557,1.261160,0.017827,-0.032028,0.000000
55, 80236, 2.036418, 1.000000, 0.333248, 0.000000, 0.551997,0.160860,0.172387,0.000000,0.000000,1.402214,1.263992,0.013457,-0.035025,0.000000
56, 52536, 2.220953, 1.000000, 0.431783, 0.000000, 0.525011,0.208734,0.223048,0.000000,0.000000,1.410761,1.272505,-0.001801,-0.019207,0.000000
57, 40000, 2.440400, 1.000000, 0.543250, 0.000000, 0.487950,0.263071,0.280179,0.000000,0.000000,1.430461,1.272047,-0.026932,0.009982,0.000000
58, 35506, 2.173745, 1.000000, 0.403194, 0.000000, 0.482397,0.188807,0.214387,0.000000,0.000000,1.440816,1.269814,-0.051162,0.023663,0.000000
