time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 1.000000, 1.000000, 0.405485, 0.000000, 0.000000,0.211499,0.193986,0.000000,0.000000,0.020103,-0.060130,0.059905,-0.007951,0.000000
1, 1000, 2.000000, 1.000000, 0.810970, 0.000000, 0.689000,0.422998,0.387972,0.000000,0.000000,0.020103,-0.060130,0.059905,-0.007951,0.000000
2, 311, 3.000000, 1.000000, 3.470587, 0.000000, 0.000000,1.830095,1.640493,0.000000,0.000000,0.516959,0.558893,0.039750,-0.047084,0.000000
3, 311, 4.000000, 1.000000, 3.470587, 0.000000, 0.000000,1.830095,1.640493,0.000000,0.000000,0.516959,0.558893,0.039750,-0.047084,0.000000
4, 768, 2.619792, 1.000000, 2.056316, 0.000000, 0.000000,1.078425,0.977890,0.000000,0.000000,0.602986,0.585890,0.051698,-0.050732,0.000000
5, 1247, 2.613472, 1.000000, 1.809548, 0.000000, 0.124298,0.998631,0.810916,0.000000,0.000000,0.643201,0.618192,0.022258,-0.051454,0.000000
6, 1531, 2.926192, 1.000000, 1.915813, 0.000000, 0.333116,1.049323,0.866490,0.000000,0.000000,0.637344,0.702833,0.033820,-0.049902,0.000000
7, 1481, 2.286293, 1.000000, 1.708920, 0.000000, 0.116813,0.953852,0.755068,0.000000,0.000000,0.685312,0.728472,0.052095,-0.051982,0.000000
8, 1908, 2.593291, 1.000000, 1.767937, 0.000000, 0.098532,0.973515,0.794422,0.000000,0.000000,0.736246,0.776328,0.090863,-0.033184,0.000000
9, 2884, 2.585298, 1.000000, 1.682918, 0.000000, 0.088072,0.929894,0.753024,0.000000,0.000000,0.794499,0.816503,0.080308,-0.062913,0.000000
10, 4343, 2.599816, 1.000000, 1.575357, 0.000000, 0.188579,0.868698,0.706660,0.000000,0.000000,0.813743,0.849630,0.081625,-0.070203,0.000000
11, 5748, 2.416667, 1.000000, 1.477385, 0.000000, 0.205985,0.813247,0.664138,0.000000,0.000000,0.817069,0.851584,0.079417,-0.076612,0.000000
12, 6962, 2.454036, 1.000000, 2.137392, 0.000000, 0.120942,1.155179,0.982213,0.000000,0.000000,0.829883,0.864873,0.107491,-0.045838,0.000000
13, 9461, 2.487264, 1.000000, 2.018917, 0.000000, 0.097136,1.088607,0.930310,0.000000,0.000000,0.861039,0.900829,0.128047,-0.027888,0.000000
14, 14118, 2.440289, 1.000000, 1.638603, 0.000000, 0.144709,0.885165,0.753438,0.000000,0.000000,0.893902,0.919374,0.130103,-0.026805,0.000000
15, 21598, 2.325864, 1.000000, 1.263089, 0.000000, 0.201593,0.678211,0.584879,0.000000,0.000000,0.896820,0.942637,0.122526,-0.046533,0.000000
16, 29528, 2.296769, 1.000000, 1.021531, 0.000000, 0.275095,0.538170,0.483362,0.000000,0.000000,0.905292,0.956195,0.118862,-0.058138,0.000000
17, 35417, 2.341954, 1.000000, 0.872951, 0.000000, 0.334839,0.454746,0.418206,0.000000,0.000000,0.911874,0.967015,0.121084,-0.052989,0.000000
18, 38283, 2.331844, 1.000000, 0.764991, 0.000000, 0.368127,0.396088,0.368903,0.000000,0.000000,0.916765,0.992081,0.126490,-0.050381,0.000000
19, 38324, 2.365437, 1.000000, 0.744037, 0.000000, 0.386964,0.380406,0.363631,0.000000,0.000000,0.944647,1.008952,0.130037,-0.053225,0.000000
20, 37876, 2.393310, 1.000000, 0.742907, 0.000000, 0.383119,0.373011,0.369896,0.000000,0.000000,0.960266,1.036972,0.119170,-0.052712,0.000000
21, 37644, 2.388853, 1.000000, 0.728092, 0.000000, 0.401047,0.357565,0.370527,0.000000,0.000000,0.967534,1.060567,0.104038,-0.051201,0.000000
22, 36343, 2.339653, 1.000000, 0.708392, 0.000000, 0.411248,0.341270,0.367122,0.000000,0.000000,0.977732,1.076509,0.095766,-0.054093,0.000000
23, 34329, 2.304233, 1.000000, 0.704704, 0.000000, 0.413703,0.339689,0.365016,0.000000,0.000000,0.987005,1.097916,0.101607,-0.062457,0.000000
24, 32352, 2.308976, 1.000000, 1.643995, 0.000000, 0.195877,0.791643,0.852352,0.000000,0.000000,0.989242,1.113735,0.112008,-0.068542,0.000000
25, 37981, 2.430478, 1.000000, 1.614465, 0.000000, 0.162265,0.773776,0.840689,0.000000,0.000000,1.001594,1.133513,0.117560,-0.069798,0.000000
26, 44999, 2.611725, 1.000000, 1.399445, 0.000000, 0.225116,0.666977,0.732468,0.000000,0.000000,1.001039,1.155251,0.120145,-0.067383,0.000000
27, 62255, 2.442374, 1.000000, 1.056424, 0.000000, 0.201269,0.508759,0.547665,0.000000,0.000000,1.019728,1.170559,0.127508,-0.075893,0.000000
28, 88391, 2.357152, 1.000000, 0.762785, 0.000000, 0.290833,0.371862,0.390923,0.000000,0.000000,1.039482,1.174212,0.134224,-0.084918,0.000000
29, 104732, 2.438118, 1.000000, 0.625074, 0.000000, 0.426011,0.308250,0.316823,0.000000,0.000000,1.046604,1.174976,0.135456,-0.088738,0.000000
30, 101560, 2.235181, 1.000000, 0.456717, 0.000000, 0.475679,0.227241,0.229476,0.000000,0.000000,1.046363,1.180061,0.135192,-0.088214,0.000000
31, 82672, 2.120270, 1.000000, 0.360542, 0.000000, 0.531425,0.182274,0.178268,0.000000,0.000000,1.055612,1.187648,0.135771,-0.087741,0.000000
32, 57593, 2.228778, 1.000000, 0.401714, 0.000000, 0.536853,0.207935,0.193778,0.000000,0.000000,1.077032,1.195272,0.134669,-0.098445,0.000000
33, 41593, 2.352127, 1.000000, 0.471159, 0.000000, 0.512851,0.252237,0.218923,0.000000,0.000000,1.112092,1.191630,0.146877,-0.110841,0.000000
34, 33128, 2.221172, 1.000000, 0.421829, 0.000000, 0.504649,0.228498,0.193332,0.000000,0.000000,1.165928,1.171034,0.151461,-0.122255,0.000000
