"V3","V4","V102","V103","V104","V105"
33,13,2.395557,3.485652,-1.41382,2.185108
94,109,4.325184,1.408115,1.212488,-0.505254
108,58,4.583821,3.336972,2.907757,-1.297925
108,61,3.385105,2.61958,1.399597,-0.577378
2,47,3.713334,3.623724,-0.853502,2.222031
87,63,4.034968,3.601765,1.555337,-0.060638
83,58,3.91507,4.537755,1.395826,0.43541
98,17,2.511568,2.074999,1.589178,-1.348149
108,7,3.230088,5.377601,2.725696,-0.827119
115,109,4.750732,2.991802,3.228886,-1.692243
116,40,2.735457,3.537135,2.305802,-1.368987
77,109,3.34603,1.376489,1.552777,-1.258071
35,101,4.616874,4.031595,-1.86914,3.77444
50,89,3.299236,3.976507,-2.02849,3.370889
72,56,2.650011,2.789449,-0.382373,0.973347
69,52,3.463388,4.090515,-0.373682,1.832728
52,49,2.850547,5.046334,-1.107364,2.709496
72,112,4.845436,2.338666,1.816037,-0.510532
40,97,3.085461,2.920313,-1.958189,2.779046
64,118,3.004376,2.19971,1.935345,-1.43948
63,121,2.784997,2.184845,1.941542,-1.541142
12,54,3.421175,4.693016,-1.140855,2.829938
5,47,1.434287,4.907515,-0.19298,1.160571
120,80,2.683339,2.873569,2.382389,-1.73952
100,22,5.230006,2.116758,1.806677,-0.436861
90,102,5.17428,2.625592,3.236115,-1.677189
95,95,3.411326,2.407322,2.416807,-1.668888
74,118,1.746651,3.087228,0.326197,0.019961
62,122,2.353038,4.00209,3.064072,-2.090096
68,126,2.575638,4.936307,3.072037,-1.621292
112,66,2.864832,3.80943,1.792841,-0.691573
107,126,5.512957,3.839012,2.826652,-0.629437
126,52,3.834661,3.246993,2.157338,-0.891175
78,124,3.737027,2.997886,2.82456,-1.699
47,18,3.511201,3.180299,-0.965405,2.068417
94,14,4.286816,2.134476,1.68196,-0.689457
101,6,3.512031,4.692866,3.101117,-1.368098
55,69,3.01729,2.424599,-2.952003,3.539137
90,49,3.539476,3.326999,2.04298,-0.864059
94,37,3.894875,3.344396,3.327068,-1.994241
84,61,2.509696,4.095796,2.107049,-1.032274
94,59,3.1124,3.364683,2.476307,-1.456319
115,103,2.109302,2.489976,1.069467,-0.821073
35,73,3.178058,4.211689,-1.57864,2.96967
47,5,2.991822,3.970458,0.012471,1.204909
15,18,1.967246,3.457963,-0.681219,1.269063
49,42,2.471082,4.04691,-0.805072,1.840745
55,43,3.372478,1.787532,-2.124099,2.594455
7,10,4.638423,2.299051,-0.57681,1.77708
3,4,4.112957,4.206217,-1.428487,3.199677
86,9,3.212421,4.857294,3.112533,-1.434581
43,72,4.56084,3.795045,-1.284625,3.068831
39,76,4.03455,2.320953,0.398684,0.565528
94,14,1.335873,3.996211,0.273498,0.278285
17,0,4.216717,2.69394,-1.135558,2.32566
97,62,3.560147,2.878711,1.650558,-0.64864
94,54,3.331061,2.794717,2.886535,-2.012281
84,51,2.980774,1.869066,1.331088,-0.982997
71,60,2.464491,3.880908,2.201406,-1.233139
106,28,4.874356,3.596808,3.589405,-1.751029
113,32,4.102439,2.179284,2.124946,-1.189921
124,26,4.944018,2.66568,2.666902,-1.186735
112,31,2.938542,2.617025,2.675828,-2.035121
91,126,3.352904,2.258548,0.105868,0.553968
70,18,3.675139,1.679802,0.894828,-0.340775
8,25,3.1146,4.940421,-1.029495,2.69534
12,31,4.026434,3.73074,-1.676645,3.215334
103,24,3.305395,4.007401,2.339068,-0.974236
57,114,4.652572,2.973864,2.695733,-1.207573
28,8,4.255786,4.763887,-1.280759,3.340248
124,103,5.306183,2.949138,3.447824,-1.701256
92,40,4.490629,3.400607,3.072051,-1.472239
91,66,2.564161,2.885855,1.944796,-1.347436
52,67,3.125191,3.689816,-1.641785,2.796637
49,68,3.550684,3.597158,-1.924415,3.214261
31,60,3.473211,3.425369,-0.264192,1.45384
17,48,3.48862,4.257692,-1.574816,3.111165
84,29,3.697631,3.046141,1.666548,-0.539685
81,35,3.062778,3.506745,1.204793,-0.148283
9,26,2.539886,3.2164,-1.269156,1.990576
95,56,3.124667,2.882728,1.397274,-0.572927
99,109,3.262622,4.47277,3.060536,-1.520793
100,107,4.616789,2.873753,2.934473,-1.501346
104,59,3.277023,3.871039,1.974557,-0.678179
6,15,3.897606,3.864051,-0.696858,2.240092
14,15,3.780161,3.986006,-1.136896,2.681726
111,113,4.27032,1.686592,0.241888,0.55693
49,0,3.616032,3.941055,-0.73218,2.191508
103,54,4.412124,3.222553,2.085035,-0.592942
76,122,3.510428,3.285708,2.682386,-1.530925
29,66,4.034565,4.546212,-1.21595,3.095214
16,46,2.205899,4.655428,-0.83258,2.010034
52,16,3.31904,3.375167,-1.002684,2.107066
14,116,3.44805,5.517517,-0.884589,2.926528
12,114,4.346202,5.793572,-1.060959,3.583661
90,13,3.489401,5.133763,3.614354,-1.708643
61,63,3.33789,5.409792,-1.068626,3.020035
13,2,4.012976,3.743384,-1.514249,3.052563
120,76,3.056243,3.110603,0.283845,0.606921
89,6,4.577155,2.149351,3.331899,-2.212568
93,13,4.392148,3.209622,3.994124,-2.51206
95,13,3.721603,4.191745,3.459492,-1.847833
72,127,2.141829,5.436475,1.35917,0.119275
76,110,2.932092,4.627903,2.132875,-0.664507
118,32,3.514765,3.591241,0.976952,0.300179
120,66,3.412246,2.217989,1.702966,-1.034387
98,88,4.271066,3.114904,2.399572,-1.008295
96,6,2.977858,2.572517,1.158596,-0.52231
92,9,3.876683,3.211367,2.752359,-1.482011
12,42,3.894263,2.324789,-2.138581,3.04314
104,70,2.705311,2.057665,1.306862,-0.993533
124,21,2.850704,3.185226,2.442637,-1.603646
45,74,5.28099,4.409373,-2.213476,4.544004
35,81,2.353532,5.429828,-0.437459,1.995455
8,37,3.851319,3.18852,-2.192751,3.435323
2,92,2.384417,3.839464,-0.981208,1.896064
42,82,4.571082,2.975667,-0.540974,1.992656
123,38,3.585993,4.191598,2.954126,-1.398885
90,45,3.242818,2.47992,1.325595,-0.61842
99,52,4.291064,2.828077,2.605476,-1.32457
106,56,2.522436,2.85314,2.420603,-1.852639
