time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,mean_f
0, 1000, 3.105000, 0.000000, 0.380000, 0.126158, 0.719000,0.380000,0.068585,0.057573,0.070116,0.098717,0.000000
1, 290, 2.351724, 0.000000, 1.648276, 0.448841, 0.372414,0.679310,0.231917,0.216924,-0.072371,0.077100,0.000000
2, 191, 3.486911, 0.000000, 1.465969, 0.000000, 0.486911,0.000000,0.000000,0.000000,-0.270840,-0.047149,0.000000
3, 193, 2.694301, 0.000000, 1.450777, 0.024039, 0.564767,0.435233,0.009984,0.014055,-0.291354,-0.083483,0.000000
4, 295, 1.437288, 0.000000, 1.223729, 0.070106, 0.074576,0.938983,0.024596,0.045510,-0.308012,-0.090720,0.000000
5, 290, 2.389655, 0.000000, 1.755172, 0.078636, 0.100000,0.544828,0.023464,0.055172,-0.314922,-0.080219,0.000000
6, 268, 3.320896, 0.000000, 1.817164, 0.000000, 0.320896,0.000000,0.000000,0.000000,-0.343066,-0.128908,0.000000
7, 341, 2.618768, 0.000000, 1.422287, 0.015862, 0.545455,0.454545,0.009997,0.005865,-0.320126,-0.105979,0.000000
8, 500, 1.400000, 0.000000, 1.192000, 0.029635, 0.084000,0.882000,0.013635,0.016000,-0.346893,-0.127414,0.000000
9, 460, 2.332609, 0.000000, 1.852174, 0.017391, 0.013043,0.582609,0.000000,0.017391,-0.360210,-0.117789,0.000000
10, 466, 3.345494, 0.000000, 1.815451, 0.000000, 0.345494,0.000000,0.000000,0.000000,-0.348556,-0.120763,0.000000
11, 590, 2.601695, 0.000000, 1.379661, 0.007390, 0.588136,0.411864,0.000628,0.006763,-0.324337,-0.103672,0.000000
12, 827, 1.340992, 0.000000, 1.124547, 0.017801, 0.128174,0.830713,0.005520,0.012281,-0.373382,-0.124410,0.000000
13, 733, 2.350614, 0.000000, 1.787176, 0.014494, 0.034106,0.545703,0.008555,0.005939,-0.374420,-0.119647,0.000000
14, 725, 3.344828, 0.000000, 1.775172, 0.000000, 0.344828,0.000000,0.000000,0.000000,-0.389921,-0.106073,0.000000
15, 903, 2.598007, 0.000000, 1.322259, 0.011133, 0.635659,0.364341,0.005287,0.005846,-0.388617,-0.076555,0.000000
16, 1199, 1.286906, 0.000000, 1.266889, 0.390440, 0.190992,0.992494,0.154055,0.236385,-0.410070,-0.108476,0.000000
17, 984, 2.138211, 0.000000, 1.846545, 0.646803, 0.477642,0.751016,0.266675,0.380127,-0.463931,-0.194006,0.000000
18, 521, 3.220729, 0.000000, 1.859885, 0.000000, 0.220729,0.000000,0.000000,0.000000,-0.647505,-0.556352,0.000000
19, 634, 2.977918, 0.000000, 1.514196, 0.000000, 0.673502,0.326498,0.000000,0.000000,-0.666147,-0.551473,0.000000
20, 971, 1.247168, 0.000000, 1.059732, 0.010549, 0.130793,0.846550,0.001698,0.008851,-0.655209,-0.555887,0.000000
21, 856, 2.269860, 0.000000, 1.829439, 0.023422, 0.031542,0.627336,0.003852,0.019569,-0.641342,-0.577383,0.000000
22, 840, 3.259524, 0.000000, 1.834524, 0.000000, 0.259524,0.000000,0.000000,0.000000,-0.654077,-0.584987,0.000000
23, 1021, 2.848188, 0.000000, 1.433888, 0.000000, 0.691479,0.308521,0.000000,0.000000,-0.669960,-0.587921,0.000000
24, 1476, 1.237805, 0.000000, 0.957995, 0.000985, 0.211382,0.744580,0.000000,0.000985,-0.660759,-0.594584,0.000000
25, 1178, 2.291171, 0.000000, 1.776740, 0.001235, 0.013582,0.576401,0.000000,0.001235,-0.666477,-0.595963,0.000000
26, 1171, 3.276687, 0.000000, 1.785653, 0.000000, 0.276687,0.000000,0.000000,0.000000,-0.666176,-0.601585,0.000000
27, 1422, 2.808017, 0.000000, 1.335443, 0.000000, 0.737693,0.262307,0.000000,0.000000,-0.671828,-0.598902,0.000000
28, 1903, 1.202312, 0.000000, 0.842880, 0.001726, 0.305307,0.646873,0.000125,0.001600,-0.668273,-0.606293,0.000000
29, 1333, 2.296324, 0.000000, 1.741935, 0.004927, 0.012753,0.538635,0.000358,0.004569,-0.674601,-0.598161,0.000000
30, 1325, 3.288302, 0.000000, 1.744906, 0.000000, 0.288302,0.000000,0.000000,0.000000,-0.677236,-0.597964,0.000000
31, 1607, 2.777225, 0.000000, 1.252645, 0.000000, 0.778469,0.221531,0.000000,0.000000,-0.690203,-0.604078,0.000000
32, 2026, 1.194965, 0.000000, 1.164857, 0.014123, 0.010859,0.989141,0.000941,0.013182,-0.671248,-0.605122,0.000000
33, 2011, 2.183988, 0.000000, 1.813028, 0.026616, 0.027847,0.639483,0.001897,0.024719,-0.674074,-0.607971,0.000000
34, 1966, 3.186673, 0.000000, 1.812309, 0.000000, 0.186673,0.000000,0.000000,0.000000,-0.676184,-0.633066,0.000000
35, 2320, 3.079310, 0.000000, 1.489224, 0.000000, 0.739655,0.260345,0.000000,0.000000,-0.692686,-0.629353,0.000000
36, 3459, 1.178086, 0.000000, 0.872507, 0.000579, 0.241399,0.697890,0.000000,0.000579,-0.679743,-0.636326,0.000000
37, 2629, 2.233549, 0.000000, 1.633701, 0.000000, 0.001902,0.485736,0.000000,0.000000,-0.683816,-0.630185,0.000000
38, 2634, 3.233106, 0.000000, 1.630600, 0.000000, 0.233106,0.000000,0.000000,0.000000,-0.681602,-0.629837,0.000000
39, 3025, 3.010248, 0.000000, 1.290909, 0.000000, 0.799008,0.200992,0.000000,0.000000,-0.700940,-0.627160,0.000000
40, 3913, 1.161513, 0.000000, 0.672630, 0.001072, 0.429849,0.517250,0.000061,0.001011,-0.677128,-0.623376,0.000000
41, 2239, 2.278696, 0.000000, 1.598928, 0.000661, 0.004913,0.423403,0.000213,0.000448,-0.716802,-0.621886,0.000000
42, 2240, 3.276786, 0.000000, 1.595982, 0.000000, 0.276786,0.000000,0.000000,0.000000,-0.717148,-0.620876,0.000000
43, 2639, 2.852975, 0.000000, 1.113679, 0.000000, 0.858659,0.141341,0.000000,0.000000,-0.736215,-0.613086,0.000000
44, 2952, 1.139566, 0.000000, 0.465786, 0.000000, 0.608062,0.339431,0.000000,0.000000,-0.713421,-0.616862,0.000000
45, 1174, 2.346678, 0.000000, 1.563032, 0.000000, 0.014480,0.391823,0.000000,0.000000,-0.754018,-0.589626,0.000000
46, 1171, 3.330487, 0.000000, 1.567037, 0.000000, 0.330487,0.000000,0.000000,0.000000,-0.764245,-0.583039,0.000000
47, 1386, 2.720779, 0.000000, 1.012987, 0.000000, 0.884560,0.115440,0.000000,0.000000,-0.788361,-0.571899,0.000000
48, 1415, 1.136396, 0.000000, 1.096820, 0.001223, 0.015548,0.983746,0.000000,0.001223,-0.724141,-0.616605,0.000000
49, 1405, 2.130961, 0.000000, 1.850534, 0.002463, 0.011388,0.745907,0.000000,0.002463,-0.714648,-0.614436,0.000000
50, 1395, 3.118996, 0.000000, 1.858065, 0.000000, 0.118996,0.000000,0.000000,0.000000,-0.721446,-0.620256,0.000000
51, 1553, 3.383773, 0.000000, 1.645203, 0.000000, 0.818416,0.181584,0.000000,0.000000,-0.747394,-0.597607,0.000000
52, 2563, 1.119391, 0.000000, 0.907920, 0.000000, 0.169723,0.797893,0.000000,0.000000,-0.710190,-0.625219,0.000000
53, 2139, 2.142122, 0.000000, 1.687237, 0.000000, 0.005143,0.599345,0.000000,0.000000,-0.720089,-0.622691,0.000000
54, 2138, 3.136576, 0.000000, 1.688026, 0.000000, 0.136576,0.000000,0.000000,0.000000,-0.724183,-0.622826,0.000000
55, 2336, 3.382277, 0.000000, 1.468750, 0.000000, 0.870291,0.129709,0.000000,0.000000,-0.735026,-0.605066,0.000000
56, 3447, 1.101828, 0.000000, 0.678851, 0.000000, 0.378590,0.590949,0.000000,0.000000,-0.705890,-0.637697,0.000000
57, 2156, 2.153525, 0.000000, 1.605288, 0.000000, 0.006494,0.519944,0.000000,0.000000,-0.715629,-0.624794,0.000000
58, 2152, 3.145446, 0.000000, 1.608271, 0.000000, 0.145446,0.000000,0.000000,0.000000,-0.717849,-0.627165,0.000000
59, 2352, 3.360969, 0.000000, 1.352041, 0.000000, 0.906463,0.093537,0.000000,0.000000,-0.735016,-0.605751,0.000000
60, 3188, 1.076537, 0.000000, 0.509097, 0.000000, 0.534191,0.440088,0.000000,0.000000,-0.714406,-0.639875,0.000000
61, 1498, 2.164219, 0.000000, 1.582777, 0.000000, 0.008678,0.499332,0.000000,0.000000,-0.713156,-0.640106,0.000000
62, 1500, 3.156667, 0.000000, 1.580667, 0.000000, 0.156667,0.000000,0.000000,0.000000,-0.711703,-0.637698,0.000000
63, 1636, 3.343521, 0.000000, 1.285452, 0.000000, 0.944988,0.055012,0.000000,0.000000,-0.730971,-0.617686,0.000000
64, 2111, 1.054003, 0.000000, 1.032686, 0.000000, 0.009948,0.990052,0.000000,0.000000,-0.697634,-0.678844,0.000000
65, 2100, 2.052381, 0.000000, 1.770952, 0.000000, 0.004762,0.732857,0.000000,0.000000,-0.696492,-0.678701,0.000000
66, 2101, 3.048072, 0.000000, 1.770109, 0.000000, 0.048072,0.000000,0.000000,0.000000,-0.694066,-0.678935,0.000000
67, 2189, 3.753312, 0.000000, 1.680676, 0.000000, 0.936044,0.063956,0.000000,0.000000,-0.701147,-0.669707,0.000000
68, 3691, 1.047684, 0.000000, 0.790572, 0.000000, 0.237063,0.752642,0.000000,0.000000,-0.697661,-0.683542,0.000000
69, 2823, 2.054552, 0.000000, 1.616011, 0.000000, 0.002480,0.582359,0.000000,0.000000,-0.692811,-0.684555,0.000000
70, 2821, 3.051400, 0.000000, 1.617157, 0.000000, 0.051400,0.000000,0.000000,0.000000,-0.695119,-0.685812,0.000000
71, 2927, 3.751964, 0.000000, 1.520328, 0.000000, 0.955586,0.044414,0.000000,0.000000,-0.697361,-0.675305,0.000000
72, 4456, 1.033214, 0.000000, 0.504488, 0.000000, 0.513016,0.475314,0.000000,0.000000,-0.689841,-0.690574,0.000000
73, 2180, 2.068807, 0.000000, 1.561468, 0.000000, 0.004587,0.530275,0.000000,0.000000,-0.703431,-0.675677,0.000000
74, 2179, 3.063791, 0.000000, 1.562184, 0.000000, 0.063791,0.000000,0.000000,0.000000,-0.705313,-0.675700,0.000000
75, 2259, 3.723772, 0.000000, 1.440903, 0.000000, 0.973882,0.026118,0.000000,0.000000,-0.710058,-0.666303,0.000000
76, 3266, 1.028169, 0.000000, 0.348745, 0.000000, 0.660747,0.330680,0.000000,0.000000,-0.696583,-0.685676,0.000000
77, 1120, 2.074107, 0.000000, 1.530357, 0.000000, 0.010714,0.513393,0.000000,0.000000,-0.715373,-0.671046,0.000000
78, 1120, 3.063393, 0.000000, 1.530357, 0.000000, 0.063393,0.000000,0.000000,0.000000,-0.721173,-0.671983,0.000000
79, 1150, 3.765217, 0.000000, 1.433913, 0.000000, 0.978261,0.021739,0.000000,0.000000,-0.715665,-0.664944,0.000000
80, 1654, 1.024184, 0.000000, 1.004232, 0.000000, 0.010883,0.989117,0.000000,0.000000,-0.713832,-0.690239,0.000000
81, 1646, 2.027339, 0.000000, 1.818955, 0.000000, 0.006075,0.809842,0.000000,0.000000,-0.710671,-0.685945,0.000000
82, 1651, 3.024228, 0.000000, 1.813446, 0.000000, 0.024228,0.000000,0.000000,0.000000,-0.708131,-0.685067,0.000000
83, 1673, 3.910341, 0.000000, 1.783622, 0.000000, 0.976091,0.023909,0.000000,0.000000,-0.705794,-0.688351,0.000000
84, 2995, 1.024374, 0.000000, 0.810017, 0.000000, 0.197329,0.796661,0.000000,0.000000,-0.718059,-0.695096,0.000000
85, 2411, 2.022397, 0.000000, 1.642057, 0.000000, 0.002903,0.635836,0.000000,0.000000,-0.710825,-0.699489,0.000000
86, 2410, 3.019087, 0.000000, 1.642739, 0.000000, 0.019087,0.000000,0.000000,0.000000,-0.710170,-0.700196,0.000000
87, 2440, 3.923770, 0.000000, 1.610656, 0.000000, 0.986475,0.013525,0.000000,0.000000,-0.709825,-0.695359,0.000000
88, 3938, 1.014474, 0.000000, 0.587100, 0.000000, 0.419756,0.578720,0.000000,0.000000,-0.710984,-0.700643,0.000000
89, 2294, 2.022232, 0.000000, 1.587620, 0.000000, 0.003923,0.579773,0.000000,0.000000,-0.696226,-0.709285,0.000000
90, 2294, 3.018309, 0.000000, 1.587620, 0.000000, 0.018309,0.000000,0.000000,0.000000,-0.694754,-0.709528,0.000000
91, 2317, 3.922313, 0.000000, 1.554596, 0.000000, 0.991368,0.008632,0.000000,0.000000,-0.697167,-0.708613,0.000000
92, 3609, 1.011360, 0.000000, 0.376282, 0.000000, 0.625935,0.370740,0.000000,0.000000,-0.694189,-0.711296,0.000000
93, 1362, 2.032305, 0.000000, 1.530103, 0.000000, 0.008811,0.533040,0.000000,0.000000,-0.682848,-0.720634,0.000000
94, 1357, 3.019897, 0.000000, 1.535741, 0.000000, 0.019897,0.000000,0.000000,0.000000,-0.686633,-0.724412,0.000000
95, 1368, 3.938596, 0.000000, 1.505848, 0.000000, 0.997076,0.002924,0.000000,0.000000,-0.681890,-0.719421,0.000000
96, 2070, 1.016425, 0.000000, 0.984058, 0.000000, 0.017874,0.982126,0.000000,0.000000,-0.688971,-0.737634,0.000000
97, 2044, 2.012720, 0.000000, 1.795499, 0.000000, 0.005382,0.798924,0.000000,0.000000,-0.691589,-0.736812,0.000000
98, 2039, 3.004904, 0.000000, 1.799902, 0.000000, 0.004904,0.000000,0.000000,0.000000,-0.693040,-0.739660,0.000000
99, 2043, 3.988253, 0.000000, 1.796378, 0.000000, 0.996084,0.003916,0.000000,0.000000,-0.691331,-0.740040,0.000000
100, 3679, 1.009513, 0.000000, 0.745855, 0.000000, 0.255776,0.743680,0.000000,0.000000,-0.690665,-0.738529,0.000000
