time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_food3_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,mean_pesticide3_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 3.982000, 2.499000, 0.396658, 0.000000, 0.837000,0.179506,0.217152,0.000000,0.000000,0.000000,0.000000,1.998091,2.014113,0.001834,0.003205,0.000000
1, 301, 1.813953, 2.498339, 2.590001, 0.000000, 0.205980,0.578690,0.738026,0.000000,0.000000,0.000000,0.000000,1.962117,2.140079,0.041814,0.000534,0.000000
2, 415, 2.166265, 2.474699, 2.708252, 0.000000, 0.233735,0.417990,0.526348,0.000000,0.000000,0.000000,0.000000,2.021925,2.211915,0.067218,0.029188,0.000000
3, 540, 2.412963, 2.488889, 2.830218, 0.000000, 0.218519,0.398647,0.521056,0.000000,0.000000,0.000000,0.000000,2.020423,2.279216,0.034372,0.089154,0.000000
4, 756, 2.488095, 2.469577, 2.755487, 0.000000, 0.279101,0.411980,0.496357,0.000000,0.000000,0.000000,0.000000,2.073448,2.313421,0.099480,0.059904,0.000000
5, 964, 2.452282, 2.484440, 2.819527, 0.000000, 0.312241,0.405805,0.468015,0.000000,0.000000,0.000000,0.000000,2.083852,2.367128,0.105447,0.080354,0.000000
6, 1216, 2.342928, 2.477796, 2.804459, 0.000000, 0.264803,0.416371,0.507475,0.000000,0.000000,0.000000,0.000000,2.111342,2.417316,0.119775,0.097949,0.000000
7, 1622, 2.312577, 2.482737, 2.739034, 0.000000, 0.266954,0.409455,0.502347,0.000000,0.000000,0.000000,0.000000,2.095306,2.436552,0.121153,0.097958,0.000000
8, 2081, 2.383950, 2.494474, 2.805086, 0.000000, 0.265257,0.405647,0.522336,0.000000,0.000000,0.000000,0.000000,2.112832,2.468966,0.147748,0.091917,0.000000
9, 2661, 2.428035, 2.490417, 2.786283, 0.000000, 0.273957,0.400199,0.448998,0.000000,0.000000,0.000000,0.000000,2.134906,2.466850,0.153697,0.094119,0.000000
