time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 1.000000, 0.000000, 0.183251, 0.000000, 0.000000,0.183251,0.000000,0.000000,0.000000,-0.008205,0.021457,-0.007028,0.020864,0.000000
1, 1038, 1.963391, 0.000000, 0.301381, 0.000000, 0.901734,0.301381,0.000000,0.000000,0.000000,-0.008187,0.018552,-0.010207,0.021123,0.000000
2, 145, 2.144828, 0.000000, 1.038652, 0.000000, 0.241379,1.038652,0.000000,0.000000,0.000000,0.620501,-0.285193,0.135726,0.191876,0.000000
3, 156, 2.544872, 0.000000, 1.021078, 0.000000, 0.262821,1.021078,0.000000,0.000000,0.000000,0.617627,-0.213699,0.211781,0.185278,0.000000
4, 218, 2.444954, 0.000000, 1.124849, 0.000000, 0.486239,1.124849,0.000000,0.000000,0.000000,0.934923,-0.366329,0.366906,0.189736,0.000000
5, 220, 1.586364, 0.000000, 0.935530, 0.000000, 0.222727,0.935530,0.000000,0.000000,0.000000,0.962356,-0.450145,0.326977,0.171764,0.000000
6, 223, 2.085202, 0.000000, 1.051992, 0.000000, 0.318386,1.051992,0.000000,0.000000,0.000000,0.951994,-0.431788,0.284487,0.223163,0.000000
7, 190, 2.668421, 0.000000, 1.256128, 0.000000, 0.257895,1.256128,0.000000,0.000000,0.000000,0.930653,-0.399121,0.303492,0.216026,0.000000
8, 242, 2.640496, 0.000000, 1.219852, 0.000000, 0.355372,1.219852,0.000000,0.000000,0.000000,1.088413,-0.453540,0.374669,0.246243,0.000000
9, 288, 2.027778, 0.000000, 1.032544, 0.000000, 0.354167,1.032544,0.000000,0.000000,0.000000,1.109712,-0.385667,0.397676,0.313790,0.000000
10, 272, 1.966912, 0.000000, 1.077541, 0.000000, 0.290441,1.077541,0.000000,0.000000,0.000000,1.048195,-0.374190,0.386151,0.275615,0.000000
11, 255, 2.396078, 0.000000, 1.200379, 0.000000, 0.258824,1.200379,0.000000,0.000000,0.000000,0.963943,-0.400193,0.314771,0.236845,0.000000
12, 292, 2.547945, 0.000000, 1.290575, 0.000000, 0.291096,1.290575,0.000000,0.000000,0.000000,0.988343,-0.417366,0.302075,0.256530,0.000000
13, 339, 2.356932, 0.000000, 1.320641, 0.000000, 0.362832,1.320641,0.000000,0.000000,0.000000,1.099409,-0.420988,0.369460,0.295851,0.000000
14, 345, 2.081159, 0.000000, 1.409909, 0.000000, 0.226087,1.409909,0.000000,0.000000,0.000000,1.244784,-0.518874,0.423515,0.286482,0.000000
15, 346, 2.372832, 0.000000, 1.508132, 0.000000, 0.202312,1.508132,0.000000,0.000000,0.000000,1.263010,-0.561212,0.465051,0.219367,0.000000
16, 362, 2.756906, 0.000000, 1.524713, 0.000000, 0.223757,1.524713,0.000000,0.000000,0.000000,1.289055,-0.553143,0.498150,0.220224,0.000000
17, 441, 2.623583, 0.000000, 1.398182, 0.000000, 0.292517,1.398182,0.000000,0.000000,0.000000,1.327529,-0.537204,0.475093,0.298380,0.000000
18, 510, 2.274510, 0.000000, 1.278721, 0.000000, 0.298039,1.278721,0.000000,0.000000,0.000000,1.331990,-0.506546,0.494115,0.314997,0.000000
19, 520, 2.219231, 0.000000, 1.283260, 0.000000, 0.248077,1.283260,0.000000,0.000000,0.000000,1.308012,-0.514791,0.530052,0.246202,0.000000
20, 509, 2.536346, 0.000000, 1.367581, 0.000000, 0.265226,1.367581,0.000000,0.000000,0.000000,1.305265,-0.527184,0.546356,0.214273,0.000000
21, 538, 2.674721, 0.000000, 1.352886, 0.000000, 0.280669,1.352886,0.000000,0.000000,0.000000,1.345508,-0.555736,0.555870,0.215703,0.000000
22, 619, 2.439418, 0.000000, 1.193425, 0.000000, 0.348950,1.193425,0.000000,0.000000,0.000000,1.358109,-0.525663,0.584777,0.229870,0.000000
23, 609, 2.243021, 0.000000, 1.119991, 0.000000, 0.336617,1.119991,0.000000,0.000000,0.000000,1.378112,-0.530136,0.603177,0.226703,0.000000
24, 562, 2.343416, 0.000000, 1.673343, 0.000000, 0.265125,1.673343,0.000000,0.000000,0.000000,1.378014,-0.534200,0.582119,0.243744,0.000000
25, 555, 2.571171, 0.000000, 1.678343, 0.000000, 0.219820,1.678343,0.000000,0.000000,0.000000,1.374637,-0.579574,0.576020,0.200073,0.000000
26, 620, 2.641935, 0.000000, 1.640511, 0.000000, 0.256452,1.640511,0.000000,0.000000,0.000000,1.423392,-0.604509,0.603285,0.195772,0.000000
27, 717, 2.447699, 0.000000, 1.557554, 0.000000, 0.256625,1.557554,0.000000,0.000000,0.000000,1.452818,-0.625621,0.619798,0.186910,0.000000
28, 778, 2.374036, 0.000000, 1.385576, 0.000000, 0.260925,1.385576,0.000000,0.000000,0.000000,1.480073,-0.650710,0.616933,0.191403,0.000000
29, 786, 2.486005, 0.000000, 1.366439, 0.000000, 0.260814,1.366439,0.000000,0.000000,0.000000,1.481182,-0.662046,0.630371,0.167315,0.000000
30, 811, 2.618989, 0.000000, 1.360596, 0.000000, 0.288533,1.360596,0.000000,0.000000,0.000000,1.456203,-0.662720,0.597917,0.174445,0.000000
31, 870, 2.527586, 0.000000, 1.315115, 0.000000, 0.317241,1.315115,0.000000,0.000000,0.000000,1.479569,-0.682716,0.594935,0.180377,0.000000
32, 893, 2.360582, 0.000000, 1.241837, 0.000000, 0.314670,1.241837,0.000000,0.000000,0.000000,1.494910,-0.661732,0.594520,0.217640,0.000000
33, 861, 2.387921, 0.000000, 1.223893, 0.000000, 0.301974,1.223893,0.000000,0.000000,0.000000,1.481436,-0.648716,0.614030,0.197746,0.000000
34, 830, 2.539759, 0.000000, 1.273749, 0.000000, 0.307229,1.273749,0.000000,0.000000,0.000000,1.448257,-0.642481,0.599737,0.185371,0.000000
35, 843, 2.546856, 0.000000, 1.242358, 0.000000, 0.315540,1.242358,0.000000,0.000000,0.000000,1.468598,-0.657632,0.616686,0.173079,0.000000
36, 866, 2.418014, 0.000000, 1.680179, 0.000000, 0.306005,1.680179,0.000000,0.000000,0.000000,1.481226,-0.676539,0.594650,0.188649,0.000000
37, 859, 2.384168, 0.000000, 1.680134, 0.000000, 0.201397,1.680134,0.000000,0.000000,0.000000,1.503426,-0.691207,0.602569,0.187845,0.000000
38, 910, 2.567033, 0.000000, 1.657553, 0.000000, 0.223077,1.657553,0.000000,0.000000,0.000000,1.521197,-0.700889,0.608482,0.189740,0.000000
39, 988, 2.674089, 0.000000, 1.603919, 0.000000, 0.232794,1.603919,0.000000,0.000000,0.000000,1.569748,-0.729005,0.659958,0.157490,0.000000
40, 1158, 2.552677, 0.000000, 1.349483, 0.000000, 0.308290,1.349483,0.000000,0.000000,0.000000,1.591223,-0.741478,0.678871,0.147088,0.000000
41, 1203, 2.344971, 0.000000, 1.256983, 0.000000, 0.304239,1.256983,0.000000,0.000000,0.000000,1.562505,-0.749542,0.639834,0.149566,0.000000
42, 1156, 2.425606, 0.000000, 1.287370, 0.000000, 0.301038,1.287370,0.000000,0.000000,0.000000,1.509751,-0.707167,0.623207,0.156962,0.000000
43, 1096, 2.589416, 0.000000, 1.338088, 0.000000, 0.295620,1.338088,0.000000,0.000000,0.000000,1.533535,-0.722005,0.636881,0.151747,0.000000
44, 1128, 2.590426, 0.000000, 1.281748, 0.000000, 0.312057,1.281748,0.000000,0.000000,0.000000,1.567350,-0.740942,0.665728,0.137033,0.000000
45, 1167, 2.435304, 0.000000, 1.156267, 0.000000, 0.351328,1.156267,0.000000,0.000000,0.000000,1.553701,-0.751397,0.641618,0.137050,0.000000
46, 1105, 2.352036, 0.000000, 1.108683, 0.000000, 0.344796,1.108683,0.000000,0.000000,0.000000,1.541008,-0.734190,0.642155,0.141420,0.000000
47, 1007, 2.445879, 0.000000, 1.160108, 0.000000, 0.348560,1.160108,0.000000,0.000000,0.000000,1.523473,-0.726658,0.654070,0.119528,0.000000
48, 926, 2.522678, 0.000000, 1.721947, 0.000000, 0.292657,1.721947,0.000000,0.000000,0.000000,1.546483,-0.741949,0.664833,0.116020,0.000000
49, 960, 2.487500, 0.000000, 1.679794, 0.000000, 0.234375,1.679794,0.000000,0.000000,0.000000,1.557014,-0.770574,0.671452,0.090559,0.000000
50, 1019, 2.498528, 0.000000, 1.621640, 0.000000, 0.236506,1.621640,0.000000,0.000000,0.000000,1.565885,-0.766494,0.673225,0.101824,0.000000
51, 1079, 2.595922, 0.000000, 1.598792, 0.000000, 0.239110,1.598792,0.000000,0.000000,0.000000,1.624876,-0.773290,0.709409,0.117322,0.000000
52, 1199, 2.570475, 0.000000, 1.421028, 0.000000, 0.276063,1.421028,0.000000,0.000000,0.000000,1.650476,-0.789028,0.749220,0.086568,0.000000
53, 1275, 2.469804, 0.000000, 1.331168, 0.000000, 0.303529,1.331168,0.000000,0.000000,0.000000,1.614875,-0.785597,0.733846,0.069991,0.000000
54, 1256, 2.465764, 0.000000, 1.291358, 0.000000, 0.310510,1.291358,0.000000,0.000000,0.000000,1.610905,-0.801387,0.724727,0.059073,0.000000
55, 1220, 2.505738, 0.000000, 1.296229, 0.000000, 0.300000,1.296229,0.000000,0.000000,0.000000,1.610779,-0.793806,0.712904,0.078668,0.000000
56, 1210, 2.544628, 0.000000, 1.285733, 0.000000, 0.308264,1.285733,0.000000,0.000000,0.000000,1.619758,-0.790143,0.720741,0.083480,0.000000
57, 1220, 2.496721, 0.000000, 1.208295, 0.000000, 0.331967,1.208295,0.000000,0.000000,0.000000,1.626374,-0.789480,0.738054,0.073271,0.000000
58, 1186, 2.437605, 0.000000, 1.167079, 0.000000, 0.338954,1.167079,0.000000,0.000000,0.000000,1.589009,-0.774072,0.724557,0.065294,0.000000
59, 1132, 2.435512, 0.000000, 1.155690, 0.000000, 0.340989,1.155690,0.000000,0.000000,0.000000,1.556237,-0.745674,0.688708,0.097823,0.000000
60, 1066, 2.439962, 0.000000, 1.681826, 0.000000, 0.299250,1.681826,0.000000,0.000000,0.000000,1.534690,-0.702038,0.658182,0.151806,0.000000
61, 1045, 2.511005, 0.000000, 1.724745, 0.000000, 0.219139,1.724745,0.000000,0.000000,0.000000,1.579881,-0.722996,0.682310,0.151181,0.000000
62, 1134, 2.552910, 0.000000, 1.682766, 0.000000, 0.220459,1.682766,0.000000,0.000000,0.000000,1.606543,-0.751845,0.695617,0.134875,0.000000
63, 1229, 2.619203, 0.000000, 1.627718, 0.000000, 0.236778,1.627718,0.000000,0.000000,0.000000,1.646094,-0.777970,0.724836,0.118165,0.000000
