time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 1.000000, 0.000000, 0.411595, 0.000000, 0.000000,0.214564,0.197032,0.000000,0.000000,0.044927,-0.008819,0.049279,-0.013898,0.000000
1, 1000, 2.000000, 0.000000, 0.823190, 0.000000, 0.676000,0.429127,0.394063,0.000000,0.000000,0.044927,-0.008819,0.049279,-0.013898,0.000000
2, 324, 3.000000, 0.000000, 3.368042, 0.000000, 0.000000,1.719031,1.649011,0.000000,0.000000,0.279108,0.274011,0.336155,0.219968,0.000000
3, 324, 4.000000, 0.000000, 3.368042, 0.000000, 0.000000,1.719031,1.649011,0.000000,0.000000,0.279108,0.274011,0.336155,0.219968,0.000000
4, 1252, 2.035144, 0.000000, 1.667309, 0.000000, 0.000000,0.857330,0.809979,0.000000,0.000000,0.379000,0.275295,0.372379,0.284644,0.000000
5, 2180, 2.168807, 0.000000, 1.563378, 0.000000, 0.074771,0.799199,0.764180,0.000000,0.000000,0.392663,0.277287,0.378748,0.293920,0.000000
6, 2945, 2.494737, 0.000000, 1.627752, 0.000000, 0.191511,0.837232,0.790520,0.000000,0.000000,0.383982,0.281529,0.380792,0.287505,0.000000
7, 3309, 2.389846, 0.000000, 1.499527, 0.000000, 0.096404,0.771027,0.728501,0.000000,0.000000,0.383355,0.288575,0.392748,0.281998,0.000000
8, 4256, 2.708177, 0.000000, 1.539324, 0.000000, 0.082237,0.792034,0.747290,0.000000,0.000000,0.378791,0.272107,0.385286,0.268116,0.000000
9, 6273, 2.725809, 0.000000, 1.495219, 0.000000, 0.061693,0.770611,0.724608,0.000000,0.000000,0.364575,0.269358,0.380342,0.256069,0.000000
10, 9209, 2.772722, 0.000000, 1.472685, 0.000000, 0.179064,0.762965,0.709720,0.000000,0.000000,0.366864,0.266960,0.381330,0.254906,0.000000
11, 11810, 2.558933, 0.000000, 1.419852, 0.000000, 0.184251,0.741671,0.678181,0.000000,0.000000,0.373280,0.263120,0.385646,0.253032,0.000000
12, 14533, 2.543315, 0.000000, 1.881401, 0.000000, 0.098397,0.990948,0.890453,0.000000,0.000000,0.378796,0.266191,0.390099,0.257194,0.000000
13, 19960, 2.555962, 0.000000, 1.821216, 0.000000, 0.069539,0.951612,0.869603,0.000000,0.000000,0.397596,0.269470,0.409409,0.259841,0.000000
14, 29558, 2.534305, 0.000000, 1.483858, 0.000000, 0.129305,0.776103,0.707755,0.000000,0.000000,0.420175,0.259879,0.422808,0.259072,0.000000
15, 43635, 2.440816, 0.000000, 1.133861, 0.000000, 0.195646,0.594640,0.539222,0.000000,0.000000,0.442074,0.256035,0.434331,0.265404,0.000000
16, 58173, 2.409864, 0.000000, 0.893132, 0.000000, 0.270950,0.465488,0.427643,0.000000,0.000000,0.455496,0.253404,0.440526,0.269880,0.000000
