time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 1.000000, 2.509000, 0.381838, 0.000000, 0.000000,0.174615,0.207222,0.000000,0.000000,-0.003510,0.031921,0.056168,-0.027638,0.000000
1, 1000, 2.000000, 2.509000, 0.763675, 0.000000, 0.699000,0.349231,0.414445,0.000000,0.000000,-0.003510,0.031921,0.056168,-0.027638,0.000000
2, 301, 3.000000, 2.481728, 3.310969, 0.000000, 0.000000,1.464699,1.846270,0.000000,0.000000,0.182030,0.415089,0.376422,0.226510,0.000000
3, 301, 4.000000, 2.481728, 3.310969, 0.000000, 0.000000,1.464699,1.846270,0.000000,0.000000,0.182030,0.415089,0.376422,0.226510,0.000000
4, 433, 3.780600, 2.478060, 2.613902, 0.000000, 0.000000,1.128632,1.485271,0.000000,0.000000,0.117353,0.473782,0.326874,0.271974,0.000000
5, 584, 3.803082, 2.476027, 2.308196, 0.000000, 0.089041,0.951807,1.356389,0.000000,0.000000,0.059274,0.547763,0.353661,0.262488,0.000000
6, 702, 4.015670, 2.492877, 2.253392, 0.000000, 0.515670,0.878650,1.374742,0.000000,0.000000,0.019550,0.587378,0.376534,0.240148,0.000000
7, 474, 2.244726, 2.516878, 1.677858, 0.000000, 0.162447,0.492547,1.185311,0.000000,0.000000,-0.167294,0.825627,0.395122,0.278247,0.000000
8, 449, 3.026726, 2.514477, 2.035578, 0.000000, 0.124722,0.609739,1.425839,0.000000,0.000000,-0.244010,0.947913,0.383860,0.338048,0.000000
9, 517, 3.411992, 2.502901, 2.051924, 0.000000, 0.052224,0.591533,1.460391,0.000000,0.000000,-0.274664,1.024860,0.355238,0.415094,0.000000
10, 713, 3.398317, 2.523142, 1.930840, 0.000000, 0.199158,0.515441,1.415399,0.000000,0.000000,-0.335255,1.095035,0.367683,0.413703,0.000000
11, 864, 3.012731, 2.526620, 1.846937, 0.000000, 0.206019,0.426922,1.420015,0.000000,0.000000,-0.361367,1.138424,0.363668,0.436050,0.000000
12, 911, 2.972558, 2.515917, 2.531158, 0.000000, 0.143798,0.524586,2.006572,0.000000,0.000000,-0.379051,1.168733,0.389840,0.422908,0.000000
13, 1000, 2.981000, 2.496000, 2.619913, 0.000000, 0.135000,0.511258,2.108655,0.000000,0.000000,-0.376132,1.203258,0.389368,0.461658,0.000000
14, 1195, 2.942259, 2.508787, 2.419392, 0.000000, 0.083682,0.429819,1.989574,0.000000,0.000000,-0.518487,1.334876,0.457216,0.385289,0.000000
15, 1776, 2.796734, 2.507883, 1.974082, 0.000000, 0.119369,0.329711,1.644371,0.000000,0.000000,-0.609755,1.409548,0.474619,0.352779,0.000000
16, 2426, 2.744847, 2.506595, 1.705724, 0.000000, 0.215169,0.275393,1.430331,0.000000,0.000000,-0.604173,1.420491,0.476942,0.367223,0.000000
17, 2851, 2.732725, 2.494914, 1.567399, 0.000000, 0.262364,0.265066,1.302333,0.000000,0.000000,-0.600911,1.433186,0.466580,0.393966,0.000000
18, 2999, 2.673891, 2.487162, 1.454493, 0.000000, 0.249083,0.229546,1.224947,0.000000,0.000000,-0.593235,1.431436,0.462086,0.404404,0.000000
19, 3056, 2.860275, 2.492147, 1.534451, 0.000000, 0.238220,0.250113,1.284338,0.000000,0.000000,-0.592539,1.420746,0.461374,0.394874,0.000000
20, 3277, 3.001831, 2.497711, 1.555443, 0.000000, 0.214525,0.256673,1.298771,0.000000,0.000000,-0.620584,1.443988,0.468273,0.383619,0.000000
21, 3698, 3.036506, 2.497296, 1.524300, 0.000000, 0.252028,0.261668,1.262632,0.000000,0.000000,-0.575506,1.426103,0.467268,0.411449,0.000000
22, 4080, 2.935049, 2.495343, 1.488214, 0.000000, 0.277941,0.267646,1.220568,0.000000,0.000000,-0.537068,1.420341,0.486175,0.424906,0.000000
23, 4285, 2.834772, 2.502684, 1.475168, 0.000000, 0.298250,0.272253,1.202915,0.000000,0.000000,-0.502392,1.390536,0.486691,0.428579,0.000000
24, 4395, 2.763595, 2.508760, 2.289851, 0.000000, 0.140159,0.432041,1.857810,0.000000,0.000000,-0.500546,1.397639,0.492199,0.432128,0.000000
25, 5285, 2.768969, 2.506339, 2.276824, 0.000000, 0.117881,0.429513,1.847311,0.000000,0.000000,-0.498876,1.425725,0.511306,0.443233,0.000000
26, 6523, 2.837038, 2.508202, 2.066657, 0.000000, 0.154530,0.390665,1.675992,0.000000,0.000000,-0.483816,1.440337,0.536001,0.448293,0.000000
27, 8337, 2.791412, 2.508456, 1.782319, 0.000000, 0.168046,0.329773,1.452547,0.000000,0.000000,-0.474346,1.442894,0.547258,0.449006,0.000000
28, 10441, 2.788622, 2.504932, 1.530616, 0.000000, 0.219807,0.282972,1.247645,0.000000,0.000000,-0.484343,1.462173,0.551782,0.454161,0.000000
29, 12067, 2.865087, 2.502942, 1.333983, 0.000000, 0.303307,0.247989,1.085994,0.000000,0.000000,-0.505427,1.478419,0.546560,0.454970,0.000000
30, 12496, 2.766405, 2.502881, 1.168660, 0.000000, 0.340429,0.219723,0.948937,0.000000,0.000000,-0.509467,1.496390,0.552673,0.463144,0.000000
31, 11947, 2.743618, 2.500042, 1.120464, 0.000000, 0.352473,0.215812,0.904652,0.000000,0.000000,-0.514760,1.517959,0.554578,0.478004,0.000000
32, 11160, 2.819982, 2.501792, 1.135692, 0.000000, 0.352688,0.222633,0.913059,0.000000,0.000000,-0.501716,1.519952,0.554593,0.493087,0.000000
33, 10513, 2.855227, 2.506040, 1.137826, 0.000000, 0.369638,0.228946,0.908880,0.000000,0.000000,-0.487535,1.509851,0.553943,0.497598,0.000000
34, 9823, 2.790695, 2.505854, 1.125136, 0.000000, 0.377481,0.246495,0.878640,0.000000,0.000000,-0.469682,1.500673,0.560856,0.499080,0.000000
35, 9123, 2.709087, 2.498849, 1.135477, 0.000000, 0.375315,0.257268,0.878208,0.000000,0.000000,-0.439623,1.484698,0.561440,0.512224,0.000000
36, 8415, 2.699584, 2.501248, 2.132825, 0.000000, 0.172311,0.478095,1.654730,0.000000,0.000000,-0.396653,1.473738,0.566866,0.538529,0.000000
37, 9515, 2.721703, 2.498476, 2.218830, 0.000000, 0.137782,0.495939,1.722891,0.000000,0.000000,-0.376538,1.481784,0.565797,0.567985,0.000000
38, 10935, 2.859625, 2.497942, 2.051272, 0.000000, 0.160219,0.461349,1.589923,0.000000,0.000000,-0.358191,1.470690,0.560750,0.580097,0.000000
39, 14106, 2.802141, 2.493762, 1.759299, 0.000000, 0.154331,0.399670,1.359630,0.000000,0.000000,-0.361108,1.468521,0.554294,0.581485,0.000000
40, 18549, 2.771686, 2.495175, 1.480656, 0.000000, 0.209499,0.335226,1.145430,0.000000,0.000000,-0.368360,1.476080,0.564923,0.571215,0.000000
41, 22084, 2.866283, 2.499230, 1.296928, 0.000000, 0.331779,0.293832,1.003096,0.000000,0.000000,-0.376507,1.490728,0.570726,0.572187,0.000000
42, 22269, 2.680363, 2.502043, 1.101321, 0.000000, 0.366384,0.253789,0.847532,0.000000,0.000000,-0.370988,1.496977,0.578958,0.575785,0.000000
43, 20367, 2.640202, 2.498846, 1.030544, 0.000000, 0.382285,0.250408,0.780135,0.000000,0.000000,-0.355691,1.487214,0.585516,0.574469,0.000000
44, 18192, 2.751649, 2.497197, 1.064894, 0.000000, 0.360818,0.265302,0.799591,0.000000,0.000000,-0.345706,1.471866,0.596472,0.557670,0.000000
45, 17145, 2.857684, 2.494780, 1.071628, 0.000000, 0.378944,0.270610,0.801018,0.000000,0.000000,-0.344855,1.464001,0.601322,0.545563,0.000000
46, 16221, 2.750262, 2.495037, 0.980004, 0.000000, 0.399359,0.259348,0.720657,0.000000,0.000000,-0.351009,1.471106,0.617884,0.529926,0.000000
47, 14516, 2.651006, 2.495936, 0.913906, 0.000000, 0.436139,0.255456,0.658450,0.000000,0.000000,-0.324494,1.469377,0.634596,0.537795,0.000000
48, 11992, 2.629837, 2.500584, 2.009382, 0.000000, 0.186541,0.530282,1.479100,0.000000,0.000000,-0.255190,1.437919,0.646377,0.563048,0.000000
49, 12946, 2.706937, 2.503167, 2.193562, 0.000000, 0.132010,0.579872,1.613690,0.000000,0.000000,-0.226741,1.429732,0.652724,0.576726,0.000000
50, 14202, 2.977257, 2.502394, 2.113907, 0.000000, 0.157372,0.562103,1.551804,0.000000,0.000000,-0.209130,1.418834,0.657348,0.578520,0.000000
51, 18494, 2.872661, 2.495999, 1.795913, 0.000000, 0.133503,0.482738,1.313174,0.000000,0.000000,-0.215046,1.439070,0.666238,0.584326,0.000000
52, 24998, 2.812305, 2.497720, 1.469925, 0.000000, 0.200336,0.398594,1.071331,0.000000,0.000000,-0.237053,1.464635,0.667527,0.587167,0.000000
53, 30164, 2.916225, 2.497646, 1.282817, 0.000000, 0.349589,0.340123,0.942694,0.000000,0.000000,-0.239578,1.469357,0.660222,0.596863,0.000000
54, 30077, 2.636799, 2.498753, 1.039532, 0.000000, 0.382418,0.286628,0.752904,0.000000,0.000000,-0.221409,1.457972,0.654286,0.609398,0.000000
55, 26847, 2.574403, 2.500354, 0.953727, 0.000000, 0.407047,0.277421,0.676306,0.000000,0.000000,-0.198697,1.447022,0.654251,0.620958,0.000000
56, 23038, 2.705834, 2.496093, 0.988015, 0.000000, 0.371951,0.294711,0.693304,0.000000,0.000000,-0.154902,1.420739,0.656798,0.635311,0.000000
