time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 1.000000, 1.000000, 0.378633, 0.000000, 0.000000,0.184016,0.194617,0.000000,0.000000,0.002525,-0.002844,-0.022365,0.022236,0.000000
1, 1000, 2.000000, 1.000000, 0.757267, 0.000000, 0.700000,0.368032,0.389234,0.000000,0.000000,0.002525,-0.002844,-0.022365,0.022236,0.000000
2, 300, 3.000000, 1.000000, 3.315552, 0.000000, 0.000000,1.602009,1.713544,0.000000,0.000000,0.266517,0.307460,0.286843,0.291486,0.000000
3, 300, 4.000000, 1.000000, 3.315552, 0.000000, 0.000000,1.602009,1.713544,0.000000,0.000000,0.266517,0.307460,0.286843,0.291486,0.000000
4, 768, 2.562500, 1.000000, 1.921369, 0.000000, 0.000000,0.902363,1.019006,0.000000,0.000000,0.225746,0.415895,0.331338,0.316694,0.000000
5, 1223, 2.609158, 1.000000, 1.781712, 0.000000, 0.124285,0.813829,0.967883,0.000000,0.000000,0.223501,0.419850,0.351234,0.298373,0.000000
6, 1539, 2.875893, 1.000000, 1.842237, 0.000000, 0.309942,0.821298,1.020939,0.000000,0.000000,0.279496,0.393179,0.365778,0.312408,0.000000
7, 1533, 2.286367, 1.000000, 1.588733, 0.000000, 0.163731,0.674232,0.914501,0.000000,0.000000,0.279697,0.453241,0.375424,0.364350,0.000000
8, 1923, 2.561622, 1.000000, 1.680207, 0.000000, 0.118045,0.727730,0.952477,0.000000,0.000000,0.293042,0.511810,0.378631,0.434434,0.000000
9, 2905, 2.539415, 1.000000, 1.574049, 0.000000, 0.099139,0.692166,0.881883,0.000000,0.000000,0.299604,0.561560,0.386565,0.483918,0.000000
10, 4270, 2.592740, 1.000000, 1.501577, 0.000000, 0.215691,0.667451,0.834126,0.000000,0.000000,0.286055,0.570209,0.384758,0.481038,0.000000
11, 5469, 2.398610, 1.000000, 1.407931, 0.000000, 0.215579,0.634571,0.773361,0.000000,0.000000,0.296705,0.573468,0.399122,0.480508,0.000000
12, 6513, 2.438661, 1.000000, 2.038284, 0.000000, 0.129433,0.916441,1.121843,0.000000,0.000000,0.312183,0.590234,0.426526,0.485453,0.000000
13, 8573, 2.529453, 1.000000, 1.973757, 0.000000, 0.107780,0.896309,1.077448,0.000000,0.000000,0.359680,0.584085,0.443088,0.509952,0.000000
14, 12642, 2.472631, 1.000000, 1.616553, 0.000000, 0.143253,0.738141,0.878413,0.000000,0.000000,0.387376,0.578152,0.452105,0.522484,0.000000
15, 19348, 2.337192, 1.000000, 1.253099, 0.000000, 0.200176,0.574971,0.678128,0.000000,0.000000,0.392084,0.594613,0.466257,0.529738,0.000000
16, 26386, 2.305768, 1.000000, 1.026004, 0.000000, 0.273289,0.473063,0.552941,0.000000,0.000000,0.402659,0.608212,0.484085,0.536216,0.000000
17, 31590, 2.350364, 1.000000, 0.890812, 0.000000, 0.331149,0.414691,0.476121,0.000000,0.000000,0.417887,0.612387,0.495867,0.543819,0.000000
18, 34154, 2.342625, 1.000000, 0.796197, 0.000000, 0.358845,0.376844,0.419353,0.000000,0.000000,0.433274,0.613594,0.500187,0.556088,0.000000
19, 34509, 2.384653, 1.000000, 0.779353, 0.000000, 0.372627,0.377377,0.401976,0.000000,0.000000,0.454493,0.610745,0.507947,0.566565,0.000000
