time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 1.000000, 1.000000, 0.382753, 0.000000, 0.000000,0.184158,0.198595,0.000000,0.000000,-0.022074,0.021865,-0.019220,0.019729,0.000000
1, 1000, 2.000000, 1.000000, 0.765506, 0.000000, 0.700000,0.368315,0.397191,0.000000,0.000000,-0.022074,0.021865,-0.019220,0.019729,0.000000
2, 300, 3.000000, 1.000000, 3.299172, 0.000000, 0.000000,1.602958,1.696213,0.000000,0.000000,0.267987,0.305600,0.227437,0.351141,0.000000
3, 300, 4.000000, 1.000000, 3.299172, 0.000000, 0.000000,1.602958,1.696213,0.000000,0.000000,0.267987,0.305600,0.227437,0.351141,0.000000
4, 661, 2.815431, 1.000000, 2.120737, 0.000000, 0.000000,1.012132,1.108605,0.000000,0.000000,0.229768,0.381141,0.231892,0.385723,0.000000
5, 1033, 2.801549, 1.000000, 1.892873, 0.000000, 0.093901,0.924392,0.968481,0.000000,0.000000,0.319713,0.349958,0.257014,0.418425,0.000000
6, 1342, 3.011923, 1.000000, 1.880133, 0.000000, 0.317437,0.888200,0.991932,0.000000,0.000000,0.301182,0.391813,0.235853,0.464133,0.000000
7, 1321, 2.279334, 1.000000, 1.585509, 0.000000, 0.137774,0.703803,0.881706,0.000000,0.000000,0.311038,0.442331,0.248317,0.513118,0.000000
8, 1635, 2.618960, 1.000000, 1.710487, 0.000000, 0.099694,0.728158,0.982329,0.000000,0.000000,0.250841,0.536923,0.268388,0.529409,0.000000
9, 2444, 2.618658, 1.000000, 1.605125, 0.000000, 0.081833,0.694742,0.910383,0.000000,0.000000,0.285672,0.540667,0.300393,0.535740,0.000000
10, 3631, 2.652437, 1.000000, 1.511195, 0.000000, 0.195814,0.657337,0.853857,0.000000,0.000000,0.279337,0.558347,0.308237,0.539568,0.000000
11, 4789, 2.438505, 1.000000, 1.430340, 0.000000, 0.205053,0.624857,0.805483,0.000000,0.000000,0.258822,0.597977,0.317134,0.550608,0.000000
12, 5787, 2.466045, 1.000000, 1.656722, 0.000000, 0.163297,0.660301,0.996421,0.000000,0.000000,0.207453,0.648587,0.315443,0.552714,0.000000
13, 7519, 2.497673, 1.000000, 1.546426, 0.000000, 0.171565,0.608576,0.937850,0.000000,0.000000,0.222133,0.639608,0.326173,0.547364,0.000000
14, 10140, 2.478304, 1.000000, 1.327456, 0.000000, 0.199901,0.513771,0.813685,0.000000,0.000000,0.233641,0.651427,0.350440,0.546442,0.000000
15, 14067, 2.393048, 1.000000, 1.102013, 0.000000, 0.244544,0.425246,0.676767,0.000000,0.000000,0.270791,0.670761,0.391286,0.562114,0.000000
16, 17874, 2.351572, 1.000000, 0.947309, 0.000000, 0.299597,0.359242,0.588068,0.000000,0.000000,0.264705,0.719806,0.430829,0.566244,0.000000
17, 20420, 2.374486, 1.000000, 0.865677, 0.000000, 0.348482,0.330491,0.535186,0.000000,0.000000,0.260880,0.760593,0.450029,0.584755,0.000000
18, 21348, 2.335722, 1.000000, 0.813785, 0.000000, 0.358441,0.310350,0.503435,0.000000,0.000000,0.271824,0.795186,0.474980,0.605896,0.000000
19, 21398, 2.397280, 1.000000, 0.824084, 0.000000, 0.362931,0.322014,0.502070,0.000000,0.000000,0.297792,0.833104,0.513774,0.631478,0.000000
20, 21705, 2.429855, 1.000000, 0.841746, 0.000000, 0.348537,0.335605,0.506141,0.000000,0.000000,0.332346,0.863387,0.552751,0.657652,0.000000
21, 22620, 2.442529, 1.000000, 0.837077, 0.000000, 0.356852,0.341797,0.495280,0.000000,0.000000,0.380496,0.867188,0.591181,0.670876,0.000000
22, 23501, 2.398068, 1.000000, 0.817715, 0.000000, 0.363431,0.342208,0.475507,0.000000,0.000000,0.416822,0.867417,0.625748,0.672512,0.000000
23, 23850, 2.378616, 1.000000, 0.808258, 0.000000, 0.371279,0.345925,0.462333,0.000000,0.000000,0.454581,0.860264,0.650922,0.677526,0.000000
24, 24021, 2.378585, 1.000000, 1.353555, 0.000000, 0.240956,0.532599,0.820956,0.000000,0.000000,0.499063,0.844859,0.668334,0.688670,0.000000
25, 27424, 2.438156, 1.000000, 1.369161, 0.000000, 0.212223,0.523115,0.846046,0.000000,0.000000,0.520758,0.864765,0.684473,0.714447,0.000000
26, 31807, 2.558116, 1.000000, 1.247293, 0.000000, 0.246958,0.468582,0.778711,0.000000,0.000000,0.543628,0.881340,0.703662,0.734905,0.000000
27, 40586, 2.463584, 1.000000, 1.017927, 0.000000, 0.235401,0.376820,0.641107,0.000000,0.000000,0.549465,0.913077,0.716417,0.760342,0.000000
28, 53142, 2.407343, 1.000000, 0.802868, 0.000000, 0.296056,0.294975,0.507892,0.000000,0.000000,0.544614,0.946116,0.722278,0.783387,0.000000
29, 61754, 2.458529, 1.000000, 0.685738, 0.000000, 0.396201,0.250003,0.435735,0.000000,0.000000,0.555794,0.969976,0.733298,0.807863,0.000000
30, 61479, 2.321752, 1.000000, 0.571099, 0.000000, 0.440118,0.212570,0.358529,0.000000,0.000000,0.571011,1.001566,0.751849,0.836678,0.000000
31, 53739, 2.245427, 1.000000, 0.519513, 0.000000, 0.469584,0.200284,0.319229,0.000000,0.000000,0.589905,1.034540,0.779174,0.861716,0.000000
32, 43193, 2.325724, 1.000000, 0.571771, 0.000000, 0.462644,0.230012,0.341760,0.000000,0.000000,0.626772,1.064128,0.817947,0.889702,0.000000
33, 36122, 2.416145, 1.000000, 0.639537, 0.000000, 0.435220,0.266919,0.372617,0.000000,0.000000,0.655433,1.086836,0.849728,0.909498,0.000000
34, 33020, 2.360812, 1.000000, 0.631300, 0.000000, 0.419170,0.271863,0.359437,0.000000,0.000000,0.683734,1.085761,0.877845,0.908292,0.000000
