time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 1.000000, 0.000000, 0.394868, 0.000000, 0.000000,0.139842,0.255026,0.000000,0.000000,0.010353,0.053510,-0.041256,-0.009588,0.000000
1, 1000, 2.000000, 0.000000, 0.789735, 0.000000, 0.697000,0.279683,0.510052,0.000000,0.000000,0.010353,0.053510,-0.041256,-0.009588,0.000000
2, 303, 3.000000, 0.000000, 3.411522, 0.000000, 0.000000,1.222641,2.188880,0.000000,0.000000,0.387940,0.727325,-0.036107,-0.051337,0.000000
3, 303, 4.000000, 0.000000, 3.411522, 0.000000, 0.000000,1.222641,2.188880,0.000000,0.000000,0.387940,0.727325,-0.036107,-0.051337,0.000000
4, 1174, 2.032368, 0.000000, 1.712045, 0.000000, 0.000000,0.612545,1.099501,0.000000,0.000000,0.443156,0.858611,-0.047016,-0.048230,0.000000
5, 2045, 2.166748, 0.000000, 1.628963, 0.000000, 0.064059,0.592317,1.036647,0.000000,0.000000,0.453002,0.878754,-0.050327,-0.047486,0.000000
6, 2785, 2.496948, 0.000000, 1.710331, 0.000000, 0.171993,0.627975,1.082357,0.000000,0.000000,0.446439,0.870955,-0.047404,-0.046011,0.000000
7, 3177, 2.410450, 0.000000, 1.593062, 0.000000, 0.072710,0.583592,1.009470,0.000000,0.000000,0.445881,0.868751,-0.045202,-0.049269,0.000000
8, 4149, 2.734394, 0.000000, 1.612191, 0.000000, 0.059773,0.579955,1.032235,0.000000,0.000000,0.425686,0.833572,-0.042693,-0.049872,0.000000
9, 6224, 2.743091, 0.000000, 1.535637, 0.000000, 0.056234,0.557083,0.978554,0.000000,0.000000,0.416704,0.808542,-0.039614,-0.052072,0.000000
10, 9206, 2.778514, 0.000000, 1.489293, 0.000000, 0.171519,0.542481,0.946812,0.000000,0.000000,0.412376,0.797081,-0.042020,-0.054236,0.000000
11, 11960, 2.565301, 0.000000, 1.418943, 0.000000, 0.180268,0.522885,0.896059,0.000000,0.000000,0.415015,0.785415,-0.038143,-0.050195,0.000000
12, 14799, 2.546996, 0.000000, 1.726006, 0.000000, 0.122441,0.649919,1.076086,0.000000,0.000000,0.415526,0.792710,-0.030912,-0.037871,0.000000
13, 19888, 2.552142, 0.000000, 1.642409, 0.000000, 0.110921,0.618640,1.023769,0.000000,0.000000,0.429901,0.820033,-0.031009,-0.029917,0.000000
14, 28181, 2.534012, 0.000000, 1.364002, 0.000000, 0.158653,0.513564,0.850438,0.000000,0.000000,0.444279,0.847281,-0.032139,-0.020871,0.000000
15, 39978, 2.455901, 0.000000, 1.074938, 0.000000, 0.220596,0.406636,0.668302,0.000000,0.000000,0.463876,0.879351,-0.031446,-0.009446,0.000000
16, 51379, 2.423227, 0.000000, 0.871886, 0.000000, 0.286868,0.327133,0.544753,0.000000,0.000000,0.478102,0.903481,-0.027920,-0.002397,0.000000
17, 58874, 2.455141, 0.000000, 0.745008, 0.000000, 0.348354,0.275469,0.469539,0.000000,0.000000,0.484652,0.925106,-0.024150,0.000279,0.000000
