time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 1.000000, 0.000000, 0.412397, 0.000000, 0.000000,0.207020,0.205376,0.000000,0.000000,0.017560,0.012332,0.016762,-0.027391,0.000000
1, 1000, 2.000000, 0.000000, 0.824793, 0.000000, 0.671000,0.414041,0.410753,0.000000,0.000000,0.017560,0.012332,0.016762,-0.027391,0.000000
2, 329, 3.000000, 0.000000, 3.312063, 0.000000, 0.000000,1.694431,1.617632,0.000000,0.000000,0.501674,0.462659,0.067845,-0.043798,0.000000
3, 329, 4.000000, 0.000000, 3.312063, 0.000000, 0.000000,1.694431,1.617632,0.000000,0.000000,0.501674,0.462659,0.067845,-0.043798,0.000000
4, 1259, 2.045274, 0.000000, 1.672447, 0.000000, 0.000000,0.865812,0.806635,0.000000,0.000000,0.580556,0.548561,0.112759,-0.089640,0.000000
5, 2189, 2.176336, 0.000000, 1.577060, 0.000000, 0.060758,0.800326,0.776734,0.000000,0.000000,0.593456,0.562894,0.119319,-0.095528,0.000000
6, 2986, 2.506363, 0.000000, 1.636078, 0.000000, 0.181514,0.825245,0.810833,0.000000,0.000000,0.592459,0.550562,0.120331,-0.095808,0.000000
7, 3374, 2.409306, 0.000000, 1.500443, 0.000000, 0.083580,0.757569,0.742874,0.000000,0.000000,0.589194,0.559546,0.127955,-0.101701,0.000000
8, 4392, 2.722450, 0.000000, 1.500220, 0.000000, 0.082195,0.755968,0.744251,0.000000,0.000000,0.573911,0.529061,0.123766,-0.094740,0.000000
9, 6501, 2.728196, 0.000000, 1.456328, 0.000000, 0.067682,0.728640,0.727688,0.000000,0.000000,0.549921,0.518831,0.123395,-0.095477,0.000000
10, 9543, 2.766321, 0.000000, 1.429038, 0.000000, 0.180761,0.706774,0.722263,0.000000,0.000000,0.549467,0.506516,0.117542,-0.096045,0.000000
11, 12223, 2.551501, 0.000000, 1.366431, 0.000000, 0.186206,0.679732,0.686699,0.000000,0.000000,0.543249,0.498944,0.109526,-0.092537,0.000000
12, 14908, 2.546150, 0.000000, 1.825738, 0.000000, 0.096861,0.908764,0.916974,0.000000,0.000000,0.543086,0.495143,0.104190,-0.099693,0.000000
13, 20438, 2.557393, 0.000000, 1.745117, 0.000000, 0.068157,0.867242,0.877875,0.000000,0.000000,0.551775,0.515562,0.116713,-0.117597,0.000000
14, 30017, 2.553686, 0.000000, 1.429529, 0.000000, 0.130393,0.712006,0.717523,0.000000,0.000000,0.554575,0.534673,0.128845,-0.124529,0.000000
15, 44000, 2.466500, 0.000000, 1.101469, 0.000000, 0.193773,0.551296,0.550173,0.000000,0.000000,0.561387,0.553829,0.140773,-0.130387,0.000000
16, 58442, 2.433284, 0.000000, 0.872597, 0.000000, 0.271346,0.438004,0.434593,0.000000,0.000000,0.570152,0.554951,0.146640,-0.133270,0.000000
17, 68314, 2.476637, 0.000000, 0.735462, 0.000000, 0.340150,0.370152,0.365310,0.000000,0.000000,0.575792,0.549714,0.143309,-0.135669,0.000000
18, 71356, 2.466870, 0.000000, 0.632195, 0.000000, 0.380290,0.318550,0.313645,0.000000,0.000000,0.576814,0.542863,0.139559,-0.136830,0.000000
19, 68097, 2.484192, 0.000000, 0.589433, 0.000000, 0.409783,0.297300,0.292133,0.000000,0.000000,0.572085,0.533864,0.140424,-0.138952,0.000000
20, 61840, 2.516106, 0.000000, 0.577261, 0.000000, 0.419906,0.292881,0.284380,0.000000,0.000000,0.570470,0.524612,0.146371,-0.139517,0.000000
21, 55483, 2.508967, 0.000000, 0.564361, 0.000000, 0.431772,0.286643,0.277718,0.000000,0.000000,0.569646,0.528995,0.152183,-0.143516,0.000000
22, 48912, 2.461461, 0.000000, 0.537476, 0.000000, 0.441691,0.271131,0.266345,0.000000,0.000000,0.568920,0.533152,0.156404,-0.151850,0.000000
23, 42022, 2.439413, 0.000000, 0.515020, 0.000000, 0.454786,0.257796,0.257224,0.000000,0.000000,0.570483,0.532583,0.146784,-0.160075,0.000000
24, 35384, 2.430929, 0.000000, 1.254905, 0.000000, 0.244433,0.630838,0.624066,0.000000,0.000000,0.560461,0.536680,0.139200,-0.161053,0.000000
25, 37235, 2.537478, 0.000000, 1.394234, 0.000000, 0.142366,0.695828,0.698405,0.000000,0.000000,0.582111,0.562871,0.153319,-0.183134,0.000000
26, 41260, 2.802981, 0.000000, 1.309615, 0.000000, 0.200897,0.650558,0.659057,0.000000,0.000000,0.584269,0.575645,0.160735,-0.189890,0.000000
27, 53471, 2.698173, 0.000000, 1.078801, 0.000000, 0.166483,0.535300,0.543501,0.000000,0.000000,0.616239,0.616301,0.185987,-0.214833,0.000000
28, 77175, 2.551539, 0.000000, 0.806811, 0.000000, 0.226485,0.400865,0.405946,0.000000,0.000000,0.637215,0.632394,0.198509,-0.226677,0.000000
29, 96190, 2.631479, 0.000000, 0.668602, 0.000000, 0.386994,0.332974,0.335628,0.000000,0.000000,0.640260,0.627697,0.197459,-0.229001,0.000000
30, 95866, 2.427795, 0.000000, 0.517532, 0.000000, 0.451964,0.256810,0.260722,0.000000,0.000000,0.639644,0.623016,0.194791,-0.224850,0.000000
31, 81581, 2.234810, 0.000000, 0.400401, 0.000000, 0.483618,0.197887,0.202514,0.000000,0.000000,0.642968,0.622406,0.189877,-0.224703,0.000000
32, 61788, 2.360863, 0.000000, 0.424318, 0.000000, 0.486195,0.209641,0.214677,0.000000,0.000000,0.649147,0.628124,0.182810,-0.225698,0.000000
33, 48742, 2.578536, 0.000000, 0.487111, 0.000000, 0.475216,0.241781,0.245331,0.000000,0.000000,0.669335,0.650845,0.177287,-0.229874,0.000000
34, 41896, 2.413667, 0.000000, 0.398426, 0.000000, 0.484080,0.198420,0.200006,0.000000,0.000000,0.676308,0.666788,0.170997,-0.229095,0.000000
35, 32949, 2.270479, 0.000000, 0.313944, 0.000000, 0.553795,0.156918,0.157026,0.000000,0.000000,0.674785,0.672068,0.166884,-0.225731,0.000000
36, 21656, 2.253048, 0.000000, 1.256496, 0.000000, 0.218785,0.627764,0.628732,0.000000,0.000000,0.662905,0.671621,0.165472,-0.213760,0.000000
37, 21365, 2.533162, 0.000000, 1.595536, 0.000000, 0.112801,0.805757,0.789778,0.000000,0.000000,0.686278,0.679534,0.182565,-0.226262,0.000000
38, 22214, 3.045602, 0.000000, 1.606207, 0.000000, 0.144548,0.812086,0.794121,0.000000,0.000000,0.692057,0.677434,0.193955,-0.219230,0.000000
39, 35087, 2.670505, 0.000000, 1.223068, 0.000000, 0.088779,0.618838,0.604230,0.000000,0.000000,0.734469,0.689927,0.205663,-0.243810,0.000000
40, 56809, 2.499762, 0.000000, 0.908464, 0.000000, 0.199616,0.455796,0.452668,0.000000,0.000000,0.744171,0.701407,0.208453,-0.254953,0.000000
41, 72836, 2.617318, 0.000000, 0.789896, 0.000000, 0.384439,0.393147,0.396749,0.000000,0.000000,0.745109,0.698831,0.206224,-0.259349,0.000000
42, 72533, 2.311031, 0.000000, 0.622102, 0.000000, 0.407304,0.306042,0.316060,0.000000,0.000000,0.748138,0.695593,0.205248,-0.262747,0.000000
43, 65029, 2.260361, 0.000000, 0.565630, 0.000000, 0.420981,0.280955,0.284675,0.000000,0.000000,0.747687,0.694391,0.205204,-0.265683,0.000000
44, 57338, 2.455178, 0.000000, 0.624260, 0.000000, 0.366929,0.308004,0.316256,0.000000,0.000000,0.738114,0.699881,0.208480,-0.267840,0.000000
45, 57673, 2.659477, 0.000000, 0.639809, 0.000000, 0.404297,0.317260,0.322548,0.000000,0.000000,0.732370,0.712481,0.216018,-0.270303,0.000000
46, 57995, 2.405225, 0.000000, 0.495327, 0.000000, 0.429709,0.246350,0.248976,0.000000,0.000000,0.721986,0.722806,0.219079,-0.270185,0.000000
47, 50939, 2.294274, 0.000000, 0.412252, 0.000000, 0.506311,0.208760,0.203491,0.000000,0.000000,0.717413,0.718051,0.227111,-0.269109,0.000000
48, 38021, 2.304174, 0.000000, 1.313048, 0.000000, 0.185476,0.661536,0.651512,0.000000,0.000000,0.711334,0.706748,0.238239,-0.260080,0.000000
49, 40817, 2.545753, 0.000000, 1.450225, 0.000000, 0.124139,0.729535,0.720690,0.000000,0.000000,0.718895,0.702994,0.241191,-0.257192,0.000000
50, 44818, 2.914097, 0.000000, 1.333546, 0.000000, 0.183208,0.668195,0.665351,0.000000,0.000000,0.727154,0.700269,0.244999,-0.245382,0.000000
51, 64354, 2.664108, 0.000000, 1.001336, 0.000000, 0.141607,0.499667,0.501669,0.000000,0.000000,0.746335,0.728180,0.256734,-0.254827,0.000000
52, 95809, 2.536755, 0.000000, 0.718125, 0.000000, 0.252847,0.356418,0.361707,0.000000,0.000000,0.753799,0.749246,0.259875,-0.268460,0.000000
