time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 1.000000, 1.000000, 0.370793, 0.000000, 0.000000,0.196367,0.174427,0.000000,0.000000,-0.057851,-0.000164,-0.009940,-0.031434,0.000000
1, 1000, 2.000000, 1.000000, 0.741587, 0.000000, 0.725000,0.392733,0.348853,0.000000,0.000000,-0.057851,-0.000164,-0.009940,-0.031434,0.000000
2, 275, 3.000000, 1.000000, 3.505567, 0.000000, 0.000000,1.859939,1.645628,0.000000,0.000000,0.511190,0.565202,0.046339,-0.082507,0.000000
3, 275, 4.000000, 1.000000, 3.505567, 0.000000, 0.000000,1.859939,1.645628,0.000000,0.000000,0.511190,0.565202,0.046339,-0.082507,0.000000
4, 612, 2.797386, 1.000000, 2.163732, 0.000000, 0.000000,1.183192,0.980540,0.000000,0.000000,0.441765,0.556015,0.093718,-0.139660,0.000000
5, 960, 2.783333, 1.000000, 1.879770, 0.000000, 0.098958,1.057409,0.822361,0.000000,0.000000,0.475076,0.562917,0.107137,-0.123221,0.000000
6, 1235, 3.009717, 1.000000, 1.918440, 0.000000, 0.340891,1.062804,0.855636,0.000000,0.000000,0.475137,0.646999,0.076248,-0.109680,0.000000
7, 1220, 2.229508, 1.000000, 1.611682, 0.000000, 0.136066,0.919127,0.692554,0.000000,0.000000,0.546218,0.682484,0.074552,-0.152147,0.000000
8, 1525, 2.565902, 1.000000, 1.718689, 0.000000, 0.117377,0.982838,0.735851,0.000000,0.000000,0.617616,0.678296,0.118513,-0.165359,0.000000
9, 2214, 2.605691, 1.000000, 1.648394, 0.000000, 0.079042,0.947075,0.701319,0.000000,0.000000,0.686789,0.639121,0.144806,-0.173263,0.000000
10, 3286, 2.649117, 1.000000, 1.587894, 0.000000, 0.199026,0.904451,0.683443,0.000000,0.000000,0.706081,0.674408,0.135562,-0.176238,0.000000
11, 4370, 2.415789, 1.000000, 1.508816, 0.000000, 0.189245,0.861537,0.647279,0.000000,0.000000,0.749336,0.680614,0.133738,-0.153337,0.000000
12, 5439, 2.451186, 1.000000, 1.729219, 0.000000, 0.156830,0.932831,0.796388,0.000000,0.000000,0.747179,0.666938,0.139252,-0.149760,0.000000
13, 7087, 2.496543, 1.000000, 1.656054, 0.000000, 0.170594,0.879211,0.776843,0.000000,0.000000,0.771052,0.688984,0.157331,-0.158154,0.000000
14, 9770, 2.447288, 1.000000, 1.435618, 0.000000, 0.184545,0.740778,0.694841,0.000000,0.000000,0.809135,0.754726,0.163936,-0.164364,0.000000
15, 14029, 2.341792, 1.000000, 1.184826, 0.000000, 0.226958,0.595513,0.589313,0.000000,0.000000,0.862593,0.816683,0.156887,-0.151346,0.000000
16, 18242, 2.326883, 1.000000, 1.015846, 0.000000, 0.289497,0.493164,0.522682,0.000000,0.000000,0.900183,0.862433,0.164201,-0.141280,0.000000
17, 21309, 2.350368, 1.000000, 0.920601, 0.000000, 0.333662,0.439080,0.481521,0.000000,0.000000,0.948253,0.899803,0.177353,-0.156317,0.000000
18, 22917, 2.327355, 1.000000, 0.850487, 0.000000, 0.340882,0.398096,0.452391,0.000000,0.000000,0.994512,0.928228,0.180242,-0.181927,0.000000
19, 23706, 2.398043, 1.000000, 0.850163, 0.000000, 0.353117,0.395234,0.454929,0.000000,0.000000,1.046448,0.958737,0.181555,-0.206032,0.000000
20, 24436, 2.437879, 1.000000, 0.859487, 0.000000, 0.345187,0.392248,0.467239,0.000000,0.000000,1.088980,1.002803,0.185141,-0.225886,0.000000
21, 25756, 2.431977, 1.000000, 0.857155, 0.000000, 0.351802,0.385464,0.471692,0.000000,0.000000,1.120947,1.024098,0.173613,-0.240370,0.000000
22, 26840, 2.397206, 1.000000, 0.849375, 0.000000, 0.356930,0.379573,0.469802,0.000000,0.000000,1.149520,1.031238,0.168951,-0.254554,0.000000
23, 27512, 2.392156, 1.000000, 0.854699, 0.000000, 0.364314,0.381039,0.473660,0.000000,0.000000,1.172103,1.041998,0.158640,-0.276041,0.000000
24, 28132, 2.369153, 1.000000, 1.441703, 0.000000, 0.226468,0.853872,0.587831,0.000000,0.000000,1.185644,1.056923,0.139483,-0.286969,0.000000
