time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 1.000000, 1.000000, 0.396835, 0.000000, 0.000000,0.207923,0.188912,0.000000,0.000000,-0.013160,-0.027431,0.053444,0.028540,0.000000
1, 1000, 2.000000, 1.000000, 0.793670, 0.000000, 0.700000,0.415847,0.377824,0.000000,0.000000,-0.013160,-0.027431,0.053444,0.028540,0.000000
2, 300, 3.000000, 1.000000, 3.497374, 0.000000, 0.000000,1.886501,1.610873,0.000000,0.000000,0.616911,0.456970,0.110778,0.087476,0.000000
3, 300, 4.000000, 1.000000, 3.497374, 0.000000, 0.000000,1.886501,1.610873,0.000000,0.000000,0.616911,0.456970,0.110778,0.087476,0.000000
4, 756, 2.587302, 1.000000, 2.023816, 0.000000, 0.000000,1.104448,0.919368,0.000000,0.000000,0.669246,0.462290,0.216605,0.054040,0.000000
5, 1211, 2.615194, 1.000000, 1.780909, 0.000000, 0.132122,0.996517,0.784392,0.000000,0.000000,0.657529,0.446608,0.198632,0.035531,0.000000
6, 1523, 2.869337, 1.000000, 1.819075, 0.000000, 0.318450,1.042934,0.776141,0.000000,0.000000,0.677154,0.457226,0.188464,0.043223,0.000000
7, 1539, 2.234568, 1.000000, 1.597424, 0.000000, 0.137752,0.945396,0.652028,0.000000,0.000000,0.746222,0.445723,0.219816,0.046191,0.000000
8, 1883, 2.601168, 1.000000, 1.733500, 0.000000, 0.108869,1.007943,0.725556,0.000000,0.000000,0.817207,0.497557,0.230964,0.036660,0.000000
9, 2768, 2.621387, 1.000000, 1.653329, 0.000000, 0.091402,0.956233,0.697096,0.000000,0.000000,0.840896,0.536698,0.260968,0.009787,0.000000
10, 4119, 2.638747, 1.000000, 1.528888, 0.000000, 0.200534,0.888018,0.640870,0.000000,0.000000,0.845894,0.543841,0.278441,0.015550,0.000000
11, 5496, 2.407751, 1.000000, 1.449933, 0.000000, 0.212882,0.836778,0.613154,0.000000,0.000000,0.870932,0.546003,0.288255,0.026116,0.000000
12, 6669, 2.430949, 1.000000, 2.087559, 0.000000, 0.124756,1.203849,0.883710,0.000000,0.000000,0.914240,0.578384,0.286442,0.052217,0.000000
13, 8994, 2.472982, 1.000000, 2.000345, 0.000000, 0.109184,1.134351,0.865994,0.000000,0.000000,0.948990,0.614948,0.284414,0.048630,0.000000
14, 12983, 2.447893, 1.000000, 1.627873, 0.000000, 0.144574,0.909417,0.718456,0.000000,0.000000,0.963044,0.638103,0.289552,0.040670,0.000000
15, 19894, 2.332663, 1.000000, 1.244698, 0.000000, 0.198200,0.694115,0.550584,0.000000,0.000000,0.979794,0.662124,0.302172,0.029494,0.000000
16, 27440, 2.301749, 1.000000, 0.998371, 0.000000, 0.273907,0.552033,0.446338,0.000000,0.000000,1.001564,0.675595,0.316363,0.029913,0.000000
17, 33178, 2.344505, 1.000000, 0.862858, 0.000000, 0.339231,0.467044,0.395814,0.000000,0.000000,1.010966,0.685399,0.314461,0.033206,0.000000
18, 35675, 2.320841, 1.000000, 0.760531, 0.000000, 0.369699,0.403272,0.357259,0.000000,0.000000,0.989390,0.707677,0.300190,0.034662,0.000000
19, 35316, 2.362923, 1.000000, 0.739987, 0.000000, 0.390333,0.383372,0.356616,0.000000,0.000000,0.964407,0.740530,0.290815,0.036948,0.000000
