time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,mean_f
0, 1000, 3.005000, 0.000000, 0.393000, 0.134418, 0.709000,0.393000,0.072909,0.061509,0.137548,0.140759,0.000000
1, 301, 2.249169, 0.000000, 1.684385, 0.476543, 0.362126,0.717608,0.246463,0.230080,0.040296,0.117493,0.000000
2, 203, 3.261084, 0.000000, 1.527094, 0.066909, 0.448276,0.103448,0.033324,0.033585,-0.096238,-0.037939,0.000000
3, 210, 2.476190, 0.000000, 1.533333, 0.084071, 0.495238,0.519048,0.048550,0.035521,-0.069845,-0.067975,0.000000
4, 312, 1.378205, 0.000000, 1.339744, 0.080332, 0.057692,0.974359,0.054008,0.026325,-0.076610,-0.098998,0.000000
5, 315, 2.225397, 0.000000, 1.838095, 0.072659, 0.057143,0.625397,0.051142,0.021517,-0.105575,-0.078846,0.000000
6, 314, 3.092357, 0.000000, 1.843949, 0.055490, 0.296178,0.114650,0.020522,0.034969,-0.127936,-0.038425,0.000000
7, 399, 2.546366, 0.000000, 1.458647, 0.046907, 0.513784,0.473684,0.032897,0.014010,-0.136613,-0.039291,0.000000
8, 563, 1.404973, 0.000000, 1.266430, 0.070674, 0.088810,0.886323,0.043277,0.027397,-0.120928,-0.084557,0.000000
9, 549, 2.260474, 0.000000, 1.803279, 0.087559, 0.078324,0.591985,0.036190,0.051369,-0.164239,-0.068000,0.000000
10, 540, 3.107407, 0.000000, 1.812963, 0.029192, 0.312963,0.118519,0.012597,0.016595,-0.156302,-0.074299,0.000000
11, 685, 2.494891, 0.000000, 1.401460, 0.029652, 0.532847,0.435036,0.015339,0.014313,-0.162829,-0.063166,0.000000
12, 912, 1.434211, 0.000000, 1.208333, 0.051228, 0.140351,0.805921,0.025625,0.025603,-0.161925,-0.095297,0.000000
13, 844, 2.289100, 0.000000, 1.758294, 0.056927, 0.079384,0.548578,0.023736,0.033191,-0.167797,-0.105793,0.000000
14, 836, 3.093301, 0.000000, 1.761962, 0.016782, 0.316986,0.118421,0.009271,0.007512,-0.147070,-0.107275,0.000000
15, 1044, 2.494253, 0.000000, 1.357280, 0.030582, 0.547893,0.402299,0.016618,0.013964,-0.162921,-0.086817,0.000000
16, 1337, 1.462229, 0.000000, 1.338070, 0.433288, 0.249065,0.922962,0.214449,0.218840,-0.153319,-0.109868,0.000000
17, 1110, 2.076577, 0.000000, 1.800000, 0.744001, 0.500901,0.766667,0.378520,0.365482,-0.188322,-0.188355,0.000000
18, 651, 2.703533, 0.000000, 1.748080, 0.218232, 0.241167,0.278034,0.077298,0.140934,-0.416559,-0.325080,0.000000
19, 713, 2.744741, 0.000000, 1.548387, 0.178852, 0.631136,0.375877,0.058027,0.120825,-0.456086,-0.392540,0.000000
20, 926, 1.419006, 0.000000, 1.102592, 0.024187, 0.192225,0.754860,0.011576,0.012611,-0.495273,-0.510058,0.000000
21, 852, 2.140845, 0.000000, 1.658451, 0.033955, 0.073944,0.586854,0.010614,0.023341,-0.512831,-0.511177,0.000000
22, 841, 2.995244, 0.000000, 1.714625, 0.012352, 0.243757,0.127229,0.004742,0.007610,-0.495116,-0.516051,0.000000
23, 976, 2.802254, 0.000000, 1.430328, 0.011296, 0.618852,0.309426,0.006008,0.005288,-0.507741,-0.528354,0.000000
24, 1302, 1.421659, 0.000000, 1.047619, 0.023596, 0.239631,0.695084,0.012458,0.011137,-0.496865,-0.538807,0.000000
25, 1133, 2.160635, 0.000000, 1.646072, 0.045505, 0.081200,0.566637,0.025690,0.019815,-0.516754,-0.546995,0.000000
26, 1110, 3.017117, 0.000000, 1.709910, 0.017239, 0.263063,0.119820,0.010962,0.006277,-0.520378,-0.546880,0.000000
27, 1299, 2.741339, 0.000000, 1.361047, 0.011512, 0.649731,0.268668,0.009195,0.002317,-0.529814,-0.558490,0.000000
28, 1662, 1.419374, 0.000000, 0.879663, 0.013337, 0.388087,0.536703,0.009720,0.003616,-0.513839,-0.558629,0.000000
29, 1212, 2.160066, 0.000000, 1.562706, 0.016777, 0.110561,0.518977,0.008438,0.008339,-0.550777,-0.565464,0.000000
30, 1162, 3.021515, 0.000000, 1.668675, 0.009487, 0.293460,0.117900,0.001556,0.007931,-0.531198,-0.542473,0.000000
31, 1352, 2.666420, 0.000000, 1.279586, 0.009719, 0.681213,0.233728,0.001138,0.008581,-0.534805,-0.565839,0.000000
32, 1610, 1.431056, 0.000000, 1.240373, 0.040231, 0.081988,0.900621,0.023463,0.016768,-0.506075,-0.579752,0.000000
33, 1684, 2.084323, 0.000000, 1.744656, 0.087314, 0.077791,0.693587,0.047573,0.039741,-0.518847,-0.576564,0.000000
34, 1640, 2.940244, 0.000000, 1.817073, 0.058725, 0.192683,0.146341,0.028185,0.030541,-0.532613,-0.597132,0.000000
35, 1854, 2.980583, 0.000000, 1.562028, 0.024740, 0.655340,0.286947,0.014203,0.010537,-0.551042,-0.618249,0.000000
36, 2683, 1.356318, 0.000000, 1.017145, 0.004972, 0.227730,0.721953,0.003118,0.001854,-0.548862,-0.637533,0.000000
37, 2333, 2.119160, 0.000000, 1.600086, 0.008307, 0.064295,0.540506,0.006370,0.001937,-0.566580,-0.645058,0.000000
38, 2275, 3.048791, 0.000000, 1.677363, 0.006057, 0.219341,0.080000,0.003989,0.002068,-0.549771,-0.632707,0.000000
39, 2603, 2.943143, 0.000000, 1.364964, 0.002119, 0.720707,0.218594,0.001506,0.000614,-0.547171,-0.635533,0.000000
40, 3389, 1.321629, 0.000000, 0.768663, 0.003169, 0.425199,0.505164,0.001545,0.001624,-0.535143,-0.649443,0.000000
41, 2228, 2.154399, 0.000000, 1.504488, 0.006990, 0.097846,0.460952,0.004039,0.002951,-0.563446,-0.642335,0.000000
42, 2128, 3.072368, 0.000000, 1.592105, 0.005560, 0.274436,0.070489,0.002395,0.003166,-0.519580,-0.629835,0.000000
43, 2395, 2.840919, 0.000000, 1.217119, 0.004691, 0.789562,0.156576,0.001252,0.003440,-0.528909,-0.637572,0.000000
44, 2779, 1.284635, 0.000000, 0.608492, 0.000359, 0.556315,0.380353,0.000359,0.000000,-0.519395,-0.650108,0.000000
45, 1461, 2.136208, 0.000000, 1.408624, 0.003096, 0.143053,0.401780,0.001324,0.001771,-0.560312,-0.624325,0.000000
46, 1337, 3.077038, 0.000000, 1.532536, 0.005449, 0.296933,0.051608,0.000748,0.004701,-0.505594,-0.609966,0.000000
47, 1491, 2.812877, 0.000000, 1.112005, 0.003317, 0.852448,0.104628,0.000000,0.003317,-0.524809,-0.620058,0.000000
48, 1604, 1.229426, 0.000000, 1.110973, 0.009299, 0.049875,0.936409,0.003768,0.005531,-0.516398,-0.624324,0.000000
49, 1629, 2.045427, 0.000000, 1.782075, 0.020070, 0.031308,0.756906,0.008035,0.012035,-0.529939,-0.626579,0.000000
50, 1639, 2.945088, 0.000000, 1.802318, 0.010090, 0.089079,0.078096,0.000610,0.009480,-0.524751,-0.630707,0.000000
51, 1751, 3.450600, 0.000000, 1.693318, 0.005891, 0.791548,0.159338,0.001423,0.004468,-0.519380,-0.638257,0.000000
52, 2851, 1.204139, 0.000000, 0.930551, 0.002211, 0.199579,0.764293,0.000849,0.001362,-0.513498,-0.644185,0.000000
53, 2448, 2.063725, 0.000000, 1.616422, 0.004961, 0.035539,0.598039,0.002689,0.002272,-0.520760,-0.642270,0.000000
54, 2452, 2.967781, 0.000000, 1.641109, 0.006547, 0.110114,0.065253,0.003256,0.003290,-0.507251,-0.639965,0.000000
55, 2593, 3.431546, 0.000000, 1.511377, 0.003779, 0.831855,0.119167,0.002953,0.000827,-0.509789,-0.645821,0.000000
56, 3776, 1.194915, 0.000000, 0.686706, 0.000836, 0.434057,0.533633,0.000115,0.000721,-0.504448,-0.646928,0.000000
57, 2368, 2.057432, 0.000000, 1.512669, 0.003292, 0.077703,0.510557,0.000154,0.003138,-0.532157,-0.661409,0.000000
58, 2294, 2.971229, 0.000000, 1.560593, 0.002887, 0.144289,0.045772,0.001141,0.001746,-0.498913,-0.650148,0.000000
59, 2423, 3.354106, 0.000000, 1.366488, 0.001994, 0.873710,0.078002,0.001238,0.000756,-0.508963,-0.653309,0.000000
60, 3233, 1.169502, 0.000000, 0.471698, 0.001635, 0.619548,0.351995,0.000928,0.000707,-0.508453,-0.651949,0.000000
61, 1399, 2.053610, 0.000000, 1.429593, 0.005399, 0.116512,0.455325,0.002022,0.003377,-0.528036,-0.651308,0.000000
62, 1312, 2.972561, 0.000000, 1.518293, 0.008478, 0.166159,0.044207,0.002048,0.006429,-0.494329,-0.632474,0.000000
63, 1381, 3.307024, 0.000000, 1.310644, 0.005007, 0.892831,0.072411,0.003204,0.001803,-0.488979,-0.656809,0.000000
64, 1773, 1.146644, 0.000000, 1.064862, 0.013610, 0.036661,0.954879,0.008554,0.005055,-0.480790,-0.642704,0.000000
65, 1797, 2.016694, 0.000000, 1.767947, 0.022725, 0.030050,0.767947,0.012454,0.010271,-0.495007,-0.640687,0.000000
66, 1797, 2.932666, 0.000000, 1.777963, 0.008093, 0.051753,0.060100,0.004417,0.003677,-0.492002,-0.642849,0.000000
