"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167"
1,49,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.989972899371288,0.989472842824376,0.99499412895566,0.993738804824885,40,72,88,104,120,136,152,-0.978668998131674,0.613676666611451,-1.51984205781286,0.22965192737265,0.252697940354412,0.73462502800363,1.35268262852828,-0.971196439050518,-0.161713989858299,0.14041637835749,-0.645349372392893,0.518692892954248,-0.129704205913657,0.0729737286068817,-0.0759828314221863,0.115850580292983,-0.231724858710114,-0.044376103851917,-0.0574705094358495,0.338604915262524,-0.164184367730354,-0.120016326063228,0.0585552382352823,0.1020457016292,0.374601994881487,0.0148284499280571,0.456672845686517,-0.191479902397463,-0.121995520420899,0.0425935721751798,-0.00988851880484778,0.168159663116217,0.0609302416598524,-0.114800742913153,0.00849376018003968,-0.20031465123143,0.0201258972800856,0.245396902806705,-0.162055232307112,0.225192452851297,-0.0318193667530202,0.293574119761717,0.2367077354032,-0.140927136174473,-0.0228509294043109,-0.207196591384852,-0.282831510422162,0.220284459847879,0.0680599623513215,-0.143470123929542,0.693927579639172,-0.415276840869086,0.0722737967863799,0.0206069702511345,-0.425622198868872,0.553522259005153,-0.0948622073959708,-0.0657696402484939,-0.151123250928628,-0.0462583069889981,0.0717093699792843,0.0311734485484742,-0.0148550164434942,-0.166781368453628,-0.612145440949896,0.173614798706534,-0.522618278213028,0.0101932140817727,0.268632548656612,0.0453557782881476,0.384309860797908,0.187488563444702,0.34286525609161,-0.514325860533201,0.149058300397851,0.443311256084846,0.184965176405464,0.13858075370224,-0.116994057859159,0.033028582206248,0.364501982416187,-0.5223909793289,-0.0160614664704887,0.600969155979935,0.195423693301633,-0.2111959096098,0.0217961738183463,0.173477963043399,-0.497124462777622,0.115922093071685,-0.207931366517025,-0.159682108397779,0.675004912515337,0.235037943990842,0.252812731818165,-0.00533295857533824,-0.131901094339938,-0.232188171362512,0.0614300824945596,-0.423907556993576,-0.177106852130993,-0.106576155907122,-0.495626103104691,-0.0918525657990881,-0.576769801601946,0.683922051408862,0.0193156849888411,0.25640224039558,-0.215682635929077,0.103006974626743,0.151731026227528,-0.161318535099365,-0.112423492053707,0.439870480013988,0.12480142088225,0.227057519252622,0.0338828048644024,0.139387019518162,-0.043151242613093,-0.0205588834475592,0.0890928438785422,-0.372614100039215,-0.337155637003679,-0.373414164211987,-0.505099901336795,0.301483768222064,0.264434068440096,0.26484008477662,0.0268906128033339,-0.0100427258026808,0.0199552614309584,-0.00567337823314473,-0.0340872861574427,0.0682222238910152,0.236546097742703,0.174944302413173
2,39,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.784554667038736,0.784197181126064,0.788532185718562,0.78755493522922,40,72,88,104,120,136,152,-0.360378769151758,1.1873046640407,-1.74892043545909,0.684437312732891,1.41007143406419,-0.347241326726868,-0.0963310581405788,-0.0268726586986525,-0.161713989858299,0.14041637835749,-0.645349372392893,0.518692892954248,-0.129704205913657,0.0729737286068817,-0.0759828314221863,0.115850580292983,-0.231724858710114,-0.044376103851917,-0.0574705094358495,0.338604915262524,-0.164184367730354,-0.120016326063228,0.0585552382352823,0.1020457016292,0.374601994881487,0.0148284499280571,0.456672845686517,-0.191479902397463,-0.121995520420899,0.0425935721751798,-0.00988851880484778,0.168159663116217,0.0609302416598524,-0.114800742913153,0.00849376018003968,-0.20031465123143,0.0201258972800856,0.245396902806705,-0.162055232307112,0.225192452851297,-0.0318193667530202,0.293574119761717,0.2367077354032,-0.140927136174473,-0.0228509294043109,-0.207196591384852,-0.282831510422162,0.220284459847879,0.0680599623513215,-0.143470123929542,0.693927579639172,-0.415276840869086,0.0722737967863799,0.0206069702511345,-0.425622198868872,0.553522259005153,-0.0948622073959708,-0.0657696402484939,-0.151123250928628,-0.0462583069889981,0.0717093699792843,0.0311734485484742,-0.0148550164434942,-0.166781368453628,-0.612145440949896,0.173614798706534,-0.522618278213028,0.0101932140817727,0.268632548656612,0.0453557782881476,0.384309860797908,0.187488563444702,0.34286525609161,-0.514325860533201,0.149058300397851,0.443311256084846,0.184965176405464,0.13858075370224,-0.116994057859159,0.033028582206248,0.364501982416187,-0.5223909793289,-0.0160614664704887,0.600969155979935,0.195423693301633,-0.2111959096098,0.0217961738183463,0.173477963043399,-0.497124462777622,0.115922093071685,-0.207931366517025,-0.159682108397779,0.675004912515337,0.235037943990842,0.252812731818165,-0.00533295857533824,-0.131901094339938,-0.232188171362512,0.0614300824945596,-0.423907556993576,-0.177106852130993,-0.106576155907122,-0.495626103104691,-0.0918525657990881,-0.576769801601946,0.683922051408862,0.0193156849888411,0.25640224039558,-0.215682635929077,0.103006974626743,0.151731026227528,-0.161318535099365,-0.112423492053707,0.439870480013988,0.12480142088225,0.227057519252622,0.0338828048644024,0.139387019518162,-0.043151242613093,-0.0205588834475592,0.0890928438785422,-0.372614100039215,-0.337155637003679,-0.373414164211987,-0.505099901336795,0.301483768222064,0.264434068440096,0.26484008477662,0.0268906128033339,-0.0100427258026808,0.0199552614309584,-0.00567337823314473,-0.0340872861574427,0.0682222238910152,0.236546097742703,0.174944302413173
3,47,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0968313412140582,0.0966990005635567,0.0973308727572641,0.0971687251113954,40,72,88,104,120,136,152,-0.760708923948321,-0.156393247055655,-1.80826791619877,-0.506018259903389,-2.50711868156413,0.100638101755121,-0.853409322773131,-1.45745880378582,-0.161713989858299,0.14041637835749,-0.645349372392893,0.518692892954248,-0.129704205913657,0.0729737286068817,-0.0759828314221863,0.115850580292983,-0.231724858710114,-0.044376103851917,-0.0574705094358495,0.338604915262524,-0.164184367730354,-0.120016326063228,0.0585552382352823,0.1020457016292,0.374601994881487,0.0148284499280571,0.456672845686517,-0.191479902397463,-0.121995520420899,0.0425935721751798,-0.00988851880484778,0.168159663116217,0.0609302416598524,-0.114800742913153,0.00849376018003968,-0.20031465123143,0.0201258972800856,0.245396902806705,-0.162055232307112,0.225192452851297,-0.0318193667530202,0.293574119761717,0.2367077354032,-0.140927136174473,-0.0228509294043109,-0.207196591384852,-0.282831510422162,0.220284459847879,0.0680599623513215,-0.143470123929542,0.693927579639172,-0.415276840869086,0.0722737967863799,0.0206069702511345,-0.425622198868872,0.553522259005153,-0.0948622073959708,-0.0657696402484939,-0.151123250928628,-0.0462583069889981,0.0717093699792843,0.0311734485484742,-0.0148550164434942,-0.166781368453628,-0.612145440949896,0.173614798706534,-0.522618278213028,0.0101932140817727,0.268632548656612,0.0453557782881476,0.384309860797908,0.187488563444702,0.34286525609161,-0.514325860533201,0.149058300397851,0.443311256084846,0.184965176405464,0.13858075370224,-0.116994057859159,0.033028582206248,0.364501982416187,-0.5223909793289,-0.0160614664704887,0.600969155979935,0.195423693301633,-0.2111959096098,0.0217961738183463,0.173477963043399,-0.497124462777622,0.115922093071685,-0.207931366517025,-0.159682108397779,0.675004912515337,0.235037943990842,0.252812731818165,-0.00533295857533824,-0.131901094339938,-0.232188171362512,0.0614300824945596,-0.423907556993576,-0.177106852130993,-0.106576155907122,-0.495626103104691,-0.0918525657990881,-0.576769801601946,0.683922051408862,0.0193156849888411,0.25640224039558,-0.215682635929077,0.103006974626743,0.151731026227528,-0.161318535099365,-0.112423492053707,0.439870480013988,0.12480142088225,0.227057519252622,0.0338828048644024,0.139387019518162,-0.043151242613093,-0.0205588834475592,0.0890928438785422,-0.372614100039215,-0.337155637003679,-0.373414164211987,-0.505099901336795,0.301483768222064,0.264434068440096,0.26484008477662,0.0268906128033339,-0.0100427258026808,0.0199552614309584,-0.00567337823314473,-0.0340872861574427,0.0682222238910152,0.236546097742703,0.174944302413173
4,44,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.243943690118912,0.243831728563756,0.245159147267844,0.244862337268542,40,72,88,104,120,136,152,-0.272034577103192,1.62111119998142,-1.97367929990066,0.537158297951244,0.665427902942641,3.43367513853178,-0.180640899493582,-0.380606476292384,-0.161713989858299,0.14041637835749,-0.645349372392893,0.518692892954248,-0.129704205913657,0.0729737286068817,-0.0759828314221863,0.115850580292983,-0.231724858710114,-0.044376103851917,-0.0574705094358495,0.338604915262524,-0.164184367730354,-0.120016326063228,0.0585552382352823,0.1020457016292,0.374601994881487,0.0148284499280571,0.456672845686517,-0.191479902397463,-0.121995520420899,0.0425935721751798,-0.00988851880484778,0.168159663116217,0.0609302416598524,-0.114800742913153,0.00849376018003968,-0.20031465123143,0.0201258972800856,0.245396902806705,-0.162055232307112,0.225192452851297,-0.0318193667530202,0.293574119761717,0.2367077354032,-0.140927136174473,-0.0228509294043109,-0.207196591384852,-0.282831510422162,0.220284459847879,0.0680599623513215,-0.143470123929542,0.693927579639172,-0.415276840869086,0.0722737967863799,0.0206069702511345,-0.425622198868872,0.553522259005153,-0.0948622073959708,-0.0657696402484939,-0.151123250928628,-0.0462583069889981,0.0717093699792843,0.0311734485484742,-0.0148550164434942,-0.166781368453628,-0.612145440949896,0.173614798706534,-0.522618278213028,0.0101932140817727,0.268632548656612,0.0453557782881476,0.384309860797908,0.187488563444702,0.34286525609161,-0.514325860533201,0.149058300397851,0.443311256084846,0.184965176405464,0.13858075370224,-0.116994057859159,0.033028582206248,0.364501982416187,-0.5223909793289,-0.0160614664704887,0.600969155979935,0.195423693301633,-0.2111959096098,0.0217961738183463,0.173477963043399,-0.497124462777622,0.115922093071685,-0.207931366517025,-0.159682108397779,0.675004912515337,0.235037943990842,0.252812731818165,-0.00533295857533824,-0.131901094339938,-0.232188171362512,0.0614300824945596,-0.423907556993576,-0.177106852130993,-0.106576155907122,-0.495626103104691,-0.0918525657990881,-0.576769801601946,0.683922051408862,0.0193156849888411,0.25640224039558,-0.215682635929077,0.103006974626743,0.151731026227528,-0.161318535099365,-0.112423492053707,0.439870480013988,0.12480142088225,0.227057519252622,0.0338828048644024,0.139387019518162,-0.043151242613093,-0.0205588834475592,0.0890928438785422,-0.372614100039215,-0.337155637003679,-0.373414164211987,-0.505099901336795,0.301483768222064,0.264434068440096,0.26484008477662,0.0268906128033339,-0.0100427258026808,0.0199552614309584,-0.00567337823314473,-0.0340872861574427,0.0682222238910152,0.236546097742703,0.174944302413173
5,57,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561047870158154,-0.5608067201908,-0.563923608378563,-0.563220201714183,40,72,88,104,120,136,152,-0.439675711232609,1.70283082550067,0.930017242930787,0.633771147525755,-1.15820605821297,1.79037963202786,0.0825819526528681,-0.260362792623786,-0.161713989858299,0.14041637835749,-0.645349372392893,0.518692892954248,-0.129704205913657,0.0729737286068817,-0.0759828314221863,0.115850580292983,-0.231724858710114,-0.044376103851917,-0.0574705094358495,0.338604915262524,-0.164184367730354,-0.120016326063228,0.0585552382352823,0.1020457016292,0.374601994881487,0.0148284499280571,0.456672845686517,-0.191479902397463,-0.121995520420899,0.0425935721751798,-0.00988851880484778,0.168159663116217,0.0609302416598524,-0.114800742913153,0.00849376018003968,-0.20031465123143,0.0201258972800856,0.245396902806705,-0.162055232307112,0.225192452851297,-0.0318193667530202,0.293574119761717,0.2367077354032,-0.140927136174473,-0.0228509294043109,-0.207196591384852,-0.282831510422162,0.220284459847879,0.0680599623513215,-0.143470123929542,0.693927579639172,-0.415276840869086,0.0722737967863799,0.0206069702511345,-0.425622198868872,0.553522259005153,-0.0948622073959708,-0.0657696402484939,-0.151123250928628,-0.0462583069889981,0.0717093699792843,0.0311734485484742,-0.0148550164434942,-0.166781368453628,-0.612145440949896,0.173614798706534,-0.522618278213028,0.0101932140817727,0.268632548656612,0.0453557782881476,0.384309860797908,0.187488563444702,0.34286525609161,-0.514325860533201,0.149058300397851,0.443311256084846,0.184965176405464,0.13858075370224,-0.116994057859159,0.033028582206248,0.364501982416187,-0.5223909793289,-0.0160614664704887,0.600969155979935,0.195423693301633,-0.2111959096098,0.0217961738183463,0.173477963043399,-0.497124462777622,0.115922093071685,-0.207931366517025,-0.159682108397779,0.675004912515337,0.235037943990842,0.252812731818165,-0.00533295857533824,-0.131901094339938,-0.232188171362512,0.0614300824945596,-0.423907556993576,-0.177106852130993,-0.106576155907122,-0.495626103104691,-0.0918525657990881,-0.576769801601946,0.683922051408862,0.0193156849888411,0.25640224039558,-0.215682635929077,0.103006974626743,0.151731026227528,-0.161318535099365,-0.112423492053707,0.439870480013988,0.12480142088225,0.227057519252622,0.0338828048644024,0.139387019518162,-0.043151242613093,-0.0205588834475592,0.0890928438785422,-0.372614100039215,-0.337155637003679,-0.373414164211987,-0.505099901336795,0.301483768222064,0.264434068440096,0.26484008477662,0.0268906128033339,-0.0100427258026808,0.0199552614309584,-0.00567337823314473,-0.0340872861574427,0.0682222238910152,0.236546097742703,0.174944302413173
6,90,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.487441700048595,0.487225087740349,0.489903347840115,0.489301884682596,40,72,88,104,120,136,152,-0.143152671330314,-0.748103033868497,0.111304557578032,1.68766400384189,0.770319522871322,0.733451781086193,0.452257982721718,-0.845096787643734,-0.161713989858299,0.14041637835749,-0.645349372392893,0.518692892954248,-0.129704205913657,0.0729737286068817,-0.0759828314221863,0.115850580292983,-0.231724858710114,-0.044376103851917,-0.0574705094358495,0.338604915262524,-0.164184367730354,-0.120016326063228,0.0585552382352823,0.1020457016292,0.374601994881487,0.0148284499280571,0.456672845686517,-0.191479902397463,-0.121995520420899,0.0425935721751798,-0.00988851880484778,0.168159663116217,0.0609302416598524,-0.114800742913153,0.00849376018003968,-0.20031465123143,0.0201258972800856,0.245396902806705,-0.162055232307112,0.225192452851297,-0.0318193667530202,0.293574119761717,0.2367077354032,-0.140927136174473,-0.0228509294043109,-0.207196591384852,-0.282831510422162,0.220284459847879,0.0680599623513215,-0.143470123929542,0.693927579639172,-0.415276840869086,0.0722737967863799,0.0206069702511345,-0.425622198868872,0.553522259005153,-0.0948622073959708,-0.0657696402484939,-0.151123250928628,-0.0462583069889981,0.0717093699792843,0.0311734485484742,-0.0148550164434942,-0.166781368453628,-0.612145440949896,0.173614798706534,-0.522618278213028,0.0101932140817727,0.268632548656612,0.0453557782881476,0.384309860797908,0.187488563444702,0.34286525609161,-0.514325860533201,0.149058300397851,0.443311256084846,0.184965176405464,0.13858075370224,-0.116994057859159,0.033028582206248,0.364501982416187,-0.5223909793289,-0.0160614664704887,0.600969155979935,0.195423693301633,-0.2111959096098,0.0217961738183463,0.173477963043399,-0.497124462777622,0.115922093071685,-0.207931366517025,-0.159682108397779,0.675004912515337,0.235037943990842,0.252812731818165,-0.00533295857533824,-0.131901094339938,-0.232188171362512,0.0614300824945596,-0.423907556993576,-0.177106852130993,-0.106576155907122,-0.495626103104691,-0.0918525657990881,-0.576769801601946,0.683922051408862,0.0193156849888411,0.25640224039558,-0.215682635929077,0.103006974626743,0.151731026227528,-0.161318535099365,-0.112423492053707,0.439870480013988,0.12480142088225,0.227057519252622,0.0338828048644024,0.139387019518162,-0.043151242613093,-0.0205588834475592,0.0890928438785422,-0.372614100039215,-0.337155637003679,-0.373414164211987,-0.505099901336795,0.301483768222064,0.264434068440096,0.26484008477662,0.0268906128033339,-0.0100427258026808,0.0199552614309584,-0.00567337823314473,-0.0340872861574427,0.0682222238910152,0.236546097742703,0.174944302413173
7,77,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.217218689621586,0.217062777896664,0.218340072400128,0.218037639101303,40,72,88,104,120,136,152,-0.271391580170673,0.0446264168941437,-1.49447551477813,-0.664583499820361,-1.03371149083563,0.0510033555216511,1.17542836961664,-0.241599184789126,-0.161713989858299,0.14041637835749,-0.645349372392893,0.518692892954248,-0.129704205913657,0.0729737286068817,-0.0759828314221863,0.115850580292983,-0.231724858710114,-0.044376103851917,-0.0574705094358495,0.338604915262524,-0.164184367730354,-0.120016326063228,0.0585552382352823,0.1020457016292,0.374601994881487,0.0148284499280571,0.456672845686517,-0.191479902397463,-0.121995520420899,0.0425935721751798,-0.00988851880484778,0.168159663116217,0.0609302416598524,-0.114800742913153,0.00849376018003968,-0.20031465123143,0.0201258972800856,0.245396902806705,-0.162055232307112,0.225192452851297,-0.0318193667530202,0.293574119761717,0.2367077354032,-0.140927136174473,-0.0228509294043109,-0.207196591384852,-0.282831510422162,0.220284459847879,0.0680599623513215,-0.143470123929542,0.693927579639172,-0.415276840869086,0.0722737967863799,0.0206069702511345,-0.425622198868872,0.553522259005153,-0.0948622073959708,-0.0657696402484939,-0.151123250928628,-0.0462583069889981,0.0717093699792843,0.0311734485484742,-0.0148550164434942,-0.166781368453628,-0.612145440949896,0.173614798706534,-0.522618278213028,0.0101932140817727,0.268632548656612,0.0453557782881476,0.384309860797908,0.187488563444702,0.34286525609161,-0.514325860533201,0.149058300397851,0.443311256084846,0.184965176405464,0.13858075370224,-0.116994057859159,0.033028582206248,0.364501982416187,-0.5223909793289,-0.0160614664704887,0.600969155979935,0.195423693301633,-0.2111959096098,0.0217961738183463,0.173477963043399,-0.497124462777622,0.115922093071685,-0.207931366517025,-0.159682108397779,0.675004912515337,0.235037943990842,0.252812731818165,-0.00533295857533824,-0.131901094339938,-0.232188171362512,0.0614300824945596,-0.423907556993576,-0.177106852130993,-0.106576155907122,-0.495626103104691,-0.0918525657990881,-0.576769801601946,0.683922051408862,0.0193156849888411,0.25640224039558,-0.215682635929077,0.103006974626743,0.151731026227528,-0.161318535099365,-0.112423492053707,0.439870480013988,0.12480142088225,0.227057519252622,0.0338828048644024,0.139387019518162,-0.043151242613093,-0.0205588834475592,0.0890928438785422,-0.372614100039215,-0.337155637003679,-0.373414164211987,-0.505099901336795,0.301483768222064,0.264434068440096,0.26484008477662,0.0268906128033339,-0.0100427258026808,0.0199552614309584,-0.00567337823314473,-0.0340872861574427,0.0682222238910152,0.236546097742703,0.174944302413173
8,11,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00688906025585327,0.00690116401984095,0.00691576808201455,0.0069167047589703,40,72,88,104,120,136,152,-0.243908557152739,-0.398982139416341,0.195032056456674,-0.218900786153315,0.238400392441419,1.35308072348468,0.317491262340216,0.615809758038301,-0.161713989858299,0.14041637835749,-0.645349372392893,0.518692892954248,-0.129704205913657,0.0729737286068817,-0.0759828314221863,0.115850580292983,-0.231724858710114,-0.044376103851917,-0.0574705094358495,0.338604915262524,-0.164184367730354,-0.120016326063228,0.0585552382352823,0.1020457016292,0.374601994881487,0.0148284499280571,0.456672845686517,-0.191479902397463,-0.121995520420899,0.0425935721751798,-0.00988851880484778,0.168159663116217,0.0609302416598524,-0.114800742913153,0.00849376018003968,-0.20031465123143,0.0201258972800856,0.245396902806705,-0.162055232307112,0.225192452851297,-0.0318193667530202,0.293574119761717,0.2367077354032,-0.140927136174473,-0.0228509294043109,-0.207196591384852,-0.282831510422162,0.220284459847879,0.0680599623513215,-0.143470123929542,0.693927579639172,-0.415276840869086,0.0722737967863799,0.0206069702511345,-0.425622198868872,0.553522259005153,-0.0948622073959708,-0.0657696402484939,-0.151123250928628,-0.0462583069889981,0.0717093699792843,0.0311734485484742,-0.0148550164434942,-0.166781368453628,-0.612145440949896,0.173614798706534,-0.522618278213028,0.0101932140817727,0.268632548656612,0.0453557782881476,0.384309860797908,0.187488563444702,0.34286525609161,-0.514325860533201,0.149058300397851,0.443311256084846,0.184965176405464,0.13858075370224,-0.116994057859159,0.033028582206248,0.364501982416187,-0.5223909793289,-0.0160614664704887,0.600969155979935,0.195423693301633,-0.2111959096098,0.0217961738183463,0.173477963043399,-0.497124462777622,0.115922093071685,-0.207931366517025,-0.159682108397779,0.675004912515337,0.235037943990842,0.252812731818165,-0.00533295857533824,-0.131901094339938,-0.232188171362512,0.0614300824945596,-0.423907556993576,-0.177106852130993,-0.106576155907122,-0.495626103104691,-0.0918525657990881,-0.576769801601946,0.683922051408862,0.0193156849888411,0.25640224039558,-0.215682635929077,0.103006974626743,0.151731026227528,-0.161318535099365,-0.112423492053707,0.439870480013988,0.12480142088225,0.227057519252622,0.0338828048644024,0.139387019518162,-0.043151242613093,-0.0205588834475592,0.0890928438785422,-0.372614100039215,-0.337155637003679,-0.373414164211987,-0.505099901336795,0.301483768222064,0.264434068440096,0.26484008477662,0.0268906128033339,-0.0100427258026808,0.0199552614309584,-0.00567337823314473,-0.0340872861574427,0.0682222238910152,0.236546097742703,0.174944302413173
9,48,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340294218578705,-0.340108704143478,-0.342006471468249,-0.34157378640812,40,72,88,104,120,136,152,1.14415184898556,-1.94950134287219,-1.32221484924532,1.02022188455424,0.268470982290656,0.486699311647092,-1.17247007954974,0.550619611097622,-0.161713989858299,0.14041637835749,-0.645349372392893,0.518692892954248,-0.129704205913657,0.0729737286068817,-0.0759828314221863,0.115850580292983,-0.231724858710114,-0.044376103851917,-0.0574705094358495,0.338604915262524,-0.164184367730354,-0.120016326063228,0.0585552382352823,0.1020457016292,0.374601994881487,0.0148284499280571,0.456672845686517,-0.191479902397463,-0.121995520420899,0.0425935721751798,-0.00988851880484778,0.168159663116217,0.0609302416598524,-0.114800742913153,0.00849376018003968,-0.20031465123143,0.0201258972800856,0.245396902806705,-0.162055232307112,0.225192452851297,-0.0318193667530202,0.293574119761717,0.2367077354032,-0.140927136174473,-0.0228509294043109,-0.207196591384852,-0.282831510422162,0.220284459847879,0.0680599623513215,-0.143470123929542,0.693927579639172,-0.415276840869086,0.0722737967863799,0.0206069702511345,-0.425622198868872,0.553522259005153,-0.0948622073959708,-0.0657696402484939,-0.151123250928628,-0.0462583069889981,0.0717093699792843,0.0311734485484742,-0.0148550164434942,-0.166781368453628,-0.612145440949896,0.173614798706534,-0.522618278213028,0.0101932140817727,0.268632548656612,0.0453557782881476,0.384309860797908,0.187488563444702,0.34286525609161,-0.514325860533201,0.149058300397851,0.443311256084846,0.184965176405464,0.13858075370224,-0.116994057859159,0.033028582206248,0.364501982416187,-0.5223909793289,-0.0160614664704887,0.600969155979935,0.195423693301633,-0.2111959096098,0.0217961738183463,0.173477963043399,-0.497124462777622,0.115922093071685,-0.207931366517025,-0.159682108397779,0.675004912515337,0.235037943990842,0.252812731818165,-0.00533295857533824,-0.131901094339938,-0.232188171362512,0.0614300824945596,-0.423907556993576,-0.177106852130993,-0.106576155907122,-0.495626103104691,-0.0918525657990881,-0.576769801601946,0.683922051408862,0.0193156849888411,0.25640224039558,-0.215682635929077,0.103006974626743,0.151731026227528,-0.161318535099365,-0.112423492053707,0.439870480013988,0.12480142088225,0.227057519252622,0.0338828048644024,0.139387019518162,-0.043151242613093,-0.0205588834475592,0.0890928438785422,-0.372614100039215,-0.337155637003679,-0.373414164211987,-0.505099901336795,0.301483768222064,0.264434068440096,0.26484008477662,0.0268906128033339,-0.0100427258026808,0.0199552614309584,-0.00567337823314473,-0.0340872861574427,0.0682222238910152,0.236546097742703,0.174944302413173
10,92,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.457924355837948,0.457679516239609,0.460273300169639,0.459677599238608,40,72,88,104,120,136,152,-0.368579387274,0.194137653589026,-1.12517021458368,-1.76116035834647,-0.19049810668664,-1.50603719210364,0.76624086425444,0.251603011186849,-0.161713989858299,0.14041637835749,-0.645349372392893,0.518692892954248,-0.129704205913657,0.0729737286068817,-0.0759828314221863,0.115850580292983,-0.231724858710114,-0.044376103851917,-0.0574705094358495,0.338604915262524,-0.164184367730354,-0.120016326063228,0.0585552382352823,0.1020457016292,0.374601994881487,0.0148284499280571,0.456672845686517,-0.191479902397463,-0.121995520420899,0.0425935721751798,-0.00988851880484778,0.168159663116217,0.0609302416598524,-0.114800742913153,0.00849376018003968,-0.20031465123143,0.0201258972800856,0.245396902806705,-0.162055232307112,0.225192452851297,-0.0318193667530202,0.293574119761717,0.2367077354032,-0.140927136174473,-0.0228509294043109,-0.207196591384852,-0.282831510422162,0.220284459847879,0.0680599623513215,-0.143470123929542,0.693927579639172,-0.415276840869086,0.0722737967863799,0.0206069702511345,-0.425622198868872,0.553522259005153,-0.0948622073959708,-0.0657696402484939,-0.151123250928628,-0.0462583069889981,0.0717093699792843,0.0311734485484742,-0.0148550164434942,-0.166781368453628,-0.612145440949896,0.173614798706534,-0.522618278213028,0.0101932140817727,0.268632548656612,0.0453557782881476,0.384309860797908,0.187488563444702,0.34286525609161,-0.514325860533201,0.149058300397851,0.443311256084846,0.184965176405464,0.13858075370224,-0.116994057859159,0.033028582206248,0.364501982416187,-0.5223909793289,-0.0160614664704887,0.600969155979935,0.195423693301633,-0.2111959096098,0.0217961738183463,0.173477963043399,-0.497124462777622,0.115922093071685,-0.207931366517025,-0.159682108397779,0.675004912515337,0.235037943990842,0.252812731818165,-0.00533295857533824,-0.131901094339938,-0.232188171362512,0.0614300824945596,-0.423907556993576,-0.177106852130993,-0.106576155907122,-0.495626103104691,-0.0918525657990881,-0.576769801601946,0.683922051408862,0.0193156849888411,0.25640224039558,-0.215682635929077,0.103006974626743,0.151731026227528,-0.161318535099365,-0.112423492053707,0.439870480013988,0.12480142088225,0.227057519252622,0.0338828048644024,0.139387019518162,-0.043151242613093,-0.0205588834475592,0.0890928438785422,-0.372614100039215,-0.337155637003679,-0.373414164211987,-0.505099901336795,0.301483768222064,0.264434068440096,0.26484008477662,0.0268906128033339,-0.0100427258026808,0.0199552614309584,-0.00567337823314473,-0.0340872861574427,0.0682222238910152,0.236546097742703,0.174944302413173
