"","rep_col","generation","pop_size","resist_genotypes","crop_genotypes","percentage_resistant","percentage_crop_eaters"
"1",1,1,1e+05,9,9,55.599,55.624
"2",1,2,56500,9,9,81.4920353982301,81.8548672566372
"3",1,3,129470,9,9,91.1384876805438,91.1129991503823
"4",1,4,483830,9,9,94.673128991588,94.7024781431494
"5",1,5,1e+06,9,9,96.2705,96.3733
"6",1,6,1e+06,9,9,97.2823,97.3115
"7",1,7,1e+06,9,9,97.8632,97.8341
"8",1,8,1e+06,9,9,98.2203,98.2229
"9",1,9,1e+06,9,9,98.4878,98.5051
"10",1,10,1e+06,9,9,11.2337,10.9685
"11",1,11,35560,9,9,72.2244094488189,72.0922384701912
"12",1,12,55790,9,9,85.9831511023481,86.5280516221545
"13",1,13,171090,9,9,92.9306213104214,93.1685078029108
"14",1,14,580000,9,9,95.6486206896552,95.7144827586207
"15",1,15,1e+06,9,9,96.8753,96.9181
"16",1,16,1e+06,9,9,97.571,97.6228
"17",1,17,1e+06,9,9,98.0856,98.0909
"18",1,18,1e+06,9,9,98.3671,98.4163
"19",1,19,1e+06,9,9,98.6162,98.6246
"20",1,20,1e+06,9,9,4.5582,4.4761
